カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（その他）,52-6-1,他人の依頼によってその依頼をした者を代理してする関税法第7条の2第1項の特例輸入者の承認の申請及び同法第67条の3第1項第1号の特定輸出者の承認の申請は、認定通関業者でなければ行うことはできない。,○×,×,これらは通関業務の具体例として業法2条1号イ(1)(二)(五)にそれぞれ挙がっているが、通関業務について認定通関業者でなければ行えないという制限は特にない。
通関業法（その他）,52-6-2,通関業法第2条第2号に規定する「業として通関業務を行う」とは、営利の目的をもって通関業務を反覆継続して行い、又は反覆継続して行う意思をもって行う場合をいい、この場合において営利の目的が直接的か間接的かは問わないものとし、通関業務が他の業務に附帯して無償で行われる場合もこれに該当する。,○×,○,業法基本通達2-3にその通りの規定がある。「業として」というのは仕事としてということであり、この表現は色々な法律でよく出てくるのだが、営利目的（利益を得る目的）と反復継続意思（何度も繰り返し行うつもり）が要件となっていることが多い。利益を得る目的が無ければ仕事じゃないし、利益を得る目的があってもたまに行うだけならやはり仕事といえないからである。
通関業法（その他）,52-6-3,他人の依頼によってその依頼をした者を代理してする関税法第7条第3項の規定による輸入貨物に係る関税率表の適用上の所属の教示の求めについては、関連業務に含まれない。,○×,×,「事前教示照会」として関連業務に当たる(通達7-1(1)イ)。
通関業法（通関業者・通関士の義務）,52-6-4,通関業者は、その取扱いに係る関連業務に関する書類を一定期間保存しなければならない。,○×,○,業法22条1項にその通りの規定がある。なお、「一定期間」とは具体的には、作成の日後3年間である(施行令8条3項)。
通関業法（その他）,52-6-5,他人の依頼によってその依頼をした者を代理してする関税法の規定に基づく税関官署の処分につき、税関官署に対してする主張又は陳述は、通関業務に含まれる。,○×,○,他人の依頼によってその依頼をした者を代理して行う通関手続、税関長又は財務大臣に対してする不服申立て、関税法その他関税に関する法令の規定に基づく税関官署の調査、検査若しくは処分につき、税関官署に対してする主張又は陳述は、通関業務である(業法2条1号イ(3))。
通関業法（通関業の許可）,52-7-1,財務大臣が通関業の許可に基づく地位の承継を承認するに際し、当該承認をしようとする承継に係る通関業の許可にその取り扱う通関業務に係る貨物について一定の種類の貨物のみに限る条件が付されている場合には、財務大臣は、これを取り消し、変更することはできず、引き続き、当該承継後の許可に当該条件が付されることとなる。,○×,×,業法11条の2第6項により、この場合、財務大臣は条件を取り消し、変更し、又は新たに条件を付することができるとされる。
通関業法（通関業の許可）,52-7-2,通関業者について合併があった場合において、あらかじめ財務大臣の承認を受けたときは、合併後存続する法人は、当該合併により消滅した法人の通関業の許可に基づく地位を承継することができる。,○×,○,"合併は、複数の法人が合体して1つになる制度である。合併には、法人Aが既存の法人Bに吸収され法人Bのみが残る吸収合併（この場合のBが「合併後存続する法人」である。）と、法人Aと法人Bが合体して別の新しい法人Cになる新設合併（この場合のCが「合併により設立された法人」である。）が存在する。どちらにせよ法人Aは消えるが、法人Aの持っているものは基本的に全て別の法人（吸収合併ならB、新設合併ならC）に受け継がれる。 ただし、法人Aの通関業の許可（通関業の許可に基づく地位）については、合併前にあらかじめ財務大臣の承認を受けないと別の法人に受け継がれない(11条の2第4項)。

つまり、本問の通り、通関業者について合併があった場合において、あらかじめ財務大臣の承認を受けたときは、合併後存続する法人は、当該合併により消滅した法人の通関業の許可に基づく地位を承継することができる。"
通関業法（通関業の許可）,52-7-3,通関業者が通関業を譲り渡す場合において、当該通関業を譲り渡そうとする法人の役員が継続して譲り受ける法人の役員となるときは、あらかじめ財務大臣に届け出ることにより、当該通関業を譲り受ける法人が当該通関業を譲り渡す法人の当該通関業の許可に基づく地位を承継することができる。,○×,×,通関業の許可に基づく地位の承継ができるのは、あらかじめ財務大臣の承認を受けたときのみであり(業法11条の2第4項)、設問のような規定は無い。
通関業法（通関業の許可）,52-7-4,通関業者について相続があったときは、その相続人(相続人が2人以上ある場合において、その全員の同意により通関業の許可に基づく地位を承継すべき相続人を選定したときは、その者)は、被相続人の当該許可に基づく地位を承継する。,○×,○,業法11条の2第1項にその通りの規定がある。なお、承継についての承認申請を被相続人の死亡後60日以内にしないか、承認しないとされた場合は、通関業の許可は消滅する(10条1項2号)。
通関業法（通関業の許可）,52-7-5,通関業者について分割があり、あらかじめ財務大臣の承認を受けて、当該分割により通関業を承継した法人が当該分割をした法人の当該通関業の許可に基づく地位を承継した場合において、現に進行中の通関手続があるときは、当該手続については、当該分割をした法人が引き続き当該許可を受けているものとみなすこととされている。,○×,×,合併の場合は通関業の許可がするので、現に進行中の通関手続があるときは、その手続については、合併後存続する法人又は合併により設立された法人が、それぞれ引き続き許可を受けているものとみなすの(業10条3項)。分割の場合はこのような規定が無い。よって誤りとなる。
通関業法（通関業者・通関士の義務）,52-8-1,通関業者は、営業所の新設の許可の条件として、その取り扱う通関業務に係る貨物について一定の種類の貨物のみに限る条件が付されている営業所については、当該営業所において取り扱う貨物の件数の多少にかかわらず、通関士を置くことを要しない。,○×,○,通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、通関士を置かなければならない。ただし、当該営業所において取り扱う通関業務に係る貨物が一定の種類の貨物のみに限られている場合は、この限りでない(業法13条ただし書)。
通関業法（通関業者・通関士の義務）,52-8-2,認定通関業者は、その通関業務を行う営業所に通関士を置くことを要しない。,○×,×,業法13条本文では、「通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、政令で定めるところにより、通関士を置かなければならない。」とされ、認定通関業者であることを理由にこの設置義務を免除する規定は無い。
通関業法（通関業者・通関士の義務）,52-8-3,通関業者は、通関士を置かなければならないこととされる営業所ごとに、専ら当該営業所において通関士としてその通関業務のみに従事し、かつ、当該営業所において取り扱う通関業務につき通関士の審査が必要な通関書類を審査できる通関士を置かなければならない。,○×,×,過去にはこういった専任の通関士規定があったが、現在は廃止されている。
通関業法（通関業者・通関士の義務）,52-8-4,通関業者が営業所に通関士を置くことを要しない場合における当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」とは、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいう。,○×,○,通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、通関士を置かなければならない。ただし、当該営業所において取り扱う通関業務に係る貨物が一定の種類の貨物のみに限られている場合は、この限りでない(業法13条ただし書)。「一定の種類の貨物のみに限られている場合」とは、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいう。「簡易かつ、定型化されている場合」とは、限定された通関手続のみを反復継続的に行い、当該手続が全体として簡易であり、貨物全般の通関に関する広い知識の有無にかかわらず適正な手続の完了が期待できるものである必要があり、例えば、コンテナー及びその修理用部分品の通関手続のみを行う場合、船(機)用品の積込申告のみを行う場合等をいう(同法基本通達13-1)。
通関業法（通関業者・通関士の義務）,52-8-5,通関業者は、営業所の新設の許可の条件として許可の期限が付されている営業所については、通関士を置くことを要しない。,○×,×,許可の期限を条件として付けることはできるが(業法基本通達3-5)、これにより通関士の設置義務が免除されるという規定は無い。
通関業法（通関士の資格）,52-9-1,通関業者は、通関士としてその通関業務に従事させていた者であって現に通関士ではない者について、通関士としてその通関業務に従事させようとする場合には、財務大臣の確認を受けることを要しない。,○×,×,このように過去に一度通関士の確認を受けて通関業務に従事させていたものであっても、再度通関士として通関業務に従事させるにはまた確認を受ける必要がある(業法31条1項参照)。
通関業法（通関士の資格）,52-9-2,通関士試験に合格した者は、その合格後1年以内に財務大臣の確認を受けなければならない。,○×,×,このような期間制限規定は無い。一度合格すれば、欠格事由(業法31条2項)に当たるか不正によって合格を取り消されない限り(32条3号)は何時でも確認を受けることができる。
通関業法（通関士の資格）,52-9-3,通関業者は、その営業所において通関士として通関業務に従事させている者を当該営業所と異なる営業所において通関士として通関業務に従事させようとする場合には、財務大臣の確認を受けなければならない。,○×,×,同一通関業者の営業所間を移るのなら、改めて確認を受ける必要は無い。
通関業法（通関士の資格）,52-9-4,通関業法第35条第1項に規定する通関士に対する懲戒処分により通関業務に従事することを禁止された者であって、その処分を受けた日から2年を経過しないものは、通関士となることができない。,○×,○,"""通関士に対する懲戒処分として通関業務に従事することを停止された者であって、停止の期間が経過しないものは、通関士となることができないが(業法31条2項3号ロ)、通関士に対する懲戒処分として通関業務に従事することを禁止された者であって、その処分を受けた日から2年を経過しないものは、通関士となることができない(同項1号、6条8号)。停止と禁止で扱いが異なるので紛らわしいが、本問は禁止の方であり、正しい。

なお、通関士が禁止処分を受けた場合には、同法32条2号（通関士の資格の喪失）の規定に該当し、その資格を喪失するので、禁止期間経過後通関士として通関業務に従事しようとするときは、改めて通関士の確認(同法31条)を受ける必要があるが、通関士が停止処分を受けた場合は、停止期間経過後、直ちに通関士として通関業務に従事することができる(同法基本通達35-1(2))。"""
通関業法（通関士の資格）,52-9-5,財務大臣の確認に係る届出に関する書面には、当該届出に係る者が通関業法第6条第1号から第9号までに規定する欠格事由に該当しないことを証する書面を添付しなければならない。,○×,○,業法施行令13条2項、業法31条2項1号にその通りの規定がある。
通関業法（行政処分）,52-10-1,財務大臣は、通関業の適正な遂行のために必要があると認めるときは、その必要の限度において、通関業者に対し、その業務の運営の改善に必要な措置をとるべきことを命ずることができる。,○×,○,業法33条の2にその通りの規定がある(業務改善命令)。
通関業法（行政処分）,52-10-2,財務大臣は、通関士に対する懲戒処分をしたときは、遅滞なくその旨を公告しなければならないが、当該懲戒処分に係る法令の規定に違反した行為の内容が軽微なものであると認めるときは、これを要しない。,○×,×,軽微なものだからといって遅滞なくその旨を公告する義務が免除されるわけではない(業法35条2項、34条2項)。
通関業法（行政処分）,52-10-3,財務大臣は、通関業者に対する監督処分として、関税法の規定に違反した通関業者に対し、その通関業の許可の取消しをすることができる。,○×,○,財務大臣は、通関業者が、通関業法若しくは通関業法に基づく命令若しくはこれらに基づく処分若しくは通関業の許可に付された条件又は関税法その他関税に関する法令の規定に違反したときは、その通関業者に対し、1年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる(業法34条1項1号)。
通関業法（行政処分）,52-10-4,財務大臣は、通関士に対する懲戒処分として、通関業法の規定に違反した通関士に対し、3年間その者が通関業務に従事することを禁止することができる。,○×,×,「3年間」ではなく「2年間」である(通関業法35条1項)。
通関業法（行政処分）,52-10-5,財務大臣は、通関業者に対する監督処分として、通関業法の規定に違反した通関業者に対し1年以内の期間を定めて通関業務の全部の停止を命じた場合において、特別の事情があると認めるときは、その処分を猶予することができる。,○×,×,特別の事情があると認めるときは、その処分を猶予することができる（つまり処分するのを一旦待ってあげる）との規定は無い(業法34条参照)。
通関業法（その他）,52-11-1,他人の依頼によってその依頼をした者を代理してする外国貨物を保税運送することの承認の申告は、通関業務である。,○×,×,通関業務ではなく関連業務である(業法7条、基本通達7-1(1)ヘ)。
通関業法（その他）,52-11-2,他人の依頼によってその依頼をした者を代理してする外国貨物を保税工場に置くことの承認の申請は、関連業務である。,○×,×,関連業務ではなく通関業務である(業法2条1号イ(1)(四))。
通関業法（その他）,52-11-3,他人の依頼によってその依頼をした者を代理してする輸入許可後に行う修正申告は、関連業務である。,○×,×,通関手続に含まれるため、関連業務ではなく通関業務である(業法2条1号イ(1)、基本通達2-2(2))。
通関業法（その他）,52-11-4,他人の依頼によってその依頼をした者を代理してする内国貨物である船用品を外国貿易船に積み込むことの承認の申告は、関連業務である。,○×,×,関連業務ではなく通関業務である(業法2条1号イ(1)(三))。
通関業法（その他）,52-11-5,他人の依頼によってその依頼をした者を代理してする関税法その他関税に関する法令以外の法令の規定により輸入に関して承認を必要とする貨物に係る当該承認の申請は、関連業務である。,○×,○,他人の依頼によってその依頼をした者を代理してする、関税法その他関税に関する法令以外の法令（いわゆる他法令）の規定により輸入に関して承認を必要とする貨物に係る当該承認の申請は、関連業務である(業法7条、基本通達7-1(1)チ)。
通関業法（通関業の許可）,52-12-1,通関業の許可を受けることができる者は、法人であって、その資産の内容が充実し、収支の状況が健全であり、かつ、通関業務を営むための必要な設備が整っていると認められる者に限られる。,○×,×,通関業の許可を受けるには、通関業の経営の基礎が確実であることが必要であり(業法5条1号)、「通関業の経営の基礎が確実であること」とは、申請者の資産内容が充実し、収支の状況が健全であり(申請者に繰越欠損金がなく、当期利益がある。)、かつ、通関業務を営むための必要な設備(例えば、予定される通関業務に係る取扱貨物の種類及び量に応じた営業所並びに通関書類等の作成及び保存に必要な設備)が整っていると認められることをいう(同法基本通達5-1(1))。しかし、法人に限定する規定は無い。実例は少ないが、個人事業主でも通関業の許可を受けることができる。
通関業法（通関業の許可）,52-12-2,弁護士法に基づき弁護士がその職務として通関業務を行う場合であっても、通関業の許可を受けなければならない。,○×,×,弁護士法に基づき弁護士がその職務として通関業務を行う場合は、通関業の許可を受ける必要は無い(業法3条5項)。弁護士の職務の一環として必要範囲で行うものなので、その職務とは無関係に、通関業の許可が無いのに通関業を営めるわけではないことに注意。（単なる副業、兼任でやると無許可ということ。）
通関業法（通関業の許可）,52-12-3,通関業の許可を受けようとする者は、通関業以外の事業を営んではならない。,○×,×,許可申請書には「通関業以外の事業を営んでいるときは、その事業の種類」という項目があり(業法4条1項5号)、通関業以外の事業を営んでいてもよいことが前提となっている。
通関業法（通関業の許可）,52-12-4,財務大臣は、通関業の許可をしたときは、遅滞なく、その旨を公告するとともに、許可を受けた者に許可証を交付することとされている。,○×,○,財務大臣は、通関業の許可をしたときは、遅滞なく、その旨を公告するとともに、許可を受けた者に許可証を交付することとされている(業法3条4項)。
通関業法（通関業の許可）,52-12-5,財務大臣は、通関業の許可に係る申請書(通関業許可申請書)が税関に到達してから30日以内に、当該申請に対する処分をするよう努めるものとされている。,○×,×,「30日以内」ではなく「20日以内」である(業法基本通達3-12(1))。
通関業法（通関業の許可）,52-13-1,暴力団員による不当な行為の防止等に関する法律第2条第6号に規定する暴力団員であった者については、当該暴力団員でなくなった日から7年を経過した場合であっても、通関業の許可を受けることができない。,○×,×,「5年を経過」すれば通関業の許可を受けることができる(業法6条7号)。
通関業法（通関業の許可）,52-13-2,金融商品取引法の規定に違反して拘禁刑に処せられた者であって、その執行を終わってから3年を経過しないものは、通関業の許可を受けることができない。,○×,○,欠格事由である「拘禁刑以上の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから3年を経過しないもの」に当たるため、正解となる(業法6条3号)。
通関業法（通関業の許可）,52-13-3,破産者であって復権を得ないものであっても、その資金繰りに関し財務大臣が確実と認める保証人による保証がある場合には、通関業の許可を受けることができる。,○×,×,"業法6条2号では「破産手続開始の決定を受けて復権を得ない者」は通関業の許可を受けることが出来ないとされており、保証人をつければ出来るというような例外的扱いをする規定は無い。

破産する場合、破産するための手続を始めるよと裁判所に決めてもらってから（破産手続開始の決定）、残った財産を誰にいくら分配するか等を決めていく手続（破産手続）が進む。破産手続開始の決定がされた場合、一定の資格を取得したり一定の職業に就くことが法律上出来なくなる。これを再びできるようにするのが復権という制度であり、この復権を得ないと通関業の許可は受けられない。復権を得れば、通関業の許可を受けることができる。"
通関業法（通関業の許可）,52-13-4,通関業務を行おうとする営業所の責任者が通関士試験に合格した者でない場合には、通関業の許可を受けることができない。,○×,×,そのような規定は無い(業法6条参照)。
通関業法（通関業の許可）,52-13-5,通関業者に対する監督処分により通関業の許可を取り消された者であっても、その処分を受けた日から1年を経過したものについては、通関業の許可を受けることができる。,○×,×,「1年」ではなく「2年」である(業法6条8号)。
通関業法（通関業者・通関士の義務）,52-14-1,通関業者は、2名以上の通関士を置く通関業務を行う営業所において、当該営業所における通関業務として他人の依頼に応じて税関官署に提出する書類について、当該通関士にその内容を審査させ、かつ、これに記名押印させる場合には、その記名押印については、これらの通関士のうち、より上位の職に就く者にこれをさせなければならない。,○×,×,2名以上の通関士を置く営業所において、より上位の職に就く者に記名押印をさせなければならないとする規定は無い(業法14条参照)。
通関業法（通関業者・通関士の義務）,52-14-2,通関業者は、その通関業の許可にその取り扱う通関業務に係る貨物について一定の種類の貨物のみに限る条件が付され、通関業務を行う営業所に通関士を置くことを要しない場合において、当該営業所に通関士を置いたときは、当該営業所における通関業務として他人の依頼に応じて税関官署に提出する輸入申告書について、当該通関士にその内容を審査させ、かつ、これに記名押印させなければならない。,○×,×,「記名押印」ではなく「記名」である(業法基本通達14-1)。出題当時は正しかったが、令和3年法改正により押印規定が廃止されたため誤りとなった。
通関業法（通関業者・通関士の義務）,52-14-3,通関業者は、あらかじめ税関長の承認を受けたときは、通関士を置く営業所における通関業務として他人の依頼に応じて税関官署に提出する輸入申告書について、当該営業所の通関士以外の通関業務の従業者にその内容を審査させ、かつ、これに記名押印させることができる。,○×,×,他人の依頼に応じて税関官署に提出する輸入申告書についての内容審査・記名ができるのは、その営業所の通関業務に従事している通関士のみである(業法14条参照)。
通関業法（通関業者・通関士の義務）,52-14-4,通関業者は、通関士を置く営業所における通関業務として他人の依頼に応じて税関官署に提出する保税蔵置場に外国貨物を置くことの承認に係る申請書について、当該通関士にその内容を審査させ、かつ、これに記名押印させることを要しない。,○×,×,この申請書については、当該通関士にその内容を審査させ、かつ、記名させることを要する(業法14条、施行令6条1号、法2条1号イ(1)(四))。なお、令和3年法改正により「記名押印」ではなく「記名」させることを要するとなった。
通関業法（通関業者・通関士の義務）,52-14-5,通関業者は、通関士を置く営業所における通関業務として他人の依頼に応じて税関官署に提出する関税法の規定に基づいて税関長に対してする不服申立てにつき、税関官署に対してする陳述に係る書類について、当該通関士にその内容を審査させ、かつ、これに記名させなければならない。,○×,×,業法14条、施行令6条2号には不服申立書についての内容審査・記名義務が定められているが、不服申立てについて税関官署に対してする陳述に係る書類についてはこのような義務は定められていない。ちなみに、不服申立書は不服申立てをするための正式な書類であり、陳述に係る書類(陳述書)は正式な書類ではなくお願い文書のようなものである。
通関業法（通関業者・通関士の義務）,52-15-1,通関業者は、その名義を他人に通関業のため使用させる場合には、財務大臣の許可を受けなければならない。,○×,×,業法17条で「通関業者は、その名義を他人に通関業のため使用させてはならない。」とされており、例外は無い。
通関業法（通関業者・通関士の義務）,52-15-2,通関業者が財務大臣に提出しなければならないこととされているその取扱いに係る通関業務の件数、これらについて受けた料金の額その他通関業務に係る事項を記載した報告書(定期報告書)には、報告期間の末日における通関業務の用に供される資産の明細を記載しなければならない。,○×,○,通関業者が財務大臣に提出しなければならないこととされている定期報告書には、①報告期間中に取り扱った通関業務についての種類別の件数及び受ける料金の額、②報告期間中における通関業務に関する支出の総額及びその内訳（帳簿上当該支出を分別経理していないときは、合理的推定を加えて計算した支出の総額及びその内訳並びにその計算の基礎）、③報告期間の末日における通関業務の用に供される資産の明細、④その他参考となるべき事項を記載しなければならない(業法第22条3項、施行令10条1項)。
通関業法（通関業者・通関士の義務）,52-15-3,通関業者が他人の依頼に応じて税関官署に提出する通関書類について、通関士の記名の有無は、当該通関書類の効力に影響を及ぼす。,○×,×,通関書類の効力に影響は及ぼさない(業法21条)。そのため、通関業者の監督処分や通関士の懲戒処分で21条違反に対応することとなる。
通関業法（通関業者・通関士の義務）,52-15-4,通関業者は、通関業務に関し、依頼者から依頼を受けたことを証する書類をその作成の日後5年間保存しなければならない。,○×,×,「5年間」ではなく「3年間」である(業法22条1項、施行令8条2項2号、3項)。
通関業法（通関業者・通関士の義務）,52-15-5,通関業者は、通関士を置く営業所における通関業務として他人の依頼に応じて税関官署に提出する関税法に基づく不服申立てに係る不服申立書について、通関士にその内容を審査させ、これに記名させることを要しない。,○×,×,業法14条、施行令6条2号には不服申立書についての内容審査・記名義務が定められている。
