カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
通関業法（通関業者、通関士等の義務）,58-6-2,A,通関業者は、通関業務に関して帳簿を設け、その収入に関する事項を記載するとともに、その取扱いに係る通関業務に関する書類を一定期間保存しなければならないが、関連業務についてはそれらを要しない。,○×,×,"通関業者の記帳義務、保存義務は通関業務に関する書類のみならず関連業務に関する書類についても対象となっている(業法22条1項)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-①記帳義務、保存義務]"
通関業法（定義、目的（通関業法））,58-6-3,A,他人の依頼によってその依頼をした者を代理してする輸入許可後に行う関税法第7条の14の規定に基づく修正申告は、関連業務に含まれることとされている。,○×,×,"関税についての輸入許可後の修正申告の代理は、輸入許可後に行われる関税の確定及び納付に関する手続として通関手続の代理に該当するため、通関業務である(業2条1号イ(1)、業通2-2(2))。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（2）通関業務-②通関手続]"
通関業法（定義、目的（通関業法））,58-6-4,A,関税法の規定に基づく税関官署の検査につき、他人の依頼によってその依頼をした者を代理してする税関官署に対してする主張又は陳述は、通関業務に含まれる。,○×,○,"関税法の規定に基づく税関官署の検査につき、他人の依頼によってその依頼をした者を代理してする税関官署に対してする主張又は陳述は、通関業務である(業2条1号イ(3))。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（2）通関業務-④主張又は陳述]"
通関業法（定義、目的（通関業法））,58-6-5,A,他人の依頼によってその依頼をした者を代理してする関税法第7条の10の規定に基づく申告の特例の適用を受ける必要がなくなった旨の届出は、通関業務に含まれる。,○×,×,"輸入申告の特例の適用を受ける必要がなくなった旨の届出の代理は、通関業務に挙げられていないので、通関業務に含まれない(業2条1号参照)。通関業務に関連して行われる業務なので関連業務となる(業7条)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（2）通関業務]"
通関業法（通関業の許可）,58-7-1,A,財務大臣は、通関業の許可をしようとするときは、許可申請者が、その人的構成に照らして、その行おうとする通関業務を適正に遂行することができる能力を有することに適合するかどうかを審査しなければならないこととされており、この「人的構成に照らし」とは、許可申請者（法人である場合には、その役員）及び通関士その他の従業者全体の人的資質に関する評価をいうほか、全体として、組織体制が確立しているかどうかの評価をも含むこととされている。,○×,○,"その通りである(業法5条2号、業通5-2(1))。働いている人それぞれの評価だけでなく、組織全体としての評価も含むのである。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件]"
通関業法（通関業の許可）,58-7-2,A,財務大臣は、通関業の許可に条件を付することができない。,○×,×,"財務大臣は、通関業の許可に条件を付すことができる。この条件は、通関業法の目的を達成するために必要最少限度のものでなければならない(業3条2項、3項)。
[参照　第8編（通関業法）-第2章（通関業の許可）-2.許可の条件]"
通関業法（通関業の許可）,58-7-3,A,通関業の許可を受けようとする者は、通関業許可申請書に主要な依頼者の委任状を添付しなければならないこととされている。,○×,×,"通関業許可申請書にはいくつか書面を添付して提出しなければならないが、その中に主要な依頼者の委任状というものは挙げられていない(業4条2項、業規1条、業通4-2(7))。
[参照　第8編（通関業法）-第2章（通関業の許可）-3.許可の申請]"
通関業法（通関業の許可）,58-7-4,A,通関業の許可を受けようとする者は、通関業許可申請書に通関士となるべき者その他の通関業務の従業者（申請者が法人である場合における通関業務を担当する役員を含む。）の名簿及びこれらの者の履歴書を添付しなければならない。,○×,○,"通関業許可申請書に添付する書面として挙げられている(業4条2項、業規1条4号)。
[参照　第8編（通関業法）-第2章（通関業の許可）-3.許可の申請]"
通関業法（通関業の許可）,58-7-5,A,通関業の許可を受けようとする者が通関業以外の事業を営んでいる場合であっても、通関業許可申請書にその事業の概要、規模及び最近における損益の状況を示す書面を添付することを要しない。,○×,×,"通関業許可申請書には、申請者が通関業以外の事業を営んでいる場合には、その事業の概要、規模及び最近における損益の状況を示す書面を添付しなければならない(業4条2項、業規1条5号)。
[参照　第8編（通関業法）-第2章（通関業の許可）-3.許可の申請]"
通関業法（通関業者、通関士等の義務）,58-8-1,A,関税法施行令第4条の17第1項に規定する更正請求書は、通関業法第14条（通関士の審査等）の規定により通関業者が通関士にその内容を審査させなければならない通関書類に該当する。,○×,○,"関税の更正請求書は、通関士に内容を審査させなければならない通関書類である(業14条、業令6条4号)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業法（通関業者、通関士等の義務）,58-8-2,A,総合保税地域に外国貨物を置くことの承認に係る申請書は、通関業法第14条（通関士の審査等）の規定により通関業者が通関士にその内容を審査させなければならない通関書類に該当する。,○×,○,"総保入承認の申請書は、通関士に内容を審査させなければならない通関書類である(業14条、業令6条1号)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業法（通関業者、通関士等の義務）,58-8-3,A,関税率表の適用上の所属の教示に係る照会書は、通関業法第14条（通関士の審査等）の規定により通関業者が通関士にその内容を審査させなければならない通関書類に該当する。,○×,×,"関税率表の適用上の所属の教示に係る照会書（事前教示の照会書）は、通関士に内容を審査させなければならない通関書類として挙げられていない(業14条、業令6条参照)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業法（通関業者、通関士等の義務）,58-8-4,A,輸入の許可前における貨物の引取りの承認に係る申請書は、通関業法第14条（通関士の審査等）の規定により通関業者が通関士にその内容を審査させなければならない通関書類に該当する。,○×,×,"輸入許可前貨物引取承認の申請書は、通関士に内容を審査させなければならない通関書類として挙げられていない(業14条、業令6条参照)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業法（通関業者、通関士等の義務）,58-8-5,A,本邦と外国との間を往来する航空機への機用品の積込みの申告書は、通関業法第14条（通関士の審査等）の規定により通関業者が通関士にその内容を審査させなければならない通関書類に該当する。,○×,○,"本邦と外国との間を往来する船舶又は航空機への船用品又は機用品の積込申告書は、通関士に内容を審査させなければならない通関書類である(業14条、業令6条1号)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（3）通関士の審査記名]"
通関業法（通関業者、通関士等の義務）,58-9-1,A,法人である通関業者の役員及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない。,○×,○,"通関業者（法人である場合には、その役員）及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない(信用失墜行為の禁止 業20条)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（7）信用失墜行為の禁止]"
通関業法（通関業者、通関士等の義務）,58-9-2,A,通関業務を行うに当たって依頼者の陳述又は文書等から知り得た事実で一般に知られていないものについては、知られないことにつき、依頼者又はその関係者に利益があると客観的に認められるかどうかを問わず、通関業法第19条（秘密を守る義務）に規定する「通関業務に関して知り得た秘密」に当たることとされている。,○×,×,"通関業者（法人である場合には、その役員）及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならない(業19条)。「通関業務に関して知り得た秘密」とは、通関業務を行うに当たって依頼者の陳述又は文書等から知り得た事実で、一般に知られておらず、かつ、知られないことにつき、依頼者又はその関係者に利益があると客観的に認められるものをいう(業通19-1(2))。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（6）秘密を守る義務]"
通関業法（通関業者、通関士等の義務）,58-9-3,C,通関士であった者は、通関業法第32条第１号（通関士の資格の喪失）の規定に該当したことにより通関士でなくなった場合には、同法第22条第2項の規定による異動の届出の有無にかかわらず、通関士としての自己の名義を他人に通関業務のために使用させてはならない。,○×,○,"通関士は、その名義を他人に通関業務のため使用させてはならず、通関士の資格を喪失して通関士ではなくなった後も、通関業者が異動の届出をするまでは名義貸しが禁止される(名義貸しの禁止 業33条)。「異動の届出の有無にかかわらず、通関士としての自己の名義を他人に通関業務のために使用させてはならない」というのは、異動の届出をする前もした後も名義貸しが禁止されるという意味ではない。異動の届出があった場合、その届出があるまでは名義貸ししてはいけないし、異動の届出が無い場合、その届出をこれからするまでは名義貸ししてはいけないから、いずれにせよ名義貸ししてはいけないという意味である、そのため、この問題文の内容は正しいが、紛らわしいのであまりいい問題といえない。
[参照　第8編（通関業法）-第4章（通関士）-2.名義貸しの禁止]"
通関業法（通関業者、通関士等の義務）,58-9-4,A,通関業法第32条第1号（通関士の資格の喪失）の規定に該当したことにより通関士でなくなった者であって、同法第22条第2項の規定による異動の届出のない者が、通関書類に通関士としての自己の記名をさせた場合には、その行為は同法第33条に規定する「その名義を他人に通関業務のために使用させる」ことには当たらないこととされている。,○×,×,"通関士は、その名義を他人に通関業務のため使用させてはならない(名義貸しの禁止 業33条)。確認を受けた通関業者の通関業務に従事しなくなったときは、通関士の資格を喪失して通関士ではなくなるが、その後通関業者が異動の届出をするまでは名義貸しが禁止される。｢その名義を他人に通関業務のために使用させる｣とは、例えば、確認を受けた通関業者の通関業務に従事しなくなったため通関士の資格を喪失したものの異動の届出のない者が、通関書類に通関士としての自己の記名をさせる場合をいうからである(業通33-1(2))。
[参照　第8編（通関業法）-第4章（通関士）-2.名義貸しの禁止]"
通関業法（通関業者、通関士等の義務）,58-9-5,A,通関業法第18条の規定により掲示する通関業務の料金表の様式及び掲示場所については、社会通念上妥当と考えられる方法により各通関業者が自由に定めることとして差し支えないこととされている。,○×,○,"通関業者は、通関業務（関連業務を含む。）の料金の額を営業所において依頼者の見やすいように掲示しなければならない(業18条)。この料金の額の掲示に係る様式及び掲示場所については、社会通念上妥当と考えられる方法により各通関業者が自由に定めることができる(業通18-2)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（5）料金の掲示義務]"
通関業法（通関業者、通関士等の義務）,58-10-1,A,通関業者は、通関士その他の通関業務の従業者（当該通関業者が法人である場合には、通関業務を担当する役員及び通関士その他の通関業務の従業者）の氏名及びその異動を財務大臣に届け出なければならないこととされており、この「通関業務の従業者」には、経理事務や施設管理のための庶務作業のみを行う者等、通関業者に所属するすべての者を含むこととされている。,○×,×,"異動の届出の対象となる「通関業務の従業者」とは、通関業者において通関業務に携わる従業者全員をいい、通関業者に所属しているものの通関業務に関与していない者（例えば経理事務や施設管理のための庶務作業のみを行う者等。）は含まない(業通22-1(3))。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-②届出義務]"
通関業法（通関業者、通関士等の義務）,58-10-2,A,通関業者は、通関士その他の通関業務の従業者に異動があった場合には、当該異動の日から起算して30日以内に、その異動の内容を財務大臣に届け出なければならない。,○×,×,"異動があった場合は、「その都度」、届出を行わなければならない(業令9条1項)。異動の日から起算して30日以内という規定はされていない。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-②届出義務]"
通関業法（通関業者、通関士等の義務）,58-10-3,A,法人である通関業者は、通関業務を担当する役員に異動があった場合には、その都度、その役員の氏名及びその異動の内容その他参考となるべき事項を記載した届出書を財務大臣に提出しなければならない。,○×,○,"通関業者は、通関士その他の通関業務の従業者（通関業者が法人である場合には、通関業務を担当する役員及び通関士その他の通関業務の従業者）の氏名及びその異動を、異動があれば、その都度、財務大臣に届け出なければならない(業22条2項、業令9条1項)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-②届出義務]"
通関業法（通関業者、通関士等の義務）,58-10-4,A,通関業者は、毎年1回通関業務に係る事項を記載した報告書を財務大臣に提出しなければならないこととされているが、当該通関業者が法人である認定通関業者である場合には、当該報告書には、報告の対象となる期間に係る事業年度の貸借対照表及び損益計算書を添付することを要しない。,○×,×,"法人である通関業者が提出する定期報告書には、報告期間に係る事業年度の貸借対照表及び損益計算書を添付しなければならない(業令10条2項)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-③報告義務]"
通関業法（通関業者、通関士等の義務）,58-10-5,A,法人である通関業者は、通関業務に係る事項を記載した報告書を、毎年4月1日から翌年3月31日までの間に終了する通関業者の事業年度（当該期間内に2以上の事業年度が終了するときは、これらを通じた期間）ごとに、翌年6月30日までに財務大臣に提出しなければならない。,○×,○,"通関業者は、その取扱いに係る通関業務の件数、これらについて受けた料金の額その他通関業務に係る事項を記載した報告書を毎年1回財務大臣に提出しなければならない(定期報告書 業22条3項)。この報告書には、その通関業者が法人であれば、毎年4月1日から翌年3月31日までの間に終了する通関業者の事業年度（当該期間内に2以上の事業年度が終了するときは、これらを通じた期間）ごとに、一定の事項を記載し、翌年6月30日までにこれを提出する(業令10条1項)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（8）記帳、届出、報告等-③報告義務]"
通関業法（定義、目的（通関業法））,58-11-1,A,他人の依頼によってその依頼をした者を代理してする関税法その他関税に関する法令によってされた処分につき、行政不服審査法又は関税法の規定に基づいて税関長又は財務大臣に対してする不服申立ての手続は、認定通関業者のみが行うことができる。,○×,×,"関税法その他関税に関する法令によってされた処分につき、行政不服審査法又は関税法の規定に基づいて、税関長又は財務大臣に対してする不服申立ての代理は通関業務であるが(業2条1号イ(2))、通関業務について認定通関業者のみが行うことができる旨の規定はない。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（2）通関業務-③不服申立て]"
通関業法（通関業者、通関士等の義務）,58-11-2,A,通関業者は、通関業務の料金の額についてはその営業所において依頼者の見やすいように掲示しなければならないが、関連業務の料金の額については依頼者の要請があった場合に提示すればよいこととされている。,○×,×,"通関業者は、通関業務（関連業務を含む。）の料金の額を営業所において依頼者の見やすいように掲示しなければならない(業18条)。
[参照　第8編（通関業法）-第3章（通関業者の義務、権利）-1.通関業者の義務-（5）料金の掲示義務]"
通関業法（定義、目的（通関業法））,58-11-3,A,他人の依頼によってその依頼をした者を代理してする関税法第7条第3項の規定による輸入貨物に係る原産地の教示の求めは、関連業務に含まれる。,○×,○,"事前教示照会のことであるから、関連業務に当たる(業7条、業通7-1(1)イ)。なお、通関士試験で具体的な内容につき問われる事前教示照会は、輸入しようとする貨物の税番（HSコード）がよく分からないときに教示してもらう「関税定率法別表（関税率表）の適用上の所属」についてのものが殆どであるが、原産地についての事前教示を求める事前教示照会もあるので(関通7-19-1から7-19-3)、本問はそれのことを指している。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
通関業法（定義、目的（通関業法））,58-11-4,A,他人の依頼によってその依頼をした者を代理してする関税定率法第20条第2項（違約品等の再輸出又は廃棄の場合の戻し税等）の規定に基づく関税の払戻しに関する申請手続は、通関業務に含まれる。,○×,×,"関税の払戻しの手続きは通関業務に挙げられておらず、関連業務に当たる(業7条)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
通関業法（定義、目的（通関業法））,58-11-5,A,通関業者は、通関業務のほか、その関連業務として、通関業者の名称を用いて、他人の依頼に応じ、通関業務に先行し、後続し、その他当該業務に関連する業務を行うことができることとされており、当該業務が通関業法以外の法律において行うことが制限されている事項であっても、当該制限に従うことを要しない。,○×,×,"通関業者は、通関業務のほか、その関連業務として、通関業者の名称を用いて、他人の依頼に応じ、通関業務に先行し、後続し、その他その業務に関連する業務を行なうことができる。ただし、他の法律においてその業務を行なうことが制限されている事項については、この限りでない(業7条)。
[参照　第8編（通関業法）-第1章（通関業法の目的と定義）-2.定義-（3）関連業務]"
通関業法（通関業の許可）,58-12-1,A,財務大臣は、通関業務を行う営業所の新設の許可をしようとするときは、その許可申請に係る通関業を営もうとする営業所につき、通関業法第13条（通関士の設置）の要件を備えることとなっていることを審査しなければならないが、この「通関業法第13条の要件を備えることとなっていること」には、許可申請の際、通関士試験合格者を雇用することが雇用契約等により確実とは認められない単なる見通しを含むこととされている。,○×,×,"営業所の新設の許可基準として、許可申請に係る通関業を営む営業所につき、通関士の設置要件(業13条)を備えることが挙げられる(業8条2項、5条3号)。これは、申請の際、通関士試験合格者を現に雇用しているか、又は通関士試験合格者を雇用することが雇用契約等により確実と認められる場合をいい、単なる見通しは含まれない(業通5-4)。
[参照　第2編（関税法）-第8章（AEO事業者等になるための要件と失効・取消し等）-5.通関士、通関業者-（1）要件、第8編（通関業法）-第2章（通関業の許可）-5.営業所の新設-（1）営業所の新設]"
通関業法（通関業の許可）,58-12-2,A,通関業者が通関業務を行う営業所の新設の許可を受けようとするときは、許可申請書を財務大臣に提出しなければならないが、その許可申請書には、当該営業所において行われる見込みの通関業務の量及びその算出の基礎を記載した書面を添付することを要しない。,○×,×,"営業所新設の許可申請書には、当該営業所において行われる見込みの通関業務の量及びその算出の基礎を記載した書面を添付して提出しなければならない(業8条1項、業令1条2項)。
[参照　第8編（通関業法）-第2章（通関業の許可）-3.許可の申請]"
通関業法（通関業の許可）,58-12-3,A,財務大臣が通関業務を行う営業所の新設の許可の際に当該許可に付することができる条件は、通関業務を行うことができる地域の限定及び取り扱う貨物の種類の限定に限るものとされている。,○×,×,"営業所新設の許可にも条件を付すことができるが、その種類は通関業の許可と同様、貨物限定と許可の期限の2種類のみである(業8条2項、3条2項、3項、業通3-1)。
[参照　第8編（通関業法）-第2章（通関業の許可）-5.営業所の新設-（1）営業所の新設]"
