カテゴリー,問題番号,,選択肢,正解,解説
通関業法（通関業の許可）,53-6-1,複数の税関の管轄区域内において通関業を営もうとする者は、その管轄区域ごとに通関業の許可を受けなければならない。,○×,×,通関業の許可には営業区域が無いので、税関の管轄区域ごとに許可を受ける必要は無い(業法3条1項参照)。
通関業法（通関業の許可）,53-6-2,認定通関業者である通関業者が財務大臣に届け出て通関業務を行う営業所を新たに設けた場合には、当該営業所については、その届出が受理された時において、通関業法第8条第1項の営業所の新設に係る財務大臣の許可を受けたものとみなして、同法の規定を適用することとされている。,○×,○,"通関業者は、通関業務を行う営業所を新たに設けようとするときは、財務大臣の許可を受けなければならないのが原則であるが(業法8条1項)、認定通関業者である通関業者は、財務大臣に届け出ることで、当該営業所については、その届出が受理された時において、営業所の新設に係る財務大臣の許可を受けたものとみなされる(同法9条1項)。

なお、本問に限らず、許可というのは、民間人（会社のような法人含む。）が許可のお願い（申請）を役所にして、それに対してOKなら役所が許可を出すという制度になっており、届出というのは、民間人（会社のような法人含む。）が役所にお知らせすれば、役所の判断が無くても届出に係る行為ができたり権利を得たりする制度である。"
通関業法（通関業の許可）,53-6-3,財務大臣は、通関業の許可をしようとするときは、許可申請に係る通関業の経営の基礎が確実であることに適合するかどうかを審査しなければならない。,○×,○,業法5条1号にその通りの規定がある。なお、業法基本通達5-1(1)で、「通関業の経営の基礎が確実であること」とは、申請者の資産内容が充実し、収支の状況が健全であり(申請者に繰越欠損金がなく、当期利益がある。)、かつ、通関業務を営むための必要な設備(例えば、予定される通関業務に係る取扱貨物の種類及び量に応じた営業所並びに通関書類等の作成及び保存に必要な設備)が整っていると認められることをいう、とされている。つまり、通関業を経営していける程度にお金や設備があるということを指す。
通関業法（通関業の許可）,53-6-4,財務大臣は、通関業の許可をしようとするときは、許可申請者がその人的構成に照らして、その行おうとする通関業務を適正に遂行することができる能力を有することに適合するかどうかを審査しなければならないこととされており、この「人的構成に照らし」とは、当該許可申請者(法人である場合には、その役員)及び通関士その他の従業者全体の人的資質に関する評価をいうほか、全体として、組織体制が確立しているかどうかの評価をも含むこととされている。,○×,○,財務大臣は、通関業の許可をしようとするときは、許可申請者が、その人的構成に照らして、その行おうとする通関業務を適正に遂行することができる能力を有し、かつ、十分な社会的信用を有することを審査しなければならない(業法5条2号)。この「人的構成に照らし」とは、当該許可申請者(法人である場合には、その役員)及び通関士その他の従業者全体の人的資質に関する評価をいうほか、全体として、組織体制が確立しているかどうかの評価をも含むこととされている(同法基本通達5-2(1))。その通関業者に勤める者それぞれの人間性（人的資質）に加え、それらの人が集まった組織として適切に機能しているか（組織体制が確立しているか）ということも評価対象になるのである。
通関業法（通関業の許可）,53-6-5,財務大臣は、通関業の許可をしようとするときは、許可申請に係る通関業を営む営業所につき、通関業法第13条に規定する通関士の設置の要件を備えることとなっていることに適合するかどうかを審査することを要しない。,○×,×,要する(業法5条3号)。
通関業法（通関業者の権利）,53-7-1,税関長は、通関業者の行う通関手続に関し、税関職員に関税法第67条の輸出又は輸入しようとする貨物についての必要な検査をさせるため、当該通関業者又はその従業者の立会いを求めるための通知を当該通関業者に行った場合において、当該通関業者又はその従業者が立ち会わないときは、立会いのないまま検査を行って差し支えないこととされている。,○×,○,税関長は、通関業者の行なう通関手続に関し、税関職員に輸出又は輸入の際の検査をさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に通知しなければならない(業法第16条)。この通知に対し、通関業者又はその従業者が立ち会わないときは、立会いのないまま検査を行って差し支えない(同法基本通達16-1(2))。
通関業法（通関業者の権利）,53-7-2,税関長は、通関業者の行う通関手続に関し、税関職員に関税法第 62 条の3第2項の保税展示場に入れようとする外国貨物についての必要な検査をさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に通知しなければならない。,○×,○,税関長は、通関業者の行なう通関手続に関し、税関職員に、①輸出又は輸入の際の検査(関税法67条)、②積戻しの際の検査(同法75条、67条)、③蔵入承認・移入承認・総保入承認の際の検査(同法43条の4第1項、61条の4、62条の15)、④保税展示場に入れる際の検査(同法62条の3第2項)のいずれかをさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に通知しなければならない(業法第16条、施行令7条)。本問は、④に当たる。
通関業法（通関業者の権利）,53-7-3,通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、更正をすべき場合において、当該更正が、計算の誤りに基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該誤りに関し意見を述べる機会を与えなければならない。,○×,×,通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。ただし、当該関税の額の増加が計算又は転記の誤りその他これに類する客観的に明らかな誤りに基因するものである場合は、この限りでない(業法15条)。客観的に見て明らかな誤りであれば、通関業者の意見を聞かなくても更正に間違いはないと考えられるから、ただし書きのような規定がある。本問はただし書きに当たる場合なので、誤りである。
通関業法（通関業者の権利）,53-7-4,通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。,○×,○,通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。ただし、当該関税の額の増加が計算又は転記の誤りその他これに類する客観的に明らかな誤りに基因するものである場合は、この限りでない(業法15条)。本問はただし書きに当たるような事情は書かれておらず、原則通りなので、正しい。
通関業法（通関業者の権利）,53-7-5,税関長は、通関業者の行う通関手続に関し、税関職員に関税法第75条において準用する同法第 67 条の本邦から外国に向けて積戻ししようとする外国貨物についての必要な検査をさせるときは、当該通関業者に対し、当該通関業者又はその従業者の立会いを求めるための通知をすることを要しない。,○×,×,税関長は、通関業者の行なう通関手続に関し、税関職員に、①輸出又は輸入の際の検査(関税法67条)、②積戻しの際の検査(同法75条、67条)、③蔵入承認・移入承認・総保入承認の際の検査(同法43条の4第1項、61条の4、62条の15)、④保税展示場に入れる際の検査(同法62条の3第2項)のいずれかをさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に通知しなければならない(業法第16条、施行令7条)。本問は、②に当たるので通知を要する。
通関業法（通関業者・通関士の義務）,53-8-1,通関業者が営業所に通関士を置くことを要しない場合における当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」とは、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいうこととされている。,○×,○,通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、通関士を置かなければならない。ただし、当該営業所において取り扱う通関業務に係る貨物が一定の種類の貨物のみに限られている場合は、この限りでない(業法13条)。「一定の種類の貨物のみに限られている場合」とは、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいう。本規定における「簡易かつ、定型化されている場合」とは、限定された通関手続のみを反復継続的に行い、当該手続が全体として簡易であり、貨物全般の通関に関する広い知識の有無にかかわらず適正な手続の完了が期待できるものである必要があり、例えば、コンテナー及びその修理用部分品の通関手続のみを行う場合、船(機)用品の積込申告のみを行う場合等をいう(同法基本通達13-1)。
通関業法（通関業者・通関士の義務）,53-8-2,通関士は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならないこととされており、法令に規定する証人、鑑定人として裁判所において陳述する場合は、この「正当な理由」があるときに該当する。,○×,○,通関業者（法人である場合には、その役員）及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならない。これらの者がこれらの者でなくなった後も、同様とする(業法19条)。「正当な理由がある場合」とは①依頼者の許諾がある場合、②法令に規定する証人、鑑定人等として裁判所において陳述する場合、③その他法令に基づく求めに応じて陳述する場合をいう(同法基本通達19-1(1))。本問は、②である。証人、鑑定人等として裁判所において陳述する場合というのは、誰かが裁判になったときに、事情を知ってる人（証人）として呼ばれたので証言したり、専門家（鑑定人）として呼ばれたので意見を述べたりする場合である。
通関業法（通関業者・通関士の義務）,53-8-3,通関業者は、関連業務の料金の額を営業所において依頼者の見やすいように掲示しなければならないこととされており、料金の額の掲示に係る様式及び掲示場所については、社会通念上妥当と考えられる方法により各通関業者が自由に定めて差し支えないこととされている。,○×,○,通関業者は、関連業務の料金の額を営業所において依頼者の見やすいように掲示しなければならず(業法18条)料金の額の掲示に係る様式及び掲示場所については、社会通念上妥当と考えられる方法により各通関業者が自由に定めて差し支えない(同法基本通達18-2)。「料金の額の掲示に係る様式及び掲示場所については、社会通念上妥当と考えられる方法により各通関業者が自由に定めることとして差し支えない」というのは、一般的にみて適当だと言える範囲で各通関業者が決めていいよということである。
通関業法（通関業者・通関士の義務）,53-8-4,通関士は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならないこととされており、依頼者の許諾がある場合であっても、この「正当な理由」があるときに該当しない。,○×,×,通関業者（法人である場合には、その役員）及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならない。これらの者がこれらの者でなくなった後も、同様とする(業法19条)。「正当な理由がある場合」とは①依頼者の許諾がある場合、②法令に規定する証人、鑑定人等として裁判所において陳述する場合、③その他法令に基づく求めに応じて陳述する場合をいう(同法基本通達19-1(1))。本問は、①であるので、正当な理由があるときに該当する。
通関業法（通関業者・通関士の義務）,53-8-5,通関士は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならないこととされており、この「通関業務に関して知り得た秘密」とは、通関業務を行うに当たって依頼者の陳述又は文書等から知り得た事実で一般には知られておらず、かつ、知られないことにつき、依頼者又はその関係者に利益があると客観的に認められるものをいうこととされている。,○×,○,通関業者（法人である場合には、その役員）及び通関士その他の通関業務の従業者は、正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らし、又は盗用してはならない。これらの者がこれらの者でなくなった後も、同様とする(業法19条)。「通関業務に関して知り得た秘密」とは、通関業務を行うに当たって依頼者の陳述又は文書等から知り得た事実で一般に知られておらず、かつ、知られないことにつき、依頼者又はその関係者に利益があると客観的に認められるものをいう(同法基本通達19-1(2))。他の人に知られたとしても依頼者やその関係者に特に不都合が無いような情報であれば、「依頼者又はその関係者に利益があると客観的に認められるもの」ではない。どの程度の情報なら「依頼者又はその関係者に利益があると客観的に認められるもの」に当たるのかはケースバイケースであるが、例えば前例のないとても特殊な物品であり輸入したこと自体を知られると困るような場合であればこれに当たるかもしれないが、単に食品を輸入したよというものであり依頼者も特定できないような抽象的な情報であれば普通はこれに当たらないであろう。
通関業法（通関業者・通関士の義務）,53-9-1,通関業者は、通関業務に関して帳簿を設け、その収入に関する事項を記載し、当該帳簿を閉鎖の日後5年間保存しなければならない。,○×,×,「5年間」ではなく「3年間」である(業法22条1項、施行令8条3項)。
通関業法（通関業者・通関士の義務）,53-9-2,通関業者は、通関士その他の通関業務の従業者(当該通関業者が法人である場合には、通関業務を担当する役員及び通関士その他の通関業務の従業者)に異動があった場合には、当該異動の日後60日以内に、その異動の内容を財務大臣に届け出なければならないこととされている。,○×,×,「当該異動の日後60日以内」ではなく「そのつど」である(業法22条2項、施行令9条1項)。
通関業法（通関業者・通関士の義務）,53-9-3,通関業者は、定期報告書(その取扱いに係る通関業務及び関連業務の件数、これらについて受けた料金の額その他通関業務及び関連業務に係る事項を記載した報告書)を毎年6月30日までに財務大臣に提出しなければならない。,○×,○,通関業者は、その取扱いに係る通関業務の件数、これらについて受けた料金の額その他通関業務に係る事項を記載した報告書を毎年一回財務大臣に提出しなければならない(業法22条3項)。この報告書は、毎年4月1日から翌年3月31日までの間に終了する通関業者の事業年度（当該期間内に2以上の事業年度が終了するときは、これらを通じた期間とし、個人である通関業者については、歴年とする。）ごとに作成し、翌年6月30日までにこれを提出しなければならない(施行令10条1項)。
通関業法（通関業者・通関士の義務）,53-9-4,通関業者が設けなければならない通関業務に関する帳簿には、通関業者の通関業務を行う営業所ごとに、その営業所において取り扱った通関業務(関連業務を含む。)の種類に応じ、その取り扱った件数及び受ける料金を記載するとともに、その1件ごとに、依頼者の氏名又は名称、貨物の品名及び数量、通関業務に係る申告書、申請書、不服申立書その他これらに準ずる書類の税関官署又は財務大臣への提出年月日、その受理番号、通関業務につき受ける料金の額その他参考となるべき事項を記載しなければならない。,○×,○,通関業者が設ける帳簿には、通関業者の通関業務を行う営業所ごとに、その営業所において取り扱った通関業務（関連業務を含む。）の種類に応じ、①その取り扱った件数及び受ける料金を記載するとともに、②その一件ごとに、依頼者の氏名又は名称、貨物の品名及び数量、通関業務に係る申告書、申請書、不服申立書その他これらに準ずる書類の税関官署又は財務大臣への提出年月日、その受理番号、通関業務につき受ける料金の額その他参考となるべき事項を記載しなければならない(業法22条1項、施行令8条1項)。なお、この帳簿は、「通関業務取扱台帳」(税関様式B-1170)と「通関業務取扱明細簿」(税関様式B-1171)に分けられ、①は台帳へ、②は明細なので明細簿へ記載する。
通関業法（通関業者・通関士の義務）,53-9-5,通関業者が財務大臣に提出しなければならないこととされている定期報告書(その取扱いに係る通関業務及び関連業務の件数、これらについて受けた料金の額その他通関業務及び関連業務に係る事項を記載した報告書)には、報告期間中に取り扱った通関業務についての種類別の件数及び受ける料金の額を記載しなければならない。,○×,○,通関業者が財務大臣に提出しなければならないこととされている定期報告書には、①報告期間中に取り扱った通関業務についての種類別の件数及び受ける料金の額、②報告期間中における通関業務に関する支出の総額及びその内訳（帳簿上当該支出を分別経理していないときは、合理的推定を加えて計算した支出の総額及びその内訳並びにその計算の基礎）、③報告期間の末日における通関業務の用に供される資産の明細、④その他参考となるべき事項を記載しなければならない(業法第22条3項、施行令10条1項)。
通関業法（通関士の資格）,53-10-1,通関士試験に合格した者は、どの税関の管轄区域内においても、通関士となる資格を有する。,○×,○,業法25条にその通りの規定がある。日本全国どこの税関の管轄でも通関士になれるのである。
通関業法（通関士の資格）,53-10-2,偽りその他不正の手段により通関業法第31条第1項の確認(通関業者が通関士試験に合格した者を通関士としてその通関業務に従事させようとする場合における財務大臣の確認)を受けたことが判明し、通関士の資格を喪失し、通関士でなくなった者は、当該確認を受けた通関業者のその他の通関業務の従業者として通関業務に従事することはできない。,○×,×,業法32条4号では、偽りその他不正の手段により法31条1項の通関士の確認を受けたことが判明したときには、「通関士でなくなる」と規定する（通関士の資格の喪失）。しかし、「通関士でなくなる」とは、通関士として通関業務に従事する資格を失うことをいう。したがって、通関士でなくなった者であっても、法35条1項（通関士に対する懲戒処分）の規定により懲戒処分として通関業務に従事することを停止され、又は禁止された場合とは異なり、その他の通関業務の従業者として通関業務に従事することはできる（基本通達32-1(1)）。
通関業法（通関士の資格）,53-10-3,関税法第111条(許可を受けないで輸出入する等の罪)の規定に該当する違反行為をして同法の規定により通告処分を受け、通関士の資格を喪失し、通関士でなくなった者は、通関士試験の合格の決定についても取り消されることとなる。,○×,×,関税法第111 条の規定に該当する違反行為をして同法の規定により通告処分を受けると、通関士の資格を喪失し、通関士でなくなるが(業法32条2号、6条4号イ)、その場合でも通関士試験の合格の決定が取り消される場合を除き、通関士試験合格の資格は喪失しない(基本通達32-1(4))。
通関業法（通関士の資格）,53-10-4,通関士試験の合格の事実を偽って通関業法第31条第1項の確認(通関業者が通関士試験に合格した者を通関士としてその通関業務に従事させようとする場合における財務大臣の確認)を受けたことが判明した者は、通関士の資格を喪失し、通関士でなくなるものとされている。,○×,×,通関士試験の合格の事実を偽って確認を受けた場合は、そもそも当初から通関士となる資格を有しないから通関士ではないのであり、喪失して通関士でなくなるわけではない(基本通達32-1(4))。
通関業法（通関士の資格）,53-10-5,通関業法第31条第1項の確認(通関業者が通関士試験に合格した者を通関士としてその通関業務に従事させようとする場合における財務大臣の確認)を受けた通関業者の通関業務に従事しないこととなった通関士は、通関士の資格を喪失し、通関士でなくなるものとされている。,○×,○,業法32条1号にその通りの規定がある。なお、この後もまた通関士の確認を受ければ通関士となる。
通関業法（その他）,53-11-1,通関業者は、通関業法以外の法律において行うことが制限されている事項を除き、関連業務として、通関業者の名称を用いて、他人の依頼に応じ、通関業務に先行し、後続し、その他当該業務に関連する業務を行うことができる。,○×,○,業法7条にその通りの規定がある。
通関業法（その他）,53-11-2,他人の依頼によってその依頼をした者を代理してする関税法第7条第3項の規定による輸入貨物に係る課税標準の教示の求めは、関連業務である。,○×,○,「事前教示照会」として関連業務に当たる(通達7-1(1)イ)。
通関業法（通関業者・通関士の義務）,53-11-3,通関業者は、関連業務の料金の額を営業所において依頼者の見やすいように掲示しなければならないこととされており、掲示する料金の額については、依頼者の支払額に係る予見可能性を確保するために、貨物の特性、取扱規模等の事情により料金に割増・割引が生じる場合等についてはその適用がある旨を、料金の額に含まれない実費を別途請求する場合についてはその旨を記載しなければならないこととされている。,○×,○,通関業者は、関連業務の料金の額を営業所において依頼者の見やすいように掲示しなければならないこととされている(業法18条)。この料金の額は、依頼者に対する透明性を確保する観点から、依頼者にとって分かりやすいものでなければならない。また、支払額に係る予見可能性を確保するために、貨物の特性、取扱規模等の事情により料金に割増・割引が生じる場合等についてはその適用がある旨を、料金の額に含まれない実費を別途請求する場合についてはその旨を記載しなければならない。なお、料金の額の掲示に係る様式及び掲示場所については、社会通念上妥当と考えられる方法により各通関業者が自由に定めることとして差し支えない(同法基本通達18-2)。
通関業法（その他）,53-11-4,他人の依頼によってその依頼をした者を代理してする関税法第32条の規定による保税地域にある外国貨物の見本の一時持出に係る許可の申請は、関連業務である。,○×,○,「見本一時持出許可申請」として関連業務に当たる(業法7条、基本通達7-1(1)ニ)。
通関業法（その他）,53-11-5,他人の依頼によってその依頼をした者を代理してする関税法第43条の3第1項の規定による保税蔵置場に外国貨物を置くことの承認の申請は、関連業務である。,○×,×,業法2条1号イ(1)(四)により「通関業務」とされているので、関連業務ではない。
通関業法（通関業の許可）,53-12-1,通関業の許可に条件が付されている通関業者が、当該条件の範囲を超えて通関業務を行う営業所を新たに設けようとする場合において、当該通関業者が認定通関業者であるときは、その通関業の許可の条件を変更することを要しない。,○×,×,認定通関業者は、通関業務を行う営業所を新たに設けようとする場合には、財務大臣にその旨を届け出ればよい。しかし、通関業の許可に条件が付されている場合であって、当該条件の範囲を超えて通関業務を行う営業所を新たに設けようとするときは、認定通関業者かそうではない通関業者かにかかわらず、許可条件の変更が必要となる(業法9条1項、基本通達9-1(4)、3-7(2))。
通関業法（通関業の許可）,53-12-2,通関業者の通関業の許可に条件が付されていない場合において、財務大臣が当該通関業者の通関業務を行う営業所の新設について許可を行うときは、その営業所の新設についての許可に条件を付すことはできない。,○×,×,できる(業法8条2項、3条2項)。
