カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（通関業者・通関士の義務）,54-6-1,通関業者は、通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに通関書類の数、種類及び内容に応じて複数の通関士を置かなければならない。,○×,×,業法13条本文では、｢通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、政令で定めるところにより、通関士を置かなければならない。｣とされるが、施行令5条では、｢通関業者は、法第十三条の規定により通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに次条に規定する通関書類の数、種類及び内容に応じて必要な員数の通関士を置かなければならない。｣とされており、複数の通関士を置かなければならないとは限らず、1人でよいということもあり得る。
通関業法（通関業者・通関士の義務）,54-6-2,通関業者が通関業務を行う営業所に通関士を置くことを要しない場合における当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」とは、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいう。,○×,○,業法13条ただし書では、通関業者が通関業務を行う営業所に通関士を置くことを要しない場合があることを認めており、それは当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」だとする。具体的には、基本通達13-1で、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいうとされている。
通関業法（通関業の許可）,54-6-3,通関業者は、通関業務を行う営業所の新設の許可の条件として、その取り扱う通関業務に係る貨物について一定の種類の貨物のみに限る条件が付されている場合には、当該営業所に通関士を置くことはできない。,○×,×,業法13条ただし書では、通関業者が通関業務を行う営業所に通関士を置くことを要しない場合があることを認めており、それは当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」だとする。しかし、通関士を置くことを要しないだけであり、置くことができないわけではない。
通関業法（通関業の許可）,54-6-4,認定通関業者は、通関業務を行う営業所の新設の許可に条件が付されていない場合であっても、当該営業所に通関士を置くことを要しない。,○×,×,業法13条ただし書では、通関業者が通関業務を行う営業所に通関士を置くことを要しない場合があることを認めており、それは当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」だとする。しかし、この場合以外に通関士設置義務を免除する規定は無い。
通関業法（通関業の許可）,54-6-5,通関業者が通関業務を行う営業所ごとに置くべき通関士の員数は、業務の効率化・最適化の取組み、業務内容の難易度及び雇用する通関士の業務経験等を総合的に勘案し、当該通関業者自身が創意工夫、自己規律を発揮しつつ判断するものとされている。,○×,○,「(通関士の設置)」というタイトルが付けられた業法基本通達13-3では、「通関業者が通関業務を行う営業所ごとに置くべき通関士の員数は、業務の効率化・最適化の取組み、業務内容の難易度及び雇用する通関士の業務経験等を総合的に勘案し、当該通関業者自身が創意工夫、自己規律を発揮しつつ判断するものであるが、当該営業所において適正かつ迅速な通関手続が実施できていない場合であって、利用者保護の観点等から必要と認められる場合には、当該通関業者に対し、通関士の増員等について助言するものとする。」と規定されている。つまり、同法施行令5条では、通関業者は、通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに次条に規定する通関書類の数、種類及び内容に応じて必要な員数の通関士を置かなければならないとされているが、その「必要な員数」が何人なのかは通関業者の総合判断に委ねた上で、必要に応じて税関から通関業者に対し「もうちょっと通関士増やした方がいいよ？」と助言されるのである。
通関業法（通関業者・通関士の義務）,54-7-1,通関業者が通関業以外の事業を営むときは、当該事業を営むことについて財務大臣の承認を受けなければならない。,○×,×,通関業者が通関業以外の事業を営むときは、その事業の種類を記載した許可申請書を財務大臣に提出する必要があるものの、当該事業を営むことについて財務大臣の承認を受けなければならないとはされていない（業法4条1項5号）。
通関業法（通関業者・通関士の義務）,54-7-2,通関業法第19条の規定に違反して、通関業務に関して知り得た秘密を他に漏らし、又は盗用した通関士については、この行為について、同法に罰則が定められていることから、通関士に対する懲戒処分の対象とされていない。,○×,×,41条1項3号により罰則が定められているほか、35条1項により通関士に対する懲戒処分の対象ともされている。
通関業法（通関業者・通関士の義務）,54-7-3,通関業法第33条の規定に違反して、自らの通関士の名義を他人に通関業務のため使用させた通関士については、この行為について、同法に罰則が定められていることから、通関士に対する懲戒処分の対象とされていない。,○×,×,44条2号により罰則が定められているほか、35条1項により通関士に対する懲戒処分の対象ともされている。
通関業法（通関業者・通関士の義務）,54-7-4,通関業者は、通関業務及び関連業務の料金の額を営業所において依頼者の見やすいように掲示しなければならない。,○×,○,業法18条にその通りの規定がある。なお、料金の額の掲示に係る様式及び掲示場所については、社会通念上妥当と考えられる方法により各通関業者が自由に定めることとして差し支えないとされるが(同法基本通達18-2)、これはつまり、一般的にみて適当だと言える範囲で各通関業者が決めてねということである。
通関業法（通関業者・通関士の義務）,54-7-5,通関業者(法人である場合には、その役員)及び通関士は、通関業者又は通関士の信用又は品位を害するような行為をしてはならない。,○×,○,信用失墜行為の禁止である(業法20条)。
通関業法（行政処分）,54-8-1,財務大臣は、通関業者の通関士につき、関税法の規定に違反する行為があった場合において、その通関業者の責めに帰すべき理由があるときは、当該通関業者に対し、通関業者に対する監督処分をすることができることとされており、この「通関業者の責めに帰すべき理由があるとき」とは、その違反につき、通関業者に選任、監督上の故意、過失があることをいう。,○×,○,"通関業者の役員その他通関業務に従事する者につき、通関業法、通関業法に基づく命令若しくは関税法その他関税に関する法令の規定に違反する行為があった場合、又は通関業者の信用を害するような行為があった場合において、その通関業者の責めに帰すべき理由があるとき、財務大臣は、その通関業者に対し、1年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる(通関業者に対する監督処分 業法34条1項2号)。

ここにいう「通関業者の責めに帰すべき理由があるとき」とは、通関業者の役員、通関士及びその他の通関業務の従業者の違反につき、通関業者に選任、監督上の故意、過失があることをいい、その証明は処分者である税関が行うものとする。この場合においては、通関業者の主観的事情のほか、執務体制等客観的事情をも考慮し、判断する」とされる(同法基本通達34-1(3))。"
通関業法（行政処分）,54-8-2,財務大臣は、通関士が関税法の規定に違反したときは、通関士に対する懲戒処分として、その通関士に対し、1年以内の期間を定めてその者が通関業務に従事することを停止し、又は通関士試験の合格の決定の取消しをすることができる。,○×,×,通関業務に従事することの停止は業法35条1項によりできるが、通関士試験の合格の決定の取消しは、税関長が、不正の手段によつて通関士試験を受け、若しくは受けようとし、又は試験科目の免除を受け、若しくは受けようとした者に対してしかできない(業法29条1項)。
通関業法（行政処分）,54-8-3,何人も、通関業者に、財務大臣が通関業者に対する監督処分をすることができる場合に該当する事実があると認めたときは、財務大臣に対し、その事実を申し出て、適当な措置をとるべきことを求めることができる。,○×,○,何人も、通関業者に対する監督処分に該当する事実、又は通関士に対する懲戒処分に該当する事実があると認めたときは、財務大臣に対し、その事実を申し出て、適当な措置をとるべきことを求めることができる(業法36条)。
通関業法（行政処分）,54-8-4,財務大臣は、通関業者が通関業法の規定に違反したときは、通関業者に対する監督処分として、その通関業者に対し、2年以内の期間を定めて通関業務の全部若しくは一部の停止を命じ、又は許可の取消しをすることができる。,○×,×,｢2年以内の期間を定めて｣ではなく、「1年以内の期間を定めて」である(業法34条1項1号)。
通関業法（行政処分）,54-8-5,財務大臣は、通関士に対する懲戒処分をしようとするときは、当該通関士がその業務に従事する通関業者の意見を聴かなければならないが、当該処分が戒告であるときはこれを要しない。,○×,×,戒告のときも意見を聴く必要がある(業法37条1項、35条1項)。
通関業法（罰則）,54-9-1,偽りその他不正の手段により通関業の許可を受けた者は、3年以下の拘禁刑又は300万円以下の罰金に処することとされている。,○×,×,「1年以下の拘禁刑又は100万円以下の罰金」である(業法41条1項1号)。
通関業法（罰則）,54-9-2,不正の手段により通関士試験を受けた者は、1年以下の拘禁刑又は100万円以下の罰金に処することとされている。,○×,×,不正の手段によって通関士試験を受けた者に対してできるのは、合格の決定を取り消し、又はその試験を受けることを禁止することと、情状により2年以内の期間を定めて通関士試験を受けることができないものとすることである(業法29条1項2項)。
通関業法（罰則）,54-9-3,通関業法第17条の規定に違反して自らの通関業者の名義を他人に通関業のため使用させた者は、100万円以下の罰金に処することとされている。,○×,×,｢100万円以下の罰金」ではなく、「30万円以下の罰金」である(業法44条1号)。
通関業法（罰則）,54-9-4,通関業者でない法人の従業者が、その法人の業務に関し、通関業法第40条第1項の規定に違反して、通関業者という名称を使用したときは、当該従業者が同法の規定に基づき罰せられることがあるほか、その法人に対しても罰金刑が科せられることがある。,○×,○,通関業者でない者は、通関業者という名称を使用してはならないし、通関士でない者は、通関士という名称を使用してはならない(業法40条)。これに違反して通関業者又は通関士という名称を使用した者には30万円以下の罰金が科されることがあるが(同法44条3号)、この者が法人の代表者、法人又は人の代理人、使用人その他の従業者のうちいずれかであり、その法人又は人の業務に関して当該違反を行った場合は、その法人又は人に対しても同様の罰金刑を科されることがある(両罰規定 同法45条)。
通関業法（罰則）,54-9-5,偽りその他不正の手段により通関業法第31条第1項の確認(通関業者が通関士試験に合格した者を通関士としてその通関業務に従事させようとする場合における財務大臣の確認)を受けた者は、6月以下の拘禁刑又は50万円以下の罰金に処することとされている。,○×,○,業法42条1号にその通りの規定がある。
通関業法（通関業の許可）,54-10-1,財務大臣は、通関業の許可をしたときは、遅滞なく、その旨を公告するとともに、許可を受けた者に許可証を交付することとされているが、通関業務を行う営業所の新設の許可をしたときは、これらを要しない。,○×,×,営業所の新設の許可の場合でも要する(業法8条2項、3条4項)。
通関業法（通関業の許可）,54-10-2,財務大臣は、通関業法第10条第1項の規定により通関業の許可が消滅したときは、遅滞なくその旨を公告しなければならない。,○×,○,業法10条2項にその通りの規定がある。大事なことは公告（国から皆へお知らせ）するのである。
通関業法（行政処分）,54-10-3,財務大臣は、業務改善命令をしたときは、遅滞なくその旨を公告しなければならない。,○×,×,業務改善命令をしても、公告は不要である(参照 業法33条の2)。
通関業法（行政処分）,54-10-4,財務大臣は、通関士に対する懲戒処分をしたときは、遅滞なくその旨を公告しなければならないが、当該処分が戒告であるときは、これを要しない。,○×,×,戒告の場合でも要する(業法35条2項、34条2項)。
通関業法（行政処分）,54-10-5,財務大臣は、通関業者に対する監督処分をしたときは、遅滞なくその旨を公告しなければならない。,○×,○,業法34条2項にその通りの規定がある。通関業者に対する監督処分も、通関士に対する懲戒処分も、公告される。
通関業法（通関業の許可）,54-11-1,財務大臣は、通関業の許可に条件を付すことができるが、通関業務を行う営業所の新設の許可に条件を付すことはできない。,○×,×,営業所の新設の許可の場合でもできる(業法8条2項、3条2項)。
通関業法（通関業の許可）,54-11-2,通関業者が、通関業務に従事する通関士及びその他の通関業務の従業者が情報通信機器を活用して、労働時間の全部又は一部において、自宅で通関業務に従事する勤務形態(在宅勤務)を導入する場合には、財務大臣の承認を受けなければならない。,○×,×,業法基本通達8-4(1)により、当該通関士又は当該従業者が所属する営業所の所在地又は主たる営業所の所在地を管轄する税関の通関業監督官部門に申し出させることによってできるとされるため、財務大臣の承認は不要。
通関業法（通関業の許可）,54-11-3,通関業者が、通関業務に従事する通関士及びその他の通関業務の従業者が情報通信機器を活用して、労働時間の全部又は一部において、自宅で通関業務に従事する勤務形態(在宅勤務)を開始する場合には、在宅勤務についての定めのある就業規則及び書類管理、情報セキュリティー等について定めのある社内管理規則等を具備することを要する。,○×,×,業法基本通達8-4(2)により、情報セキュリティポリシー等が定められていればよいとされる。情報セキュリティポリシーとは、就業規則や社内管理規則等よりも緩い決まりごとというイメージで捉えてほしい。なお、出題当時は○であったが、令和3年改正により現在は×となる。
通関業法（通関業の許可）,54-11-4,認定通関業者である通関業者が通関業務を行う営業所を新たに設けようとする場合には、当該営業所の名称及び所在地を記載した許可申請書を財務大臣に提出し許可を受けなければならない。,○×,×,財務大臣の許可ではなく、財務大臣への届出でよい(業法9条1項)。
通関業法（通関業の許可）,54-11-5,通関業者の通関業の許可に条件が付されていない場合において、財務大臣が当該通関業者の通関業務を行う営業所の新設について許可を行うときは、その営業所の新設についての許可に条件を付すことはできない。,○×,×,営業所の新設の許可の場合でもできる(業法8条2項、3条2項)。
通関業法（通関業の許可）,54-12-1,拘禁刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから3年を経過したものは、通関業の許可を受けることができる。,○×,○,拘禁刑以上の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから3年を経過しないものは、通関業の許可を受けることができない(業法6条3号)。本問は、拘禁刑に処せられた者であり、その執行を終わり、又は執行を受けることがなくなってから3年を経過しているのだから、これに当たらず、許可を受けることができる。
通関業法（通関業の許可）,54-12-2,公務員で懲戒免職の処分を受け、当該処分を受けた日から2年を経過しない者は、通関業の許可を受けることができない。,○×,○,公務員で懲戒免職の処分を受け、当該処分を受けた日から2年を経過しない者は、通関業の許可を受けることができない(業法6条9号)。
通関業法（通関業の許可）,54-12-3,通関業者に対する監督処分により通関業の許可を取り消された者であって、この処分を受けた日から2年を経過したものは、通関業の許可を受けることができる。,○×,○,偽りその他不正の手段により通関業の許可を受けたことが判明し通関業の許可を取り消された者(業法11条1項1号)、通関業者に対する監督処分により通関業の許可を取り消された者(同法34条1項)、又は通関士に対する懲戒処分により通関業務に従事することを禁止された者(同法35条1項)のいずれかであって、これらの処分を受けた日から2年を経過しないものは、通関業の許可を受けることができない(業法6条8号)。本問は、通関業者に対する監督処分により通関業の許可を取り消された者であるが、処分を受けた日から2年を経過しているので、通関業の許可を受けることができる。
通関業法（通関業の許可）,54-12-4,通関業法の規定に違反する行為をして拘禁刑に処せられた者は、その執行を終わり、又は執行を受けることがなくなってから3年を経過したものであっても、通関業の許可を受けることができない。,○×,×,拘禁刑以上の刑に処せられた者であって、その執行を終わり、又は執行を受けることがなくなってから3年を経過しないものは、通関業の許可を受けることができない(業法6条3号)。本問は、拘禁刑に処せられた者であるが、その執行を終わり、又は執行を受けることがなくなってから3年を経過しているのだから、これに当たらず、許可を受けることができる。
通関業法（通関業の許可）,54-12-5,関税法以外の国税に関する法律中偽りその他不正の行為により国税を免れることに関する罪を定めた規定に該当する違反行為をして、国税通則法の規定により通告処分を受けた者であって、その通告の旨を履行した日から3年を経過したものは、通関業の許可を受けることができる。,○×,○,"①関税法108条の4から112条まで（他の関税に関する法律において準用する場合を含む。）の規定か、② ①以外で、国税又は地方税に関する法律中偽りその他不正の行為により国税又は地方税を免れ、納付せず、若しくはこれらの税の還付を受け、又はこれらの違反行為をしようとすることに関する罪を定めた規定のどちらかに該当する違反行為をし罰金の刑に処せられた者又はこれらの規定に該当する違反行為をして関税法（他の関税に関する法律において準用する場合を含む。）、国税通則法若しくは地方税法の規定により通告処分を受けた者であって、それぞれその刑の執行を終わり、若しくは執行を受けることがなくなった日又はその通告の旨を履行した日から3年を経過しないものは、通関業の許可を受けることができない(業法6条4号)。

本問は、関税法以外の国税に関する法律中偽りその他不正の行為により国税を免れることに関する罪を定めた規定に該当する違反行為をしたので②に当たりそうだが、国税通則法の規定により通告処分を受けた者であって、その通告の旨を履行した日から3年を経過したものであるから、通関業の許可を受けることができる。"
通関業法（通関業の許可）,54-13-1,通関業者が死亡し相続があった場合で、当該通関業者の通関業の許可に基づく地位を承継した者から、当該承継についての財務大臣に対する承認の申請がその死亡後60日以内にされなかったときは、財務大臣は当該通関業の許可を取り消すこととされている。,○×,×,この場合、業法10条1項2号により許可が消滅する（つまり何もしなくても勝手に消える）のであり、財務大臣が取り消すわけではない(参照 11条1項)。
通関業法（通関業の許可）,54-13-2,通関業者について相続があったときは、その相続人(相続人が2人以上ある場合において、その全員の同意により通関業の許可に基づく地位を承継すべき相続人を選定したときは、その者)は、被相続人の当該許可に基づく地位を承継する。,○×,○,業法11条の2第1項にその通りの規定がある。相続というのは人が死亡することでしか起こらず、会社のような法人は解散等はあっても死亡というのは有り得ないので、これは通関業者が個人事業主であり、その個人事業主が死亡した場合を想定した規定である。
通関業法（通関業の許可）,54-13-3,通関業者が通関業を譲り渡した場合において、あらかじめ財務大臣の承認を受けたときは、その通関業を譲り受けた者は、その通関業を譲り渡した者の通関業の許可に基づく地位を承継することができる。,○×,○,業法11条の2第4項にその通りの規定がある。通関業者が通関業を譲り渡すというのは事業譲渡と呼ばれる場合を指し、この場合、譲り受ける者は事業譲渡に先立って財務大臣から承認を受けることで、通関業の許可に基づく地位を承継することができる。
通関業法（通関業の許可）,54-13-4,財務大臣は、通関業の許可に基づく地位の承継についての承認をするに際しては、当該承認をしようとする承継に係る通関業の許可について付された条件を取り消し、変更し、又は新たに条件を付すことができる。,○×,○,業法11条の2第6項にその通りの規定がある。なお、この場合、条件の取消し、変更、新たな条件の付加については、通関業法の目的を達成するために必要な最少限度のものでなければならない。
通関業法（通関業の許可）,54-13-5,通関業者について合併があり、当該合併後存続する法人が当該合併により消滅する法人の通関業の許可に基づく地位を承継することについて、あらかじめ財務大臣に承認の申請があった場合において、当該合併後存続する法人について通関業法第 6 条に規定する通関業の許可に係る欠格事由のいずれかに該当するときは、財務大臣は当該承認をしないものとされている。,○×,○,合併、分割、事業譲渡に際して通関業の許可に基づく地位が承継される場合、合併後存続する法人又は合併により設立された法人、分割により通関業を承継した法人、通関業を譲り受けた者（「合併後の法人等」）については、通関業の許可が無いのに新たに通関業の許可を受けるのと同様の立場となるため、通関業の許可を新たに受けるときと同様、合併後の法人等について許可基準(業法5条)を満たし、欠格事由(同法6条)に当たらないことを要する。許可基準を満たさないときと、欠格事由に当たるときは、財務大臣は、通関業の許可に基づく地位の承継を承認しない(同法11条の2第5項4項)。
通関業法（通関業の許可）,54-14-1,通関業者は、通関業務を行う営業所ごとの責任者の氏名及び通関業法第13条の規定により置く通関士の数に変更があった場合には、同法第12条の規定に基づき、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者は、通関業務を行う営業所ごとの責任者の氏名及び通関業法第13条の規定により置く通関士の数に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(業法12条1号、4条1項3号)。
通関業法（通関業の許可）,54-14-2,通関業者は、その通関業の許可に取り扱う貨物の種類の限定に係る条件が付されている場合において、当該貨物の種類に変更があるときは、通関業法第12条の規定に基づき、遅滞なくその旨を財務大臣に届け出なければならない。,○×,×,このとき、財務大臣に「許可等条件変更申請書」に許可の申請に準ずる添付書類を添えて提出し、「許可等条件変更書」の交付を受けなければならない(業法基本通達3-7(2)(3))。財務大臣への届出ではない。
通関業法（通関業の許可）,54-14-3,通関業者は、通関業務を行う営業所の名称及び所在地に変更があった場合には、通関業法第12条の規定に基づき、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者は、通関業務を行う営業所の名称及び所在地に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(業法第12条1号、4条1項2号)。
