カテゴリー,問題番号,問題,選択肢,正解,解説
通関業法（通関業の許可）,57-6-4,通関業者は、その資産の状況に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない。,○×,×,通関業者は、通関業の許可申請書を提出する場合においては申請者の資産の状況を示す書面を添付する必要があるものの(業法4条2項)、その資産の状況に変更があってもその旨を財務大臣に届け出る必要はない(12条参照)。
通関業法（通関業の許可）,57-6-5,通関業者は、通関業務を行う営業所の責任者の氏名に変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない。,○×,○,通関業者は、通関業務を行う営業所の責任者の氏名を通関業の許可申請書に記載する必要があり(業法4条1項3号)、変更があった場合には、遅滞なくその旨を財務大臣に届け出なければならない(12条1号)。
通関業法（通関業者・通関士の義務）,57-7-1,通関業者は、通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに通関士の審査を要する通関書類の数、種類及び内容に応じて必要な員数の通関士を置かなければならない。,○×,○,通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに、通関士を置かなければならず(業法13条本文)、そしてその通関士を置かなければならないこととされる営業所ごとに、通関業務に係る貨物の数量及び種類並びに通関士の審査を要する通関書類の数、種類及び内容に応じて必要な員数の通関士を置かなければならない(同法施行令5条)。
通関業法（通関業者・通関士の義務）,57-7-2,通関業者は、通関業務を行う営業所における業務量からみて通関士を置く必要がないと認められるときは、当該営業所に通関士を置くことを要しない。,○×,×,"通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに通関士を置かなければならない(業法13条本文)。したがって、原則として、通関業務を行う営業所においては最低1人の通関士を置く必要がある。
ただし、当該営業所において取り扱う通関業務に係る貨物に条件が付され一定の種類の貨物のみに限られている場合は、置かなくてもよい(3条2項、8条2項、同法基本通達3-1)。"
通関業法（通関業者・通関士の義務）,57-7-3,通関業者は、通関士を置かなければならないこととされる営業所ごとに、専任の通関士を1名以上置かなければならない。,○×,×,昔はこのような専任の通関士という規定があったが、現在は存在しない。第50回（平成28年）以前の通関士試験では専任の通関士についてよく問われていたが、今はほぼ問われない。
通関業法（通関業者・通関士の義務）,57-7-4,通関業者が通関業務を行う営業所に通関士を置くことを要しない場合における当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」とは、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいうこととされている。,○×,○,通関業者が通関業務を行う営業所に通関士を置くことを要しない場合における当該営業所において取り扱う通関業務に係る貨物が「一定の種類の貨物のみに限られている場合」(業法13条ただし書)とは、その行う通関業務に係る貨物が一定種類に限られており、通関業務の内容が簡易かつ、定型化されている場合をいう。そして「簡易かつ、定型化されている場合」とは、限定された通関手続のみを反復継続的に行い、当該手続が全体として簡易であり、貨物全般の通関に関する広い知識の有無にかかわらず適正な手続の完了が期待できるものである必要があり、例えば、コンテナー及びその修理用部分品の通関手続のみを行う場合、船(機)用品の積込申告のみを行う場合等をいう(同法基本通達13-1)。
通関業法（通関業者・通関士の義務）,57-7-5,通関業者は、通関業務を行う営業所の新設の許可の条件として、その取り扱う通関業務に係る貨物について一定の種類の貨物のみに限る条件が付されている場合には、当該営業所に通関士を置くことはできない。,○×,×,通関業者は、通関業務を適正に行うため、その通関業務を行う営業所ごとに通関士を置かなければならない(業法13条本文)。ただし、当該営業所において取り扱う通関業務に係る貨物に条件が付され一定の種類の貨物のみに限られている場合は、置かなくてもよい(3条2項、8条2項、同法基本通達3-1)。置くことができないわけではない。
通関業法（通関業者の権利）,57-8-1,税関長は、通関業者が他人の依頼に応じて税関官署に対してした納税の申告について更正をすべき場合であっても、当該更正が当該申告に係る貨物の関税率表の適用上の所属の相違に基因して納付すべき関税の額を増加するものであるときは、当該通関業者に対し、当該相違に関し意見を述べる機会を与えることを要しない。,○×,×,"通関業者が他人の依頼に応じて税関官署に対してした納税の申告について更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。ただし、当該関税の額の増加が計算又は転記の誤りその他これに類する客観的に明らかな誤りに基因するものである場合は、この限りでない(業法15条)。
つまり、増額更正が行われる場合は、原則として通関業者に意見を述べる機会を与えなければならない。納税額が増えて依頼者に不利となるので、税関は通関業者の言い分を聞くために弁解の機会を与えるのである。ただし、計算ミスや転記ミス等により納税の申告が間違っていたために増額更正することになった場合は、明らかに申告した税額は誤りであり弁解の余地がないため、意見を述べる機会を与えなくてもよいのである。"
通関業法（通関業者の権利）,57-8-2,税関長は、通関業者が他人の依頼に応じて税関官署に対してした納税の申告について更正をすべき場合において、当該更正が計算の誤りに基因して納付すべき関税の額を増加するものであるときは、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。,○×,×,"通関業者が他人の依頼に応じて税関官署に対してした納税の申告について更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。ただし、当該関税の額の増加が計算又は転記の誤りその他これに類する客観的に明らかな誤りに基因するものである場合は、この限りでない(業法15条)。
つまり、増額更正が行われる場合は、原則として通関業者に意見を述べる機会を与えなければならない。納税額が増えて依頼者に不利となるので、税関は通関業者の言い分を聞くために弁解の機会を与えるのである。ただし、計算ミスや転記ミス等により納税の申告が間違っていたために増額更正することになった場合は、明らかに申告した税額は誤りであり弁解の余地がないため、意見を述べる機会を与えなくてもよいのである。"
通関業法（通関業者の権利）,57-8-3,税関長は、通関業者が他人の依頼に応じて税関官署に対してした納税の申告について更正をすべき場合において、当該更正が当該申告に係る貨物の課税価格の相違に基因して納付すべき関税の額を減少するものであるときは、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。,○×,×,"通関業者が他人の依頼に応じて税関官署に対してした納税の申告について更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならないのが原則である(業法15条本文)。
増額更正が行われる場合は納税額が増えて依頼者に不利となるので、税関は通関業者の言い分を聞くために意見を述べる機会を与えるが、減額更正の場合は納税額が減り依頼者は困らないためそのような機会は与えられない。
本問は関税の額を減少させる更正なので減額更正であり、相違に関し意見を述べる機会は与えられない。"
通関業法（通関業者の権利）,57-8-4,通関業法第15条の規定に基づく更正に関する意見の聴取は、通関士が設置されている場合にあっては、原則として通関士から行い、その他の場合にあっては、営業所の責任者又はこれに準ずる者から行うこととされている。,○×,○,業法15条本文では「通関業者が他人の依頼に応じて税関官署に対してした納税の申告について、関税法7条の16第1項又は3項の規定による更正をすべき場合において、当該更正が、当該申告に係る貨物の関税率表の適用上の所属又は課税価格の相違その他関税に関する法令の適用上の解釈の相違に基因して、納付すべき関税の額を増加するものであるときは、税関長は、当該通関業者に対し、当該相違に関し意見を述べる機会を与えなければならない。」とされており、この場合通関業者からの意見の聴取は、通関士が設置されている場合にあっては、原則として通関士から行い、その他の場合にあっては、営業所の責任者又はこれに準ずる者から行うこととされている(同法基本通達15-1)。
通関業法（通関業者の権利）,57-8-5,税関長は、通関業者の行う通関手続に関し、税関職員に関税法第43条の4第1項の保税蔵置場に外国貨物を置くことの承認の際の検査をさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に通知しなければならない。,○×,○,"税関長は、通関業者の行なう通関手続に関し、税関職員に特定の検査をさせるときは、当該通関業者又はその従業者の立会いを求めるため、その旨を当該通関業者に通知しなければならない(業法16条)。　
この通知を要する検査は、
①輸出貨物又は輸入貨物の検査(関税法67条)
②積戻し貨物の検査(関税法75条、67条)
③蔵入承認、移入承認、総保入承認の際の貨物の検査(関税法43条の4第1項、61条の4、62条の15)
④保税展示場に入れる貨物の検査(関税法62条の3第2項)
である。本問は③に当たる。"
通関業法（行政処分）,57-9-1,正当な理由がなくて、通関業務に関して知り得た秘密を他に漏らす行為をした通関士の当該行為については、通関士に対する懲戒処分の対象とされている。,○×,○,通関士が通関業法、関税法、その他関税に関する法令の規定のいずれかに違反したときは懲戒処分の対象となるが(業法35条1項)、通関士が正当な理由なしに通関業務に関して知り得た秘密を他に漏らす行為をすることは業法19条に違反するため、懲戒処分の対象となる。
通関業法（通関業者・通関士の義務）,57-9-2,通関士は、自ら通関書類の審査を行うことなく他人に自己の記名をさせてはならないこととされている。,○×,○,通関士は、その名義を他人に通関業務のため使用させてはならない(名義貸しの禁止 業法33条)。この「その名義を他人に通関業務のために使用させる」とは、①通関士が自ら通関書類の審査を行うことなく他人に自己の記名をさせる場合や、②確認を受けた通関業者の通関業務に従事しなくなったために通関士の資格を喪失した(32条1号)にもかかわらず異動の届出のない者が、通関書類に通関士としての自己の記名をさせる場合をいう(同法基本通達33-1)。本問は①である。
通関業法（通関業者・通関士の義務）,57-9-3,通関業者は、通関士が通関業務に従事している営業所における通関業務として他人の依頼に応じて税関官署に提出する輸入申告書について、通関士にその内容を審査させ、かつ、これに記名させなければならない。,○×,○,通関業者は、他人の依頼に応じて税関官署に提出する通関書類のうち政令で定めるもの（通関士が通関業務に従事している営業所における通関業務に係るものに限る。）については、通関士にその内容を審査させ、かつ、これに記名させなければならない(業法14条)。そして、輸入申告書は、通関書類のうち政令で定めるものに該当する(同法施行令6条1号、業法2条1号イ(1)(一))。
通関業法（通関業者・通関士の義務）,57-9-4,通関業者は、他人に自己の名義の印章を使用させ、自己の名義で通関業務を行わせることができることとされている。,○×,×,通関業者は、その名義を他人に通関業のため使用させてはならない(名義貸しの禁止 業法17条)。「その名義を他人に通関業のため使用させ」とは、例えば、他人に自己の名義の印章を使用させ、自己の名義で通関業務を行わせるような場合をいう(同法基本通達17-1)。よって、通関業者は、他人に自己の名義の印章を使用させ、自己の名義で通関業務を行わせることができない。
通関業法（通関業者・通関士の義務）,57-9-5,通関業法第18条の規定による通関業務の料金の額の掲示については、インターネット上で当該料金の額の閲覧を可能とする方法により行うことができないこととされている。,○×,×,"通関業者は、通関業務（関連業務を含む。）の料金の額を営業所において依頼者の見やすいように掲示しなければならない(業法18条)。
この料金の額の掲示については、①料金の額を表示する方法（つまり、例えば紙に印刷された料金表を掲示するといったように、料金の額を直接視認できる方法）のほか、② ①に代えてインターネット上で閲覧を可能とする方法により行うことが認められている。②による場合は、料金の額を掲載したホームページのアドレス（QRコードのような二次元コードでもよい。）を営業所において依頼者に見やすいように掲示することが求められる(同法基本通達18-2)。なお、③  ①と②を併用して、営業所において料金の額を表示した上でネット閲覧も出来るようにする方法でも構わない。
以前はインターネット上で閲覧させる方法が可能とは規定されていなかったが、令和5年の改正により可能となった。"
通関業法（行政処分）,57-10-1,通関業法第3条第2項の規定により通関業の許可に付された条件に違反して、当該条件により限定された種類以外の貨物につき、通関業を営んだ者は、同法の規定に基づき拘禁刑又は罰金に処せられることがある。,○×,○,通関業の許可に付された条件に違反して、当該条件により限定された種類以外の貨物につき、通関業を営んだ者は、1年以下の拘禁刑又は100万円以下の罰金に処する(業法41条1項1号)。
通関業法（行政処分）,57-10-2,通関業法第33条の規定に違反して自らの通関士の名義を他人に通関業務のため使用させた者は、同法の規定に基づき罰金に処せられることがある。,○×,○,通関業法33条の規定に違反して自らの通関士の名義を他人に通関業務のため使用させた者は、30万円以下の罰金に処する(業法44条2号)。
通関業法（行政処分）,57-10-3,通関業法第40条第2項の規定に違反して通関士という名称を使用した通関士でない者は、同法の規定に基づき罰せられることはない。,○×,×,通関業法40条2項の規定に違反して通関士という名称を使用した通関士でない者は、30万円以下の罰金に処する(業法44条3号)。
通関業法（行政処分）,57-10-4,通関業者である法人の従業者が、その法人の業務に関し、通関業法第38条第1項の規定に基づく税関職員による質問に偽りの答弁をしたときは、同法の規定に基づき、当該従業者が罰せられることがあるほか、その法人に対しても罰金刑が科せられることがある。,○×,○,通関業者である法人の従業者が、その法人の業務に関し、通関業法38条1項の規定に基づく税関職員による質問に偽りの答弁をしたときは、当該従業者が罰せられることがあり(業法43条2号)、そして、その法人に対しても罰金刑が科せられることがある(両罰規定  45条)。
通関業法（行政処分）,57-10-5,通関業者である法人の役員が、その法人の業務に関し、正当な理由がなくて、その通関業務に関して知り得た秘密を他に漏らしたときは、当該役員が罰せられることがあるほか、その法人に対しても罰金刑が科せられることがある。,○×,×,通関業者である法人の役員が、その法人の業務に関し、正当な理由がなくて、その通関業務に関して知り得た秘密を他に漏らしたときは、当該役員が罰せられることがあるものの(業法41条1項3号)、両罰規定の対象とはなっていないため、その法人に対しても罰金刑が科せられるわけではない(45条)。
通関業法（その他）,57-11-1,他人の依頼によってその依頼をした者を代理してする関税法第7条第3項の規定による輸入貨物に係る課税標準の教示の求めは、通関業務に含まれる。,○×,×,事前教示照会に当たるので、関連業務である(業法7条、同法基本通達7-1(1)イ)。
通関業法（その他）,57-11-2,他人の依頼によってその依頼をした者を代理してする関税法第23条第1項の規定による本邦と外国との間を往来する船舶への外国貨物である船用品の積込みの申告は、通関業務に含まれる。,○×,○,他人の依頼によってその依頼をした者を代理してする関税法23条1項の規定による本邦と外国との間を往来する船舶又は航空機への外国貨物である船用品又は機用品の積込みの申告は、通関業務である(業法2条1号イ(1)(三))。
通関業法（その他）,57-11-3,他人の依頼によってその依頼をした者を代理してする関税法第63条第1項の規定による外国貨物の保税運送の申告は、通関業務に含まれる。,○×,×,外国貨物運送申告に当たるので、関連業務である(業法7条、同法基本通達7-1(1)ヘ)。
通関業法（その他）,57-11-4,他人の依頼によってその依頼をした者を代理して輸入申告をする場合において、他人の依頼に応じ、当該輸入申告の前に行われるその輸入に関して必要とされる外国為替及び外国貿易法の規定による経済産業大臣の輸入の承認の申請は、通関業務に含まれる。,○×,×,関税法その他関税に関する法令以外の法令の規定により輸出又は輸入に関して必要とする許可等（いわゆる他法令の許可等）の申請は、関連業務である(業法7条、同法基本通達7-1(1)チ)。
通関業法（その他）,57-11-5,他人の依頼によってその依頼をした者を代理してする関税法第43条の3第1項の規定による保税蔵置場に外国貨物を置くことの承認の申請は、関連業務に含まれる。,○×,×,他人の依頼によってその依頼をした者を代理してする関税法43条の3第1項の規定による保税蔵置場に外国貨物を置くことの承認の申請（蔵入承認の申請）は、通関業務である(業法2条1号イ(1)(四))。
通関業法（通関業の許可）,57-12-1,通関業者の通関業の許可に条件が付されていない場合において、財務大臣が当該通関業者の通関業務を行う営業所の新設の許可を行うときは、その営業所の新設の許可に条件を付することはできない。,○×,×,通関業の許可に条件が付されていない場合において、財務大臣が通関業務を行う営業所の新設の許可を行うときであっても、その営業所の新設の許可に条件を付することはできる。その場合、新たに設けようとする営業所に条件を付すこととなり、営業所新設許可証にその条件を明示する(業法3条2項、8条2項、同法基本通達8-2(4))。
通関業法（通関業の許可）,57-12-2,通関業の許可を受けようとする者は、通関業許可申請書に、年間において取り扱う見込みの通関業務の量を記載した書面及び当該通関業務を依頼しようとする者の推薦状を添付しなければならない。,○×,×,通関業の許可を受けようとする者は、通関業許可申請書に、年間において取り扱う見込みの通関業務の量を記載した書面を添付しなければならないが(業法4条2項、同法施行規則1条6号)、当該通関業務を依頼しようとする者の推薦状は添付する必要がない。
通関業法（通関業の許可）,57-12-3,財務大臣は、通関業の許可をしようとするときは、その許可申請に係る通関業の経営の基礎が確実であることに適合するかどうかを審査しなければならないとされており、この「通関業の経営の基礎が確実であること」とは、許可申請者の資産内容が充実し、収支の状況が健全であり、かつ、通関業務を営むための必要な設備が整っていると認められることをいうこととされている。,○×,○,財務大臣は、通関業の許可をしようとするときは、その許可申請に係る通関業の経営の基礎が確実であることに適合するかどうかを審査しなければならないとされているが(業法5条1号)、「通関業の経営の基礎が確実であること」とは、申請者の資産内容が充実し、収支の状況が健全であり（申請者に繰越欠損金がなく、当期利益がある。）、かつ、通関業務を営むための必要な設備（例えば、予定される通関業務に係る取扱貨物の種類及び量に応じた営業所並びに通関書類等の作成及び保存に必要な設備）が整っていると認められることをいうとされる(同法基本通達5-1(1))。
通関業法（通関業の許可）,57-12-4,財務大臣は、通関業務を行う営業所の新設の許可をしようとするときは、その許可申請に係る通関業務を行う営業所につき、通関業法第13条の要件を備えることとなっていることを審査しなければならないとされており、この「通関業法第13条の要件を備えることとなっていること」には、許可申請の際、通関士試験合格者を雇用する単なる見通しがある場合を含むこととされている。,○×,×,財務大臣は、通関業務を行う営業所の新設の許可をしようとするときは、その許可申請に係る通関業務を行う営業所につき、通関業法13条の要件を備えることとなっていることを審査しなければならないとされているが(業法8条2項、5条3号)、「13条の要件を備えることとなっていること」とは、申請の際、通関士試験合格者を現に雇用しているか、又は通関士試験合格者を雇用することが雇用契約等により確実と認められる場合をいい、単なる見通しは含まれない(同法基本通達5-4)。
