カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
課税物件確定時期と適用法令,58-6-2,A,課税物件の確定時期について、総合保税地域に入れられた外国貨物のうち、総合保税地域における販売又は消費を目的とするものに対し関税を課する場合の基礎となる当該貨物の性質及び数量は、当該貨物を総合保税地域に置くことが承認された時の現況による。,○×,×,"総合保税地域に入れられた外国貨物のうち、総合保税地域における販売又は消費を目的とするものの課税物件確定時期は、総合保税地域に販売用貨物等を入れることの届出の時である(関4条1項3号の2)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-④保税展示場又は総合保税地域における販売又は消費を目的とする貨物、保税展示場又は総合保税地域において有償で観覧又は使用に供される貨物、保税展示場で加工又は製造した製品]"
課税物件確定時期と適用法令,58-6-3,A,課税物件の確定時期について、保税工場にある外国貨物について保税作業をするため、期間及び場所を指定し、当該保税工場以外の場所に出すことが許可された外国貨物で、その指定された期間を経過した後においても、その指定された保税工場以外の場所に置かれているものに対し関税を課する場合の基礎となる当該貨物の性質及び数量は、当該貨物が指定された保税工場以外の場所に置かれた時の現況による。,○×,×,"保税工場外における作業（場外作業）の許可を受け、指定された場所に指定された期間経過後も置かれている外国貨物についての課税物件確定時期は、場外作業の許可がされた時である(関4条1項3号)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-⑤場外作業又は場外使用の許可後、指定された期間経過後も置かれている貨物]"
課税物件確定時期と適用法令,58-6-4,A,課税物件の確定時期について、保税展示場に入れられた外国貨物で、当該保税展示場の許可の期間の満了の際、当該保税展示場にあるものに対し関税を課する場合の基礎となる当該貨物の性質及び数量は、当該関税を徴収すべき事由が生じた時の現況による。,○×,○,"保税展示場に入れられた貨物で許可の失効後保税展示場にあるために関税を徴収されるものの課税物件確定時期は、関税を徴収すべき事由が生じた時である(関4条1項3号の3)。
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-⑦保税展示場の許可失効後保税展示場にある貨物]"
課税物件確定時期と適用法令,58-6-5,A,課税物件の確定時期について、輸入される郵便物のうち、日本郵便株式会社から税関長に提示がされた郵便物である寄贈物品であって、その課税標準となるべき価格が20万円を超えるものに対し関税を課する場合の基礎となる当該郵便物の性質及び数量は、その提示がされた時の現況による。,○×,○,"提示して輸入された郵便物の課税物件確定時期は、提示された時である(関4条1項6号)。課税価格が20万円を超えていても、寄贈物品であれば簡易手続対象となる郵便物であるから、輸入申告ではなく提示を行う。 
[参照　第2編（関税法）-第13章（課税要件1（課税要件、課税物件、課税物件確定時期と適用法令））-3.課税物件確定時期と適用法令-（3）例外-⑬提示して輸入した郵便物]"
納税義務者,58-7-1,A,関税定率法第19条の3第1項（輸入時と同一状態で再輸出される場合の戻し税等）の規定による関税の払戻しが、当該関税の払戻しを受ける者の申請に基づいて過大な額で行われた場合には、その過大であった部分の金額に相当する関税額について、当該関税の払戻しを受けた者が納める義務を負う。,○×,○,"関税の払戻し又は還付が、これを受ける者の申請に基づいて過大な額で行なわれた場合には、国税徴収の例により、その過大であった部分の金額に相当する関税額を払戻し又は還付を受けた者から徴収する(関13条の2)。つまり、過大な払戻し又は還付を受けた者が納税義務者となる。
[参照　第2編（関税法）-第14章（納税義務者）-2.例外-（1）例外的納税義務者-④過大な払戻し又は還付]"
納税義務者,58-7-2,A,関税定率法第15条第1項（特定用途免税）の規定により関税の免除を受けて輸入された貨物で、その輸入の許可の日から2年以内に同項各号に掲げる用途以外の用途に供されたことにより、その免除を受けた関税を徴収する場合には、その関税の免除を受けて貨物を輸入した者がその通関業務を取り扱った通関業者と連帯して関税を納める義務を負う。,○×,×,"特定用途免税を受けても、輸入許可の日から2年以内に、免税の理由となった用途以外の用途に供した場合は、供した者から関税を直ちに徴収する(関率15条2項)。また、このとき通関業者は納税義務者とならない。
[参照　第3編（関税定率法、関税暫定措置法）-第4章（減免戻し税2（条件付き））-3.特定用途免税（関率15条）-（2）用途外使用等と関税の徴収、第2編（関税法）-第14章（納税義務者）-2.例外-（1）例外的納税義務者-③用途外使用等]"
納税義務者,58-7-3,A,関税定率法第17条第1項第4号（再輸出免税）の規定により関税の免除を受けて輸入された修繕される貨物について、その輸入の許可の日から1年以内に同法第20条の3第1項（関税の軽減、免除等を受けた物品の転用）に規定する税関長の確認を受けることなく譲渡され、修繕以外の用途に供された場合には、その関税の免除を受けて貨物を輸入した者がその関税を納める義務を負う。,○×,○,"再輸出免税を受けた貨物が用途以外の用途に供された場合は、免除を受けた関税を輸入者から直ちに徴収する(関率17条4項、関率通17-4(1))。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-1.再輸出免税（関率17条）-（2）用途外使用等と関税の徴収、第2編（関税法）-第14章（納税義務者）-2.例外-（1）例外的納税義務者-③用途外使用等]"
納税義務者,58-7-4,A,保税蔵置場にある外国貨物（輸出の許可を受けた貨物を除く。）が亡失した場合には、当該外国貨物が災害その他やむを得ない事情により亡失したときであっても、当該外国貨物を所有する者が当該外国貨物に係る関税を納める義務を負う。,○×,×,"保税蔵置場にある外国貨物（輸出の許可を受けた貨物を除く。）が亡失したときは直ちに関税が徴収されるが、災害その他やむを得ない事情により亡失したときは徴収されない。なお、直ちに徴収される場合であっても、納税義務者は外国貨物を所有する者ではなく、保税蔵置場の許可を受けた者である(関45条1項)。
[参照　第2編（関税法）-第10章（保税地域）-7.共通ルール1（保税地域等に共通する事項）-（4）亡失、滅却、廃棄と関税の徴収、第2編（関税法）-第14章（納税義務者）-2.例外-（1）例外的納税義務者-①亡失又は滅却]"
納税義務者,58-7-5,A,保税展示場の許可の期間の満了により当該許可が失効した場合において、当該許可の失効の際、当該保税展示場にある外国貨物について、税関長が当該保税展示場の許可を受けた者に対し、期間を定めて当該外国貨物の搬出を求めたにもかかわらず、当該期間内にその搬出がされないときは、当該外国貨物を所有する者が当該外国貨物に係る関税を納める義務を負う。,○×,×,"保税展示場の許可失効の際、その保税展示場にあるものについては、指定期間内に搬出等の処置がされないときは、直ちに関税が徴収される。この場合の納税義務者は保税展示場の許可を受けた者となる(関62条の6項第1項)。
[参照　第2編（関税法）-第10章（保税地域）-5.保税展示場-（5）許可失効の際、保税展示場にある外国貨物、第2編（関税法）-第14章（納税義務者）-2.例外-（1）例外的納税義務者-②指定期間経過]"
関税の確定,58-8-1,A,納税申告をした者は、当該納税申告の後に行われた修正申告により納付すべき税額に不足額がある場合には、当該修正申告について更正があるまでは、当該修正申告に係る納付すべき税額につき修正申告をすることができる。,○×,○,"修正申告ができる期間は、更正があるまでである(関7条の14第1項)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-1.申告納税方式-（2）輸入者が行う手続-②修正申告]"
関税の確定,58-8-2,A,先にした納税申告の課税標準に誤りがある場合であっても、当該納税申告に係る納付すべき税額が過少又は過大でないときは、当該納税申告につき修正申告又は更正の請求をすることはできない。,○×,○,"修正申告は納付すべき税額が過少なときに行うことができ、更正の請求は納付すべき税額が過大なときに行うことができるので(関7条の14第1項、7条の15第1項)、過少でも過大でもなければいずれも行うことができない。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-1.申告納税方式-（2）輸入者が行う手続-②修正申告、③更正の請求]"
関税の確定,58-8-3,A,環太平洋パートナーシップに関する包括的及び先進的な協定の規定に基づき同協定の原産品とされる貨物について納税申告をした者は、当該貨物につき同協定の規定に基づく関税の譲許の便益の適用を受けていない場合において、当該貨物につき当該関税の譲許の便益の適用を受けることにより、当該納税申告に係る納付すべき税額が過大となるときは、当該貨物の輸入の許可の日から2年以内に限り、税関長に対し、当該納税申告に係る税額について更正の請求をすることができる。,○×,×,"環太平洋パートナーシップに関する包括的及び先進的な協定（CPTPP）においては、CPTPPによる関税の譲許の便益の適用を受けることにより納付すべき税額が過大となるとき（CPTPP協定税率の適用を受けていたならば納付すべき税額が過大となるとき）は、輸入許可の日から1年以内に限り、更正の請求ができる(暫12条の2)。2年以内ではなく、1年以内である。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-1.申告納税方式-（2）輸入者が行う手続-③更正の請求]"
賦課権の期間制限と徴収権の消滅時効,58-8-4,C,納税申告が必要とされている貨物について、その輸入の時までに当該納税申告がないときは、税関長は、その調査により、当該貨物に係る税額につき関税法第7条の16第2項（更正及び決定）の規定による決定をするが、当該決定に係る税額の更正は、当該貨物の輸入の日から5年を経過する日においても、することができる。,○×,○,"関税についての更正、決定又は賦課決定は、原則としてこれらに係る関税の法定納期限等から5年を経過した日以後においては、することができない(賦課権の期間制限の原則　関14条1項)。また、法定納期限等は、原則として関税を課される貨物を輸入する日であり(関14条7項)、本問では特に例外となる事由もないので、輸入の日が法定納期限等である。そうすると、輸入の日から5年を経過する日の翌日からが、輸入の日から5年を経過した日以後となるから、5年を経過する日の当日であれば、まだ更正を行うことができる。少し細かい知識であるが、「経過する日」と「経過した日以後」の違いを問う出題となっている。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-3.賦課権の期間制限と徴収権の消滅時効-（2）法定納期限等、（3）賦課権の期間制限]"
関税の確定,58-8-5,A,本邦と外国との間を往来する航空機に積まれていた外国貨物である機用品であって、当該航空機で外国貨物として使用しないこととなったものを輸入するときは、その輸入の時までに納税申告をしなければならない。,○×,×,"不用な船用品又は機用品を輸入する場合の関税の確定は納税申告が不要な賦課課税方式であるから、そもそも納税申告をしなくてよい(関6条の2第1項2号イ、関令3条2項3号)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-2.賦課課税方式-（2）賦課課税方式の適用範囲、（3）賦課決定と納税告知]"
災害等による期限の延長,58-9-1,B,税関長は、関税法第9条の2第1項の規定により延長された関税の納期限につき、災害その他やむを得ない理由により、当該納期限までに当該関税の納付をすることができないと認める場合には、同法第2条の3（災害等による期限の延長）の規定に基づき、財務大臣が地域及び期日を指定する前であっても、当該関税の納税義務者の申請により、期日を指定して当該納期限を延長することができる。,○×,○,"災害等による期限の延長には地域指定、対象者指定、申請による個別指定の3つの方法があるが、どの順番で行ってもよい(関2条の3、関令1条の4)。
[参照　第2編（関税法）-第2章（期間と期限）-2.災害等による期限の延長]"
法定納期限と納期限,58-9-2,A,輸入の許可後にした修正申告に係る書面に記載された納付すべき税額は、当該修正申告をした日の翌日までに納付しなければならない。,○×,×,"輸入許可後の修正申告に係る書面に記載された納付すべき税額の納期限は、修正申告をした日であるから、修正申告をした日までに納付しなければならない(関9条2項4号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（2）原則、（3）例外-④輸入許可後の修正申告]"
法定納期限と納期限,58-9-3,A,輸入の許可後にされた更正に係る更正通知書に記載された納付すべき税額は、当該更正通知書が発せられた日の翌日から起算して2月を経過する日までに納付しなければならない。,○×,×,"輸入許可後の更正に係る更正通知書に記載された納付すべき税額の納期限は、更正通知書が発せられた日の翌日から起算して1月を経過する日であるから(関9条2項5号)、2月を経過する日までにという部分が誤りとなる。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（2）原則、（3）例外-⑤輸入許可後の更正]"
法定納期限と納期限,58-9-4,A,特例委託輸入者が、期限内特例申告書を提出した場合において、当該期限内特例申告書に記載された納付すべき税額に相当する関税を納付すべき期限に関し、特例申告書の提出期限までにその延長を受けたい旨の申請書を税関長に提出し、かつ、当該期限内特例申告書に記載した関税額の全部又は一部に相当する額の担保を当該税関長に提供したときは、当該税関長は、当該関税額が当該提供された担保の額を超えない範囲内において、当該納付すべき期限を2月以内に限り延長することができる。,○×,○,"特例委託輸入者が期限内特例申告書を提出した場合、特例申告書の提出期限までに延長を受けたい旨の申請書を特例申告をする税関長に提出したときは、税関長は、納期限を特例申告書の提出期限の翌日から2月以内に限り延長できる。このとき特例委託輸入者は、関税額の全部又は一部に相当する額の担保を提供することが必要であり、税関長は、提供された担保の額を超えない範囲内において納期限を延長できる(関9条の2第4項)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-①納期限の延長]"
