カテゴリー,問題番号,問題,選択肢,正解,解説
関税法（輸入通関）,52-6-1,特例輸入者は、電子情報処理組織(NACCS)を使用することなく輸入申告を行う場合であっても、税関長の承認を受けることなく、その申告に係る貨物を保税地域に入れないで輸入申告を行うことができる。,○×,×,特例輸入者は、電子情報処理組織(NACCS)を使用して輸入申告を行う場合に限り、税関長の承認を受けることなく、申告に係る貨物を保税地域に入れずに輸入申告を行うことができる(関税法67条の2第3項3号、同法施行令59条の6第3項)。
関税法（輸入通関）,52-6-2,外国貿易船に積み込んだ状態で輸入申告をすることが必要な貨物を輸入しようとする者は、税関長の承認を受けて、当該外国貿易船の係留場所を所轄する税関長に対して輸入申告をすることができる。,○×,○,いわゆる本船扱いのことであり、関税法67条の2第2項、同法施行令59条の5第1項1号にその通りの規定がある。
関税法（輸入通関）,52-6-3,税関長は、輸入申告があった場合において、関税についての条約の特別の規定による便益を適用する場合において必要があるときは、当該便益を適用するために必要な書類を提出させることができる。,○×,○,関税法68条にその通りの規定がある。関税についての条約の特別の規定による便益とは、経済連携協定（EPA）のことである。輸入者がEPA税率を適用したいのなら、税関長は、適用のために必要な書類を提出させることができる。
関税法（輸入通関）,52-6-4,特例輸入者は、電子情報処理組織(NACCS)を使用することなく輸入申告を行う場合であっても、その申告に係る貨物を入れる保税地域の所在地を所轄する税関長以外のいずれかの税関長に対して、輸入申告をすることができる。,○×,×,特例輸入申告はNACCSを使用して行わなければならないのが原則であり、NACCSを使用せずに輸入申告を行うのならば、特例輸入者が行う申告であっても通常の輸入申告として行うことになるため、その申告に係る貨物を入れる保税地域等の所在地を所轄する税関長に対してしなければならない(関税法67条の2第1項、67条の19、同法施行令59条の20第2項)。
関税法（原産地表示）,52-6-5,税関長は、原産地について誤認を生じさせる表示がされている外国貨物については、当該表示がある旨をその輸入申告をした者に直ちに通知し、期間を指定して、その者の選択により、その表示を消させ、若しくは訂正させ、又は当該貨物を積み戻させなければならない。,○×,○,原産地について直接・間接に偽った表示又は誤認を生じさせる表示がされている外国貨物については、税関長は、輸入を許可しない。そして、税関長は、このような表示がされている外国貨物について、当該表示がある旨をその輸入申告をした者に直ちに通知し、期間を指定して、その者の選択により、その表示を消させ、若しくは訂正させ、又は当該貨物を積み戻させなければならない(関税法71条)。
関税法（他法令の証明・確認）,52-7-1,課税価格の総額が20万円以下の貨物を輸入しようとする場合には、他法令確認を要することはない。,○×,×,課税価格により他法令確認を免除する規定はない(関税法70条参照)。
関税法（他法令の証明・確認）,52-7-2,輸入される郵便物であっても他法令確認を要することがある。,○×,○,信書(お手紙のこと)以外の郵便物は他法令確認を要する(関税法76条4項、1項ただし書、70条)
関税法（他法令の証明・確認）,52-7-3,本邦に入国する者がその入国の際に携帯して輸入する物品のうち、その個人的な使用に供するものについては、他法令確認を要することはない。,○×,×,このような物品について他法令確認を免除する規定はない(関税法70条参照)。
関税法（他法令の証明・確認）,52-7-4,特定輸出申告に係る貨物を輸出しようとする場合であっても他法令確認を要することがある。,○×,○,特定輸出申告に係る貨物だという理由で他法令確認を免除する規定はない(関税法70条参照)。
関税法（他法令の証明・確認）,52-7-5,総合保税地域における保税作業による製品である外国貨物を外国に向けて積み戻す場合には、他法令確認を要することはない。,○×,×,外国貨物の積戻しには、原則他法令確認を要する(関税法75条1項、70条)。
関税法（輸入通関）,52-8-1,オーストラリア税率の適用を受けようとする貨物について、関税法第73条第 1 項の規定に基づき輸入の許可前における貨物の引取りの承認を受ける場合における原産品申告書の提出は、当該貨物に係る輸入申告後相当と認められる期間内にしなければならない。,○×,○,"経済連携協定における締約国原産地証明書、締約国原産品申告書等及び締約国品目証明書は、原則として輸入申告の際に提出する。例外的に、①簡易手続の対象となる郵便物については税関職員による検査その他郵便物に係る税関の審査の際に、②税関長が災害その他やむを得ない理由があると認める場合はその申告又は審査後相当と認められる期間内に、③輸入許可前引取承認を受ける場合には、その申告又は審査後相当と認められる期間内に、それぞれ提出しなければならない(関税法施行令61条4項本文)。本問は③について述べたものであり、正しい。

なお、締約国品目証明書は、これに係る貨物の課税価格の総額が20万円以下である場合においては、税関長の求めがあったときに提出すればよい(同項ただし書)。"
関税法（輸入通関）,52-8-2,オーストラリア税率の適用を受けようとする貨物の課税価格の総額が25万円以下の場合には、原産品申告書の提出を要しない。,○×,×,25万円以下ではなく、20万円以下である（関税法68条、同法施行令61条1項2号イ）。
関税法（輸入通関）,52-8-3,オーストラリア協定に基づく原産品申告書は、これに係る貨物の輸入申告の日において、その作成の日から6月以上を経過したものであってはならない。,○×,×,「6月」ではなく「1年」である(関税法施行令61条5項本文)。
関税法（輸入通関）,52-8-4,オーストラリア協定に基づく原産品申告書とは、オーストラリアの発給機関が、オーストラリアに所在する輸出者又は生産者による申請に基づき、発給したものをいう。,○×,×,オーストラリア協定に基づく原産品申告書は、輸入者、輸出者又は生産者のいずれかが自ら作成したものである(関税法施行令61条1項2号イ(2)、オーストラリア協定3.16条)。
関税法（輸入通関）,52-8-5,オーストラリア税率の適用を受けようとする貨物について、関税法第43条の3第1項の規定に基づき外国貨物を置くことの承認を受けようとする場合における原産品申告書の提出は、災害その他やむを得ない理由があると税関長が認める場合を除き、当該承認の申請の際にしなければならない。,○×,○,オーストラリア税率の適用を受けようとする貨物について、外国貨物を置くことの承認を受ける場合には、当該貨物に係る原産品申告書は、災害その他やむを得ない理由があると税関長が認める場合を除き、当該承認申請の際に税関長に提出しなければならない(同法第43条の3第1項、同法施行令第36条の3第3項)。なお、この場合においては、当該貨物の輸入申告の際には、原産品申告書の提出を要しない(同項)。
関税法（運送）,52-9-1,外国貨物である難破貨物をその所在する場所から開港に外国貨物のまま運送する場合においては、その所在する場所に税関が設置されておらず、当該運送をすることについて緊急な必要があるときであっても、当該運送について、その所在する場所を所轄する税関長の承認を受けなければならない。,○×,×,外国貨物である難破貨物をその所在する場所から開港等に運送する場合には、原則として税関長の承認を受けなければならないが、税関が設置されていない場所から運送をすることについて緊急な必要がある場合において税関職員がいないときは、例外的に警察官にあらかじめその旨を届け出ることにより運送することができる(関税法第64条1項1号)。
関税法（運送）,52-9-2,日本郵便株式会社は、輸入される郵便物で関税法第76条の規定により日本郵便株式会社から税関長に提示され、税関職員による必要な検査が行われ、当該検査が終了したことについて税関長から日本郵便株式会社に通知があったものについて、税関空港相互間を運送しようとする場合には、税関長の承認を受けなければならない。,○×,×,"輸入される郵便物で関税法76条の規定により日本郵便株式会社から税関長に提示され、税関職員による必要な検査が行われ、当該検査が終了したことについて税関長から日本郵便株式会社に通知があったものというのは、特定郵便物のことを指している。
特定郵便物を除く郵便物については、特定区間（開港、税関空港、保税地域、税関官署等の相互間）に限り、税関長の承認を受けることなく、税関長に届け出て、外国貨物のまま運送することができる(関税法63条の9第1項)。つまり、承認を受けなければならないのではなく、届出でよい。しかし特定郵便物については、保税運送の承認も届出も必要とされていない(63条1項、63条の9第1項)。特定郵便物は外国貨物であっても保税地域以外の場所に置くことができるので(30条1項3号)、運送のため保税地域外に出してもよいのである。
よって、本問では、税関長の承認を受けずに税関空港相互間を運送できる。"
関税法（運送）,52-9-3,保税運送の承認に際し税関長が指定した運送の期間について、その指定された期間の延長の申請を行おうとする者は、当該承認をした税関長又は当該承認に係る貨物のある場所を所轄する税関長に当該申請に係る申請書を提出しなければならない。,○×,○,税関長は、保税運送の承認をする場合においては、相当と認められる運送の期間を指定しなければならない。この場合において、その指定後災害その他やむを得ない事由が生じたため必要があると認めるときは、税関長は、その指定した期間を延長することができる(関税法63条4項)。そして、この規定により延長を受けようとする者は、保税運送の承認の申告の際に書面で提出する事項（運送に使用しようとする船舶、航空機又は車両の名称、登録記号又は種類、運送しようとする貨物の運送先、記号、番号、品名、数量及び価格並びに運送の期間及び目的）のほか、運送を承認した税関長、その承認の年月日、発送の年月日、当該運送について延長を必要とする期間及び事由を記載した申請書を、当該承認をした税関長又は当該貨物のある場所を所轄する税関長に提出しなければならない(同法施行令55条)。
関税法（運送）,52-9-4,税関長が指定する期間内に発送される外国貨物の運送について一括して保税運送の承認を受けた者であっても、当該承認に係る外国貨物の運送に際しては、その都度、運送目録を税関に提示し、その確認を受けなければならない。,○×,×,一括して保税運送の承認を受けた場合においては、指定された期間内に発送された外国貨物に係る運送目録ごとに、一括して確認を受けることができる(関税法63条3項ただし書)。
関税法（運送）,52-9-5,保税運送の承認を受けて運送された外国貨物(輸出の許可を受けた貨物を除く。)がその運送中に運送する者の重大な過失により亡失した場合であって、その承認の際に税関長が指定した期間内に運送先に到着しないときは、当該承認を受けた者から、直ちにその関税が徴収される。,○×,○,保税運送の承認を受けて運送された外国貨物（輸出の許可を受けた貨物を除く。）がその指定された運送の期間内に運送先に到着しないときは、運送の承認を受けた者から、直ちにその関税を徴収するのが原則である。ただし、当該貨物が災害その他やむを得ない事情により亡失した場合は、例外的に直ちに関税は徴収されない(関税法65条1項)。本問では、その運送中に運送する者の重大な過失により亡失した場合であるから、やむを得ない事情による亡失とはいえないため、原則どおり、運送の承認を受けた者から、直ちにその関税を徴収する。
関税定率法（軽減・免除・払戻し）,52-10-1,関税を納付して輸入された貨物のうち、品質が契約の内容と相違するため返送することがやむを得ないと認められるもので、その輸入の時の性質及び形状に変更を加えないものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合には、その関税の払戻しを受けることができる。,○×,○,関税を納付して輸入された貨物のうち、品質又は数量等が契約の内容と相違するため返送することがやむを得ないと認められるもので、その輸入の時の性質及び形状に変更を加えないものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合には、その関税の払戻しを受けることができる(違約品等の再輸出又は廃棄の場合の戻し税等 関税定率法20条1項1号)。
関税定率法（軽減・免除・払戻し）,52-10-2,関税を納付して輸入された貨物のうち、輸入後において法令によりその販売が禁止されるに至ったため輸出することがやむを得ないと認められるもので、その輸入の時の性質及び形状に変更を加えないものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合には、その関税の払戻しを受けることができる。,○×,○,関税を納付して輸入された貨物のうち、輸入後において法令（これに基づく処分を含む。）によりその販売、使用又はそれを用いた製品の販売、使用が禁止されるに至ったため輸出することがやむを得ないと認められるもので、その輸入の時の性質及び形状に変更を加えないものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合には、その関税の払戻しを受けることができる(違約品等の再輸出又は廃棄の場合の戻し税等 関税定率法20条1項3号)。
関税定率法（軽減・免除・払戻し）,52-10-3,関税を納付して輸入された貨物のうち、個人的な使用に供する物品で通信販売により販売されたものであって、品質が当該物品の輸入者が予期しなかったものであるため返送することがやむを得ないと認められるもので、その輸入の時の性質及び形状に変更を加えないものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合には、その関税の払戻しを受けることができる。,○×,○,関税を納付して輸入された貨物のうち、個人的な使用に供する物品で通信販売により販売されたものであって、品質が当該物品の輸入者が予期しなかったものであるため返送することがやむを得ないと認められるもので、その輸入の時の性質及び形状に変更を加えないものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合には、その関税の払戻しを受けることができる(関税定率法20条1項2号、同法施行令55条の2)。
関税定率法（軽減・免除・払戻し）,52-10-4,関税を納付して輸入された貨物のうち、品質が契約の内容と相違するため返送することがやむを得ないと認められるものを、その輸入の許可の日から6月以内に保税地域に入れ、やむを得ないと認められる事由により輸出に代えて廃棄する場合であっても、その関税が払戻しされることはない。,○×,×,このような場合、あらかじめ税関長の承認を受けて廃棄すれば、関税の全部か一部の払い戻しが受けられる(関税定率法20条1項、2項)。
関税定率法（軽減・免除・払戻し）,52-10-5,関税を納付して輸入された布地であって、品質が契約の内容と相違するため返送することがやむを得ないと認められるものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合において、当該布地が輸入後に切断されているときは、当該切断が布地の素材としての性質及び形状を失わない程度の切断であっても、その関税が払戻しされることはない。,○×,×,関税を納付して輸入された布地であって、品質が契約の内容と相違するため返送することがやむを得ないと認められるものを、その輸入の許可の日から6月以内に保税地域に入れ、返送のため輸出する場合は、その輸入の時の性質及び形状に変更を加えないといえるなら、関税の払戻しが受けられる(関税定率法20条1項)。そして、同法基本通達20-1(1)によると「その輸入の時の性質及び形状に変更を加えない」とは、輸入された貨物の性質及び形状に実質的な変化を加えないことをいうものとし、改装、 単なる分離、棒、板、布地等の素材としての性質形状を失わない程度の切断、その他これらに類する行為及び経済的な効用を発揮しない試験的使用による損傷は、これに含まれるとされる。すると、本問では、当該切断が布地の素材としての性質及び形状を失わない程度の切断なのだから、これを満たすため、払戻しが受けられる。  
関税定率法（課税価格の決定）,52-11-1,輸入貨物に係る特許権の使用に伴う対価のうち、当該輸入貨物を本邦において複製する権利に係るものについては、当該輸入貨物の課税価格に含まれる。,○×,×,輸入貨物に係る特許権の使用に伴う対価のうち、当該輸入貨物を本邦において複製する権利の使用に伴う対価は、加算費用から除外されているので課税価格に含まれない(関税定率法4条1項4号)。
関税定率法（課税価格の決定）,52-11-2,輸入貨物に係る輸入取引に関し買手により負担される手数料のうち、当該輸入貨物の買付けに関し当該買手を代理する者に対し、当該買付けに係る業務の対価として支払われるものは、当該輸入貨物の課税価格に含まれない。,○×,○,買付手数料なので、控除費用であり、課税価格に含まれない(関税定率法4条1項2号)。 
関税定率法（課税価格の決定）,52-11-3,輸入貨物が輸入港に到着するまでの運送について、保険が付されていない場合には、通常要すると認められる保険料の額として税関長が公示する額が当該輸入貨物の課税価格に含まれる。,○×,×,輸入貨物が輸入港に到着するまでの運送に要する保険料は、実際に要した保険料であるから、保険が付されていない場合には、通常要すると認められる保険料を見積もって課税価格に含めることはしない(関税定率法基本通達4-8(4))。  
関税定率法（課税価格の決定）,52-11-4,輸入貨物の輸入の許可の時の属する日以後に行われる当該輸入貨物に係る据付けに要する役務の費用の額が、当該輸入貨物につき買手により売手に対し又は売手のために行われた又は行われるべき支払の総額に含まれている場合において、当該費用の額を明らかにすることができないときは、関税定率法第4条第1項の規定により当該輸入貨物の課税価格を計算することはできない。,○×,×,輸入貨物の輸入申告の時の属する日以後に行われる当該輸入貨物に係る据付け、組立て、整備又は技術指導に要する役務の費用の額が、当該輸入貨物につき買手により売手に対し又は売手のために行われるべき支払の総額に含まれている場合において、当該費用の額を含んだものとしてでなければ当該支払の総額を把握することができないときは、当該明らかにすることができない費用の額を含めて課税価格を計算する(関税定率法法施行令1条の4第1号)。
関税定率法（課税価格の決定）,52-11-5,輸入貨物に係る輸入取引に関し買手により負担される当該輸入貨物の容器の費用のうち、当該輸入貨物の通常の容器と同一の種類及び価値を有するものの費用は、当該輸入貨物の課税価格に含まれる。,○×,○,輸入貨物に係る輸入取引に関し買手により負担される当該輸入貨物の容器の費用は加算費用となり課税価格に含まれるが、この容器とは、当該輸入貨物の通常の容器と同一の種類及び価値を有するものに限られる(関税定率法4条1項2号ロ)。つまり、その輸⼊貨物を⼊れるのに普通使われる容器と同じ種類・価値の容器に限られているので、例えば普通は使われないような⾼価なブランドものの容器や⾼額の装飾がされているような容器はこの容器に当たらない。
外国為替及び外国貿易法,52-12-1,国際郵便により送付され、かつ、受取人の個人的使用に供される職業用具を輸出しようとする場合には、当該貨物が輸出貿易管理令別表第2の1の項の中欄に掲げるダイヤモンドに該当するときであっても、経済産業大臣の輸出の承認を受けることを要しない。,○×,×,国際郵便により送付され、かつ、受取人の個人的使用に供される職業用具は、原則として経済産業大臣の輸出の承認は不要であるが、ダイヤモンドは、例外的にその承認を要する(輸出貿易管理令4条2項4号) 。
外国為替及び外国貿易法,52-12-2,仮に陸揚げした貨物のうち、本邦以外の地域を仕向地とする船荷証券により運送されたものを輸出する場合において、当該貨物が輸出貿易管理令別表第1の1の項の中欄に掲げる貨物に該当するときは、経済産業大臣の輸出の許可を受けなければならない。,○×,○,仮に陸揚げした貨物のうち、本邦以外の地域を仕向地とする船荷証券により運送されたものを輸出する場合は、原則として経済産業大臣の輸出の許可は不要だが、輸出貿易管理令別表第1の1の項の中欄に掲げる貨物（兵器）は、例外的に経済産業大臣の輸出の許可を要する(輸出貿易管理令4条1項1号)。
外国為替及び外国貿易法,52-12-3,輸出貿易管理令別表第1の2の項の中欄及び同令別表第2の20の項の中欄に掲げる核燃料物質に該当する貨物であって、経済産業大臣の輸出の許可及び承認を要する貨物に該当するものを輸出しようとする場合であっても、経済産業大臣の輸出の許可を受けたときは、経済産業大臣の輸出の承認を受けることを要しない。,○×,×,核燃料物質は、外為法48条1項、輸出貿易管理令1条により経済産業大臣の輸出の許可が要る物品として同令別表第1の2の項(1)の中欄に挙げられている。一方で、同法2条1項1号により経済産業大臣の輸出の承認が要る物品として同令別表第2の20の項の中欄にも挙げられている。このとき、これらの許可と承認は別の根拠条文に基づいて要求されるものであるから、許可を受ければ承認も受けたことになるというものではない。よくありがちな質問だが、許可や承認と一口に言っても、根拠条文が異なるときは例え同じ法律内で規定されていたとしてもそれぞれ別の目的で必要とされているので、例えばある根拠条文に基づく許可を受けたからといって別の根拠条文に基づく許可や承認を受けたことになるものではない。
