カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
関税の確定,57-6-1,A,納税申告をした者は、当該納税申告により納付すべき税額に不足額があるときは、当該納税申告の日から3年以内に限り、税関長に対し、当該納税申告に係る課税標準又は納付すべき税額につき修正申告をすることができる。,○×,×,"納税申告をした者は、当該納税申告により納付すべき税額に不足額があるときは、税関長による更正があるまでは、税関長に対し、当該納税申告に係る課税標準又は納付すべき税額につき修正申告をすることができる(関7条の14第1項1号)。これはつまり、修正申告は納付すべき税額に不足があるときに行えるので、修正申告する前に更正されてしまうとその時点で納税義務者から申告すべき不足額はゼロになるため、修正申告を行えないということである。例えば申告した税額に100万円不足額があり、その後100万円を増額する更正があれば、この時点で納付すべき税額はその100万円を追加した金額になっているので修正申告の余地がなく、納税義務者は追加の100万円を支払う義務が残るだけである。なお、更正は原則として法定納期限等から5年を経過した日以後においてはすることができないので(更正の期間制限 関14条1項)、実質的には更正の期間制限内しか修正申告はできないこととなる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅事項）-1.申告納税方式-（2）輸入者が行う手続-②修正申告]"
関税の確定,57-6-2,A,納税申告をした者は、当該納税申告により納付すべき税額に関し当該税額を増額する更正があった場合であっても、その増額した後の納付すべき税額に不足額があるときは、その増額した更正について更正があるまでは、その増額した更正に係る納付すべき税額につき修正申告をすることができる。,○×,○,"納税申告をした者は、当該納税申告により納付すべき税額に不足額があるときは、税関長による更正があるまでは、税関長に対し、当該納税申告に係る課税標準又は納付すべき税額につき修正申告をすることができる(関7条の14第1項1号)。しかしこれは、修正申告する前に更正されてしまうとその時点で納税義務者から申告すべき不足額はゼロになるため修正申告を行えないという意味であるから、更正後にまだ不足額があるならその不足額については修正申告ができる。例えば、申告した税額に100万円不足額があり、その後100万円を増額する更正があれば、もうその100万円について修正申告はできない。しかし、実はまだ追加で50万円不足額があった場合、先程の増額更正はその50万円についてはされていないため、この50万円について更に増額更正があるまでは、この50万円の修正申告が可能である。したがって、本問は正しい。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅事項）-1.申告納税方式-（2）輸入者が行う手続-②修正申告]"
関税の確定,57-6-3,A,納税申告が必要とされている貨物についてその輸入の時までに当該納税申告がないことにより税関長による納付すべき税額の決定を受けた者は、当該輸入の後に生じたやむを得ない理由により、当該決定により納付すべき税額が過大である場合には、税関長に対し、当該決定後の税額につき更正をすべき旨の請求をすることができる。,○×,×,"更正の請求ができるのは納税申告（当初申告又は修正申告）をした者であるから(関7条の14第1項1号、7条の15第1項)、納税申告をしていない本問では更正の請求はできない。その場合は関税法89条以下の不服申立て手続により過大となっている部分の減額を主張することになる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅事項）-1.申告納税方式-（2）輸入者が行う手続-③更正の請求]"
関税の確定,57-6-4,A,税関長の承認を受けて輸入の許可前に引き取られた貨物に係る更正の請求は、当該承認の日の翌日から起算して1年を経過する日と輸入の許可の日とのいずれか遅い日までの間に限り、行うことができる。,○×,×,"税関長の承認を受けて輸入の許可前に引き取られた貨物に係る更正の請求は、当該承認の日の翌日から起算して5年を経過する日と輸入の許可の日とのいずれか遅い日までの間に限り、行うことができる(関7条の15第1項)。1年ではない。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅事項）-1.申告納税方式-（2）輸入者が行う手続-③更正の請求]"
賦課権の期間制限と徴収権の消滅時効,57-6-5,B,関税法第14条第1項(更正、決定等の期間制限)の規定により関税についての更正をすることができないこととなる日前6月以内にされた更正の請求に係る更正は、当該更正の請求があった日から6月を経過する日まで、することができる。,○×,○,"更正は原則として法定納期限等から5年を経過した日以後においてはすることができないので(更正の期間制限 関14条1項)、更正をすることができないこととなる日前6月以内にされた更正の請求に係る更正は、当該更正の請求があった日から6月を経過する日まで、することができる(関14条2項)。例えば、法定納期限等から4年と11月を経過した日に更正の請求をした場合はそこから6月を経過する日まで更正できるのであり、残り1月で更正ができなくなるのではない。更正の期間制限間近で更正の請求がされた場合、更正の請求はされたのに更正が間に合わない可能性もあるので、このような救済の規定がある。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅事項）-3.賦課権の期間制限と徴収権の消滅時効-（3）賦課権の期間制限]"
期間の計算と期限の特例,57-7-1,C,特例申告書の提出期限が土曜日、日曜日、国民の祝日に関する法律に規定する休日その他一般の休日、12月29日、同月30日又は同月31日に当たるときは、これらの日の翌日をもってその提出期限とみなされる。,○×,○,"関税法、関税定率法その他の関税に関する法律において規定される申告、申請、請求、届出、その他書類の提出、通知、納付、徴収に関する期限が、土曜日、日曜日、国民の祝日に関する法律に規定する休日、12月29日～翌年1月3日に当たるときは、これらの日の翌日をもってその提出期限とみなされる(関法2条の2、国税通則法10条2項、国税通則法施行令2条2項、行政機関の休日に関する法律1条1項3号)。申告等の期限が役所の休みである土日祝や年末年始に重なると、その次の平日が期限となるということである。
[参照　第2編（関税法）-第2章（期間と期限）-1.期間の計算と期限の特例-（2）期限の特例]"
還付,57-7-2,B,関税定率法第19条の3第1項(輸入時と同一状態で再輸出される場合の戻し税等)の規定による関税の払戻しが、これを受ける者の申請に基づいて過大な額で行われた場合には、その過大であった部分の金額に相当する関税額について、当該関税額に係る納税告知書を発する日の翌日から起算して7日を経過する日までに納付しなければならない。,○×,×,"関税定率法19条の3第1項(輸入時と同一状態で再輸出される場合の戻し税等)の規定による関税の払戻しが、これを受ける者の申請に基づいて過大な額で行われた場合とは、払戻しの申請内容に誤りがあったため、本来払い戻されるべき金額より多く払戻しされた場合を指している。このとき、国としては多く払い戻してしまった部分を取り戻さないといけないので、多く払い戻した部分（その過大であった部分の金額に相当する関税額）を改めて納税してもらうために納税告知書を発する。関税額は既に当初の納税申告又は賦課決定で確定しており、払戻しや多く払い戻した部分の取り戻しはその確定した金額に合わせて行っているだけなので、払戻しや取戻しの際に更正や再賦課決定がされることはない。つまり、多く払い戻した部分を取り戻す手続きは申告納税方式でも賦課課税方式でもないので、賦課決定通知書が発せられることはなく納税告知書だけが発せられる。そして、関税の払戻しが、これを受ける者の申請に基づいて過大な額で行われた場合は、当該関税額に係る納税告知書を発する日の翌日から起算して1月を経過する日が納期限である(関13条の2、関令11条、7条の2第1項3号、関通13の2-1(1))。つまり、納税告知書を発する日の翌日から起算して7日を経過する日までではなく、1月を経過する日までに納付しなければならない。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-3.還付-（4）過大な払戻し又は還付]"
法定納期限と納期限,57-7-3,A,関税法第9条の2第1項(納期限の延長)の規定により納付すべき期限が延長された関税についての同法第12条第9項(延滞税)に規定する法定納期限は、当該関税を課される貨物の輸入の許可の日である。,○×,×,"この場合の法定納期限は、延長された期限である(関12条9項2号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-①納期限の延長]"
法定納期限と納期限,57-7-4,A,特例申告貨物について、特例申告書をその提出期限までに提出した後にされた更正により納付すべき関税についての関税法第12条第9項(延滞税)に規定する法定納期限は、当該提出期限と当該更正に係る更正通知書が発せられた日とのいずれか遅い日である。,○×,×,"特例申告後にされた更正により納付すべき関税があるということは、特例申告貨物について本来納付すべき関税の一部が申告できていなかったので、更正によりその一部に相当する額も納付すべきとされたということである。とすれば、更正により納付すべき関税は、特例申告貨物につき納付すべき関税であるから、その法定納期限は特例申告書の提出期限となる(関12条9項1号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-②特例申告貨物]"
法定納期限と納期限,57-7-5,A,期限内特例申告書に記載された納付すべき税額に相当する関税については、その特例申告書の提出期限までに国に納付しなければならない。,○×,○,"納期限について、条文上は納期限というフレーズを使った上でそれが具体的にいつとなるかについて規定されているわけではなく、日や期限を挙げた上でそれ「までに国に納付しなければならない。」と規定されている(関9条2項)。つまり、本問はその条文に沿った言い回しで納期限がいつかを問うている。そうすると、期限内特例申告書に記載された納付すべき税額の納期限は特例申告書の提出期限なので、本問は正しい(関9条2項1号)。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-②特例申告貨物]"
輸出申告の特例,57-8-1,A,特定委託輸出者が特定委託輸出申告を行う場合には、その申告に係る貨物が置かれている場所から当該貨物を外国貿易船又は外国貿易機に積み込もうとする開港、税関空港又は不開港までの運送を特定保税運送者に委託することを要しない。,○×,×,"特例輸出貨物は保税運送の承認を受けなくても外国貨物のまま運送できるが(関63条1項)、特定輸出者が行う特定輸出申告や特定製造貨物輸出者が行う特定製造貨物輸出申告とは異なり、特定委託輸出者が特定委託輸出申告を行う場合には、その申告に係る貨物が置かれている場所から当該貨物を外国貿易船又は外国貿易機に積み込もうとする開港、税関空港又は不開港までの運送を特定保税運送者に委託することを要する(関67条の3第1項)。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴]"
