カテゴリー,問題番号,問題,選択肢,正解,解説
関税法等(関税の確定),56-6-1,A,本邦と外国との間を往来する航空機に積まれていた外国貨物である機用品で、当該航空機で外国貨物として使用しないこととなったものに対する関税の税額の確定については、申告納税方式が適用される。,○×,×,"本邦と外国との間を往来する船舶又は航空機に積まれていた外国貨物で、船用品、機用品、これらに類する貨物であるもののうち、当該船舶又は航空機で外国貨物として使用しないこととなったものに対する関税の税額の確定については、賦課課税方式が適用される(関6条の2第1項2号イ、関令3条2項3号)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（2）賦課課税方式の適用範囲]"
関税法等(関税の確定),56-6-2,A,期限後特例申告をする場合に、その特例申告に係る関税に併せて納付することとされている延滞税の税額の確定については、申告納税方式が適用される。,○×,×,"延滞税は、特別の手続を要しないで、納付すべき税額が確定するとされる(関6条の2第2項)。これはつまり、申告納税方式でも賦課課税方式でもなく、特に手続無しに税額が確定するということである。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-概要]"
関税法等(関税の確定),56-6-3,A,関税法の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税については、同法第9条の2(納期限の延長)の規定による関税を納付すべき期限の延長を受けることができない。,○×,○,"関税法又は関税定率法その他関税に関する法律の規定により、一定の事実が生じた場合に直ちに徴収するものとされている関税は、賦課課税方式である(関6条の2第1項2号ニ)。しかし、納期限の延長ができるのは、申告納税方式が適用される貨物であるから(関9条の2)、関税法の規定により一定の事実が生じた場合に直ちに徴収するものとされている関税については、納期限の延長が出来ない。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-2.賦課課税方式-（2）賦課課税方式の適用範囲、第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-2.法定納期限と納期限-（3）例外-①納期限の延長]"
関税法等(関税の確定),56-6-4,A,納税申告をした者が、当該申告に係る税額につき更正をすべき旨の請求をした場合であっても、当該請求の時点では、当該申告に係る税額を当該請求に係る更正後の税額に変更する効果は生じない。,○×,○,"更正の請求は、税関長に対して、更正をすべき旨を請求する（更正をお願いする）ものにすぎず、税関長が更正するまでは、申告に係る税額を当該請求に係る更正後の税額に変更する効果は生じない(関7条の15、7条の16)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-1.申告納税方式-（2）輸入者が行う手続-③更正の請求]"
関税法等(関税の納付),56-6-5,A,関税をクレジットカードを使用する方法により納付しようとする者は、その税額が1,000万円未満であり、かつ、その者のクレジットカードによって決済することができる金額以下である場合であって、関税法第9条の5第1項に規定する納付受託者により作成された同法第9条の4に規定する納付書に基づき納付しようとするときは、当該納付受託者に納付を委託することができる。,○×,×,"関税をクレジットカードを使用する方法により納付しようとする者は、その税額が1,000万円未満であり、かつ、その者のクレジットカードによって決済することができる金額以下である場合であって、インターネット等による納付受託者に対する一定の事項の通知に基づくときは、納付受託者（今回はクレジットカード会社がこれに当たる。）に対して納付を委託できる(関9条の5、関規1条の8第1項1号)。しかし、納付書を使用して納付するのは、納税しようとする者が日本銀行やその代理店、あるいは税関職員に納付する場合である(関9条の4)。納付書を使用しなくてもキャッシュレスで納税できるというところに、納付受託者への納付委託制度の意義がある。
[参照　第2編（関税法）-第17章（関税の納付、法定納期限と納期限、還付）-1.関税の納付-（3）納付受託者への納付委託]"
関税法等(延滞税),56-7-1,A,法定納期限までに関税(附帯税を除く。)が完納されない場合には、その未納に係る関税額に対し、その法定納期限の翌日から当該関税額が納付される日までの日数に応じて、延滞税が課される。,○×,○,"納税義務者が法定納期限までに関税（附帯税を除く。）を完納しない場合は、当該納税義務者は、その未納に係る関税額に対し、法定納期限の翌日から当該関税額を納付する日までの日数に応じ、延滞税を併せて納付しなければならない(関12条1項)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-1.延滞税-（1）延滞税が課される場合、（2）延滞税額計算-④延滞日数]"
関税法等(延滞税),56-7-2,C,関税の法定納期限から1年を経過する日後に、偽りその他不正の行為により当該関税を免れた者について当該関税に係る更正がされた場合は、その法定納期限の翌日からその関税額が納付される日までの日数に応じて、当該更正により納付すべき関税額に係る延滞税が課される。,○×,○,"更正に係る関税についての延滞税については、その法定納期限から1年を経過する日の翌日から更正通知書が発せられた日までの日数を控除して延滞税を計算する(延滞日数の控除 関12条10項)。これは、法定納期限から長期間（1年）を経過した後に更正された場合は、延滞税が多くかかってしまい納税者が可哀想であるから、1年を経過する日の翌日から更正通知書が発せられた日までは延滞税を課さないであげようとの理由で作られた規定である。しかし、偽りその他不正の行為により関税を免れた等の場合は、このような控除がされない(特定更正 関12条10項)。本問は特定更正なので延滞日数の控除はされず、法定納期限の翌日からその関税額が納付される日までの日数に応じて、当該更正により納付すべき関税額に係る延滞税が課される。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-3.延滞日数の控除]"
関税法等(延滞税),56-7-3,B,延滞税が課される場合において、税関長が国税徴収の例により国税徴収法第153条第1項の規定による滞納処分の執行の停止をしたときは、その停止をした関税に係る延滞税のうち、当該執行の停止をした期間に対応する部分の金額の2分の1に相当する金額が免除される。,○×,×,"滞納処分の執行停止をした場合、執行停止をした期間に対応する部分の金額に相当する金額が全額免除されるので、執行停止をした期間に対応する部分の金額の2分の1に相当する金額が免除されるのではない(関12条7項1号)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-2.延滞税の免除-（1）全額免除-①免除する場合-ⅱ滞納処分の執行停止]"
関税法等(延滞税),56-7-4,B,延滞税が課される場合において、やむを得ない理由により納付すべき税額に誤りがあったため関税の法定納期限後にその未納に係る関税額が確定し、かつ、その事情につき税関長の確認があったときは、その税額に係る延滞税については、当該法定納期限の翌日から当該関税につき修正申告をした日又は更正通知書若しくは賦課決定通知書が発せられた日までの日数に対応する部分の金額が免除される。,○×,○,"やむを得ない理由により税額等に誤りがあったため法定納期限後に未納に係る関税額が確定し、かつ、その事情につき税関長の確認があったときは、その税額に係る延滞税については、当該法定納期限の翌日から当該関税につき修正申告をした日まで、あるいは、当該法定納期限の翌日から当該関税につき更正通知書又は賦課決定通知書が発せられた日までの日数に対応する部分の金額を、免除する(関12条6項)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-2.延滞税の免除-（1）全額免除-①免除する場合-ⅰやむを得ない理由+確認]"
関税法等(延滞税),56-7-5,B,延滞税が課される場合において、税関長が国税徴収の例により国税徴収法第151条の2第1項の規定による換価の猶予をしたときであって、納税義務者の事業又は生活の状況によりその延滞税の納付を困難とするやむを得ない理由があると認められるときは、税関長は、その猶予をした関税に係る延滞税につき、猶予をした期間に対応する部分の金額の2分の1に相当する金額を限度として免除することができる。,○×,×,"延滞税が課される場合において、納税義務者の事業又は生活の状況によりその延滞税の納付を困難とするやむを得ない理由があると認められることを理由に換価の猶予をしたのであれば、猶予をした期間に対応する部分の金額で、その納付が困難と認められる金額を限度として免除できる(関12条8項1号ロ)。したがって、猶予をした期間に対応する部分の金額の「2分の1」に相当する金額を限度として免除することができるとの部分が誤りとなる。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-2.延滞税の免除-（1）全額免除-②限度として免除できる場合-ⅰ換価猶予+困難]"
関税法等(輸出通関),56-8-1,A,輸出申告書に記載する貨物の価格は、当該貨物が航空機によって有償で輸出されるものである場合には、当該貨物の本邦の輸出港における本船甲板渡し価格に準ずる条件による価格となる。,○×,○,"輸出申告書には貨物の価格を記載するが、その価格は、当該貨物の本邦の輸出港における本船甲板渡し価格（FOB価格）とされる(関67条、関令58条1号)。また、航空機によって輸出される貨物については、これに準ずる条件による価格とするが、これはつまり、輸出する航空機に貨物が積まれる瞬間までにその貨物について発生した費用を全て含めた価格のことである(関令59条の2第2項)。FOB価格というのは本来船舶で輸出する貨物の契約にしか使用されないので、航空機での輸出はFOB価格ではなくこれに準ずる条件による価格（実質的に同じ価格のこと。）を申告価格としている。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項、5.申告すべき数量と価格]"
関税法等(関税法等の特例法),56-8-2,A,税関長は、コンテナーに関する通関条約第2条の規定により関税及び消費税の免除を受けて輸入したコンテナーを輸出しようとする者が、積卸コンテナー一覧表を税関長に提出したことをもって、関税法第67条の規定による輸出申告があったものとみなすことはできない。,○×,×,"コンテナー条約2条の規定により関税及び消費税の免除を受けてコンテナーを輸入しようとする者又は免税コンテナーを輸出しようとする者が、その輸入申告又は輸出申告に際し、積卸コンテナー一覧表を税関長に提出した場合には、税関長は、輸入申告又は輸出申告があったものとみなすことができる(コンテナーに関する通関条約及び国際道路運送手帳による担保の下で行なう貨物の国際運送に関する通関条約（ＴＩＲ条約）の実施に伴う関税法等の特例に関する法律施行令2条)。
[参照　第2編（関税法）-第3章（輸出入申告）-3.申告の方法-（3）例外2 申告書以外の書面提出、第5編（関税法等の特例法）-1.コンテナー特例法-（2）手続]"
関税法等(関税関係帳簿等),56-8-3,B,貨物を業として輸出する者は、当該貨物に係る取引に関して作成した関税関係書類について、関税法第68条の規定により税関に提出したものを除き、当該貨物の輸出の許可の日の翌日から7年間保存しなければならない。,○×,×,"輸出者が保存義務を負う関税関係帳簿の保存期間は、輸出の許可の日の翌日から5年間であり、7年間ではない(関令83条8項)。なお、輸入者が保存義務を負う関税関係帳簿は、輸入の許可の日の翌日から7年間である(関令83条6項)。
[参照　第2編（関税法）-第7章（関税関係帳簿等）-1.関税関係帳簿等-（4）保存期間]"
