カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
事前教示（事前照会）,55-5-5,A,関税法第7条第3項の規定に基づく関税率表の適用上の所属の教示に係る照会に関して、インターネットによる事前照会は、当該事前照会に係る貨物の主要な輸入申告予定官署が判明している場合には、原則として当該輸入申告予定官署が所属する税関において受け付け、それ以外の場合には、その照会者の所在地を所轄する税関において受け付けることとされている。,○×,○,"インターネットによる事前照会は、貨物の主要な輸入申告予定官署が判明している場合には、原則としてその輸入申告予定官署が所属する税関において受け付け、それ以外の場合には、照会者の所在地を所轄する税関において受け付ける(関通7-18-3(3)イ)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-4.インターネットによる照会-（3）受付]"
特恵関税、経済連携協定,55-6-1,B,アセアン包括協定に基づく締約国原産地証明書の様式については、関税暫定措置法第8条の2(特恵関税等)の規定による特恵関税制度に基づく原産地証明書の様式で代用することができる。,○×,×,"締約国原産地証明書の様式（フォーマット）は経済連携協定ごとに異なっているので、適用しようとするEPA税率の根拠となる経済連携協定の様式に従う必要があるし(関通68-5-11)、特恵関税の原産地証明書の様式で代用することもできない。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
特恵関税、経済連携協定,55-6-2,A,アセアン包括協定に基づく締約国原産地証明書は、アセアン包括協定に基づく締約国原産品である旨を記載し、かつ、当該締約国原産品の輸出者が署名した仕入書で代用することができる。,○×,×,"アセアン包括協定の原産地証明となるのは締約国原産地証明書のみであり、輸出者が作成した締約国原産品申告書によることはできない(関68条2項、関令61条1項2号イ(1)、関通68-5-14(1))。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
特恵関税、経済連携協定,55-6-3,A,アセアン税率の適用を受けて輸入しようとする貨物がアセアン包括協定の締約国以外の地域を経由して本邦に運送されたものである場合において、当該貨物の課税価格の総額が30万円以下であるときは、当該貨物に係る輸入申告の際にアセアン包括協定に基づく運送要件証明書を提出することを要しない。,○×,×,"「30万円以下」ではなく「20万円以下」である(関令61条1項2号ロ)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-③運送要件証明書]"
特恵関税、経済連携協定,55-6-4,B,アセアン包括協定の規定により連続する原産地証明書の発給を受けた締約国原産品であって、かつ、当該連続する原産地証明書を発給した国から当該国以外の地域を経由しないで本邦へ向けて直接に運送された貨物について、アセアン税率の適用を受けて輸入しようとする場合は、当該貨物に係る輸入申告の際にアセアン包括協定に基づく運送要件証明書を提出することを要しない。,○×,○,"アセアン包括協定では複数の締約国が存在するが、複数の締約国を経てから本邦に輸入する場合は、最初に輸出された締約国の原産地であることを証明する原産地証明書を、最後に輸出する締約国で発給できる場合があり（連続する原産地証明書）、この連続する原産地証明書を発給した締約国からアセアン包括協定の締約国以外の地域を経由しないで本邦へ向けて直接に運送された貨物については、運送要件証明書の提出を要しない(関令61条1項2号ロ)。例えばアセアン包括協定の締約国であるタイで原産地証明書が発給され、タイから同じく締約国であるシンガポールに輸出され、シンガポールで連続する原産地証明書が発給され、シンガポールからアセアン包括協定の締約国以外を経由せず日本へ運送された貨物については運送要件証明書の提出が不要となる。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-③運送要件証明書]"
特恵関税、経済連携協定,55-6-5,A,関税法第76条第1項に規定する郵便物についてアセアン税率の適用を受けて輸入しようとする場合におけるアセアン包括協定に基づく締約国原産地証明書は、日本郵便株式会社から税関長への当該郵便物の提示の日において、災害その他やむを得ない理由によることなく、その発給の日から1年以上を経過したものであってはならないこととされている。,○×,○,"締約国原産地証明書は有効期間があり、簡易手続対象の郵便物は原則として提示の日において発給の日より1年以上経過していないことが必要だが、災害その他やむを得ない理由によりその期間を経過した場合はこの限りではない(関令61条5項)。問題文に書かれている関税法76条1項に規定する郵便物というのが条文番号だけでは何を意味するのか分からなかったとしても、日本郵便株式会社から税関長へ提示するということが書かれているので、簡易手続対象の郵便物のことだと推測できる。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書、第2編（関税法）-第6章（郵便物の輸出入）-1.簡易手続の対象となる郵便物]"
輸出申告の特例,55-13-1,A,特定委託輸出申告は、輸出の許可を受けるためにその申告に係る貨物を入れる保税地域の所在地又は当該貨物を積み込もうとする外国貿易船の係留場所を所轄する税関長に対してしなければならないこととされている。,○×,×,"「輸出の許可を受けるためにその申告に係る貨物を入れる保税地域の所在地又は当該貨物を積み込もうとする外国貿易船の係留場所を所轄する税関長に対して」ではなく「いずれかの税関長に対して」である(関67条の3第1項2号) 。
[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先-（2）例外2 申告の特例、第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴]"
輸出通関,55-13-2,A,コンテナーに詰められた貨物に係る保税地域等に搬入される前の検査は、当該貨物の輸出者から申出があった場合で、当該貨物が当該検査を実施することに支障がないものであり、積付状況説明書等により当該貨物の内容が明らかであり、かつ、当該検査終了後、速やかに保税地域等に搬入されることが確実である場合に限り、輸出申告の後、税関長が指定した場所で行うことができるものとされている。,○×,○,"コンテナー貨物（コンテナーに詰められた状態で輸出の許可を受けるため保税地域等に搬入される貨物）についての搬入前検査は、輸出者から申出があること、搬入前検査を実施することに支障がない貨物であること、積付状況説明書その他仕入書等により貨物の内容が明らかであること、搬入前検査終了後速やかに保税地域等に搬入されることが確実であることという要件を全て満たせば行うことができる(関67条、関通67-1-7(5))。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
輸出通関,55-13-3,B,輸出の許可を受けた貨物がその船積みまでの間に事故等に遭い、同種貨物による取替えが必要となった場合には、輸出者は、書面による事前の手続を要することなく、同種貨物に取り替えて輸出する旨を当該輸出許可を行った税関に口頭で報告することにより当該同種貨物を輸出することができる。,○×,×,"輸出許可を受けた貨物が積込みまでの間に事故等にあったため同種の貨物により補充や取替えが行われる場合であって、特に支障がないと認められるときは、適宜の様式による申出書に輸出許可書を添付して税関に提出すればよい(関通67-1-19)。よって、口頭で報告すればよいわけではない。
[参照　第2編（関税法）-第3章（輸出入申告）-15.輸出許可内容の変更]"
輸出通関,55-13-4,A,税関長が輸出貨物の現品検査を要すると認めた場合であっても、通関業者が輸出申告の前に当該輸出貨物の内容を点検して作成した「内容点検確認書」が輸出申告に際し添付されているときは、当該輸出貨物に係る現品検査は省略することとされている。,○×,×,"内容点検確認書はあくまで審査や検査の参考であり(関通67-1-6)、これが添付されていることで現品検査が省略されるとの規定は無い。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
輸出通関,55-13-5,B,輸出貨物の現品検査のための蔵置場所から税関検査場までの当該輸出貨物の運搬に当たっては、税関から交付された検査指定票を添付した申請書を税関長に提出して保税運送の承認を受けなければならないこととされている。,○×,×,"輸出貨物の検査のため蔵置場所（通常は保税地域等）から税関検査場（税関）まで貨物を運搬する際は、特定区間内の運送ではあっても税関から交付された「運搬用」の検査指定票と書類によって行うことができるので、保税運送の承認を受ける必要はない(関通67-1-8(4)ロ)。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
輸入通関,55-14-1,C,関税関係法令以外の法令の規定により輸入に関して承認を要する貨物で、税関に当該法令に係る承認書の提出が必要とされている輸入貨物であっても、当該輸入貨物に係るその輸入申告が電子情報処理組織(NACCS)を使用して行われる場合において、その審査区分が簡易審査扱いとなったときは、当該承認書の税関への提出は要しないこととされている。,○×,×,"輸入申告をNACCSで行い簡易審査扱い（区分1）が出力されたときは、原則として添付書類の提出を省略できるが、他法令の承認を要する貨物(関70条)で、税関に特定の書類の提出を必要とされているものについては、その書類の提出を省略できない(「輸出入・港湾関連情報処理システムを使用して行う税関関連業務の取扱いについて」5章1節1-4(2))。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（1）添付書類の種類]"
輸入通関,55-14-2,A,関税法第68条に規定する仕入書は、輸入の許可を受けようとする貨物の仕出国において国際連合の一機関である国際海事機関が定める様式により作成されたものであって、当該貨物の記号、番号、品名、数量及び価格を記載したものでなければならない。,○×,×,"輸入の許可の判断のために提出を求める仕入書は、仕出国の荷送人が仕向国の荷受人に貨物の発送を通知するために作成する書類で、一般に貨物の品名、種類、数量、価格、代金支払方法、当該荷送人及び当該荷受人の住所又は居所及び氏名又は名称等が記載されているものをいうとされている(関68条、関通68-3-1)。つまり、一般にはこのようなものだということだけが決まっており、明確な様式があるわけではない。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（1）添付書類の種類]"
輸入通関,55-14-3,A,輸入しようとする貨物について予備審査制に基づく予備申告を行った場合は、当該予備申告に係る輸入申告予定日までに当該予備申告に対する税関の審査が終了したときであっても、当該貨物に係る関税法第67条の規定による輸入申告を行うことを要する。,○×,○,"予備申告を行ったとしても、その後輸入申告ができることとなった時期以後に輸入申告を別途行う必要がある。しかしこのとき、輸入申告を行う旨の意思表示を税関に行えば、予備申告書に税関職員が受理印を押して予備申告書を輸入申告書に切り替えるので、予備申告書とは別に輸入申告書を提出する必要はない(「予備審査制について」記4)。
[参照　第2編（関税法）-第3章（輸出入申告）-12.予備審査制(輸入のみ)]"
輸入通関,55-14-4,A,予備審査制に基づく輸入貨物に係る予備申告は、電気通信回線の故障その他の事由により電子情報処理組織(NACCS)を使用して当該申告を行うことができない場合を除き、電子情報処理組織(NACCS)を使用して行わなければならない。,○×,×,"予備申告について定めた通達「予備審査制について」にはそのような限定は無いので、予備申告はNACCSを使用しなくても行うことができる。
[参照　第2編（関税法）-第3章（輸出入申告）-12.予備審査制(輸入のみ)]"
輸入通関,55-14-5,C,関税率表の適用上の所属区分及び統計品目表の適用上の所属区分、原産地並びに適用される関税率のいずれも同一である貨物であって消費税率が異なること等により複数欄で輸入 (納税)申告されるものは、当該複数欄の課税価格の合計が20万円を超えるものであっても、当該複数欄の各欄の課税価格がそれぞれ20万円以下のものについては、少額貨物簡易通関扱いをするものとされている。,○×,×,"輸入の少額貨物簡易通関扱いは、原則的には輸入(納税)申告書の品名欄の各欄の課税価格が20万円以下の場合になされるが、例外的に、関税率表の適用上の所属区分、統計品目表の適用上の所属区分、原産地、適用される関税率のいずれも同一である貨物であって消費税率が異なること等により複数欄で輸入(納税)申告されるものは、当該複数欄の課税価格の合計が20万円以下の場合にのみ少額貨物簡易通関扱いをする(関通67-4-1(1))。 
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項]"
