カテゴリー,問題番号,重要度,問題,選択肢,正解,解説
通関業法（事前教示（事前照会））,54-5-5,A,架空の貨物に係る照会であっても、事前照会の手続の対象とされている。,○×,×,"架空の貨物に係る照会は、事前照会の手続の対象とされていない(関通7-18-1(2)イ)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（2）対象となる照会の範囲]"
通関業法（特恵関税、経済連携協定）,54-6-1,A,輸入しようとする貨物について、環太平洋パートナーシップに関する包括的及び先進的な協定における関税についての特別の規定による便益の適用を受けようとするときは、締約国原産品申告書を提出できる。,○×,○,"できる(関通68-5-11の3(1)ロ)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
通関業法（特恵関税、経済連携協定）,54-6-2,A,輸入しようとする貨物について、経済上の連携に関する日本国と欧州連合との間の協定における関税についての特別の規定による便益の適用を受けようとするときは、締約国原産品申告書を提出できる。,○×,○,"できる(関通68-5-11の3(1)ハ)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
通関業法（特恵関税、経済連携協定）,54-6-3,A,輸入しようとする貨物について、新たな時代における経済上の連携に関する日本国とシンガポール共和国との間の協定における関税についての特別の規定による便益の適用を受けようとするときは、締約国原産品申告書を提出できる。,○×,×,"できない(関通68-5-11の3(1)参照)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
通関業法（特恵関税、経済連携協定）,54-6-4,A,輸入しようとする貨物について、包括的な経済上の連携に関する日本国及び東南アジア諸国連合構成国の間の協定における関税についての特別の規定による便益の適用を受けようとするときは、締約国原産品申告書を提出できる。,○×,×,"できない(関通68-5-11の3(1)参照)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
通関業法（特恵関税、経済連携協定）,54-6-5,A,輸入しようとする貨物について、日本国とスイス連邦との間の自由な貿易及び経済上の連携に関する協定における関税についての特別の規定による便益の適用を受けようとするときは、締約国原産品申告書を提出できる。,○×,×,"できない(関通68-5-11の3(1)参照)。
[参照　第2編（関税法）-第3章（輸出入申告）-6.申告書の添付書類-（2）原産地証明書等-②原産地証明書、原産品申告書]"
通関業法（輸出通関）,54-13-1,A,関税法第70条第1項においては、関税関係法令以外の法令の規定により輸出に関して承認を必要とする貨物については、輸出申告の際、当該承認を受けている旨を税関に証明しなければならないと規定されており、本邦から外国に向けて行う外国貨物の積戻しには、この規定は準用されない。,○×,×,"積戻しには基本的に輸出申告の手続が準用されるので、他法令により必要とされる承認を受けたことの証明の規定も準用される(関75条、70条)。つまり、この証明も必要となる。
[参照　第2編（関税法）-第3章（輸出入申告）-16.積戻し]"
通関業法（輸出通関）,54-13-2,A,税関長は、貨物を輸出しようとする者から当該貨物を外国貿易船に積み込んだ状態で輸出申告をすることの承認の申請があった場合には、関税法第67条の検査を要しないと認めるときに限り、当該承認を行うこととされている。,○×,×,"「貨物を輸出しようとする者から当該貨物を外国貿易船に積み込んだ状態で輸出申告をすることの承認の申請」とは、本船扱いの承認の申請のことであり、「関税法67条の検査」とは輸出の手続における貨物の検査のことである。輸出における本船扱いの承認は、「関税法67条の検査を要しないと認めるときに限り」ではなく「貨物を混載せず外国貿易船に積み込んだ状態で関税法67条の検査及び輸出許可を受けようとし、当該貨物の性質、形状及び積付けの状況が検査を行うのに支障がなく、かつ、輸出の許可を受けるために当該貨物を保税地域等に入れることが不適当と認められるときに限り」行う(関67条の2第2項、関令59条の5第1項1号)。
[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先-（2）例外1 本船扱い、ふ中扱い]"
通関業法（定義（関税法等））,54-13-3,A,本邦の船舶により本邦の排他的経済水域の海域で採捕された水産物をその海域から直接外国に向けて送り出す場合には、関税法に基づく輸出の手続は要しない。,○×,×,"本邦の船舶により本邦の排他的経済水域の海域で採捕された水産物は、本邦の船舶により公海で採捕された水産物に含まれるため内国貨物である。すると、当該内国貨物である水産物をその海域から直接外国に向けて送り出すことは輸出であるから、輸出の手続を必要とする(関67条、2条1項2号、4号、2項)。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（6）外国貨物、内国貨物、（10）輸出、積戻し]"
通関業法（減免戻し税）,54-13-4,B,関税定率法第17条第1項の規定により再輸出免税の適用を受けて輸入された加工材料となる貨物が輸入後加工され、その加工されたものを当該加工材料となる貨物の輸入の許可の日から1年以内に輸出しようとする者は、その輸出申告の際に、その輸入の許可書又はこれに代わる税関の証明書にその加工をした者が作成した加工証明書を添付して、これを税関長に提出しなければならない。,○×,○,"再輸出免税の適用を受けて輸入された加工材料となる貨物が輸入後加工され、その加工されたものを当該加工材料となる貨物の輸入の許可の日から1年以内に輸出しようとする者は、その輸出申告の際に、その輸入の許可書又はこれに代わる税関の証明書にその加工をした者が作成した加工証明書を添付して、これを税関長に提出しなければならない(関率17条1項、関率令39条1項)。
[参照　第3編（関税定率法、関税暫定措置法）-第6章（減免戻し税4（再輸出））-1.再輸出免税（関率17条）-（3）手続]"
通関業法（輸出通関）,54-13-5,A,輸出の許可後において貨物の積込港を変更しようとする場合には、輸出者の事情によらない積込港の変更であるときを除き、当該輸出の許可の取消しを受け、その変更の内容により輸出申告をし、その許可を受けなければならない。,○×,×,"輸出の許可後において貨物の積込港を変更しようとする場合には、輸出者の事情による変更か否かにかかわらず、「船名、数量等変更申請書」に輸出許可書を添付して提出する(関通67-1-12)。したがって、輸出許可取消しを受けるわけではない。
[参照　第2編（関税法）-第3章（輸出入申告）-15.輸出許可内容の変更]"
通関業法（保税地域）,54-14-1,C,保税地域にある外国貨物を積戻ししようとする場合において、その貨物が外国から本邦に到着した際に当該貨物に使用されていた古包装材料のみを保税地域から本邦に引き取る場合には、その古包装材料(これをくず化したものを含む。)の包装材料としての経済価値がほとんどないと認められるときは、品名、数量等を記載した適宜の書面を提出することにより、関税が課されることなく、その引取りが認められる。,○×,○,"保税作業では、材料に巻いてあるラップや材料を入れたフレコン等、材料の包装に使用した材料（古包装材料）を保税工場から引き取ることもある。貨物である材料や製品の積戻しをする場合又は積戻しをするかどうか不明な場合において、その古包装材料のみを引き取ろうとするときは、古包装材料も外国貨物であるから、基本的には通常の輸入手続を行う。つまり輸入申告をし、古包装材料にかかる関税を払い、輸入許可を受けて輸入する。しかし、その古包装材料（これをくず化したものを含む。）の包装材料としての経済価値がほとんどないならただのゴミであるから、輸入申告書を提出しなくても、品名、数量等を記載した適宜の書面を提出することで、関税を課されずに引き取る（輸入する）ことができる(関通67-4-16(2))。
[参照　第2編（関税法）-第10章（保税地域）-4.保税工場-（1）保税工場とは]"
通関業法（開庁時間外事務執行の求め）,54-14-2,C,税関長は、税関官署の開庁時間以外の時間において輸入の許可に係る事務の執行を求めようとする者から、あらかじめその旨の届出があった場合において、税関の事務の執行上支障がないと認めるときは、当該届出に係る事務を執行するものとされている。,○×,○,"税関官署の開庁時間以外の時間において税関の事務の執行を求めようとする者は、あらかじめその旨を税関長に書面で届け出る(関98条1項、関令87条3項)。このとき税関長は、税関の事務の執行上支障がないと認めるときは、届出に係る事務を執行する(関98条2項)。
[参照　第2編（関税法）-第23章（開庁時間外事務執行の求め）-1.開庁時間外の事務の執行の求め]"
通関業法（輸入通関）,54-14-3,A,貨物を輸入しようとする者が輸入申告と併せて納税申告を行った場合において、当該納税申告に誤りがありこれを是正する必要があるときは、その許可前に限り、その必要があるとの理由のみにより、これらの申告を撤回することができる。,○×,×,"「輸入申告と併せて納税申告を行った場合」というのは、輸入申告の特例を利用し輸入(引取)申告と納税申告（特例申告）を分離して行なった場合ではなく、通常の輸入申告（輸入(納税)申告）を行なった場合を指す。輸入申告後輸入許可を受けるまでの間は輸入申告を撤回することができ、通常の輸入申告を行なった場合は、原則として撤回の理由が何であっても撤回できるが、例外として納税に関する申告に誤りがありこれを是正する目的であれば撤回できない(関通7-7、67-3-7)。納税額に誤りがある場合は修正申告や更正の請求のようにそれを正す専用の手続が存在するからである。
[参照　第2編（関税法）-第3章（輸出入申告）-17.撤回、取止め、取消し]"
通関業法（関税の確定）,54-14-4,C,修正申告に係る書面(当該書面に添付すべき書類及び当該書面の提出に関連して提出するものとされている書類を含む。)が郵便又は信書便により提出された場合において、その郵便物又は信書便物の通信日付印により表示された日が明瞭であるときは、当該通信日付印により表示された日にその提出がされたものとみなされる。,○×,○,"修正申告書や、その添付書類や、その他修正申告に関連して提出するものとされている書類を、郵便又は信書便で提出した場合、実際に届いた日がその日付より後であっても、通信日付印により表示された日（表示がないとき、又はその表示が明瞭でないときは、その郵便物又は信書便物について通常要する送付日数を基準とした場合にその日に相当するものと認められる日）に提出されたとみなす(関6条の3、国税通則法22条)。本問は表示が明瞭であるときなので、表示がないときでも表示が明瞭でないときにも当たらないため、通信日付印により表示された日に提出されたとみなされる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅事項）-1.申告納税方式-（2）輸入者が行う手続-①納税申告（当初申告）]"
通関業法（関税率）,54-14-5,A,経済連携協定において関税の譲許が一定の数量を限度として定められている物品について、当該譲許の便益の適用を受けて当該物品を輸入しようとするときは、その輸入申告は、当該一定の数量の範囲内において、当該物品の使用の実績及び見込みその他国民経済上の必要な考慮に基づいて政府が行う割当てに係る関税割当証明書の交付を受けた者の名をもってしなければならない。,○×,○,"「経済連携協定において関税の譲許が一定の数量を限度として定められている物品」とは、経済連携協定に基づく関税割当制度の対象物品のことである。この物品について、当該譲許の便益の適用（つまりEPA税率の適用）を受けて当該物品を輸入しようとするときは、その輸入申告は、関税割当証明書の交付を受けた者の名をもって輸入申告しなければならない(暫8条の6、経済連携協定に基づく関税割当制度に関する政令3条2項)。
[参照　第3編（関税定率法、関税暫定措置法）-第1章（課税要件2（課税標準、税率、関税額計算））-2.税率-（4）関税割当制度]"
通関業法（輸入申告の特例）,53-3-1,A,納税申告は、輸入申告書に輸入しようとする貨物に係る課税標準その他の事項のほか、その税額その他必要な事項を記載して、これを税関長に提出することによって行うものとされているが、特例輸入者は、これによらず、当該貨物に係る課税標準、税額その他必要な事項を記載した特例申告書を税関長に提出することによって納税申告(特例申告)を行うことができる。,○×,○,"通常の輸入申告は輸入(納税)申告書を提出して行い、貨物の引取り（輸入）と納税とを1つにまとめて申告する。そのため、輸入(納税)申告書には課税標準や税額といった納税に関する事項も記載して税関長に提出する。一方、特例輸入者は輸入申告の特例を利用することができるので、このとき引取りと納税の申告を分離し、輸入(納税)申告書の提出ではなく、貨物の引き取りは輸入(引取)申告書を提出し、納税は特例申告書を提出することで行うことができる(関7条2項、7条の2第2項)。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項、第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（1）特徴、（5）輸入(引取)申告書と特例申告書]"
通関業法（輸入申告の特例）,53-3-2,A,特例輸入者が、自動車を輸入しようとする場合において、輸入申告に併せて納税申告を行わないときは、当該自動車については、特例申告を行うことを選択したものとみなすこととされている。,○×,○,"輸入申告に併せて納税申告を行っていない特例輸入者は、その輸入申告に係る貨物については、特例申告を行うことを選択したものとみなされる。特例申告をすることができない貨物であればこの規定は適用されないが、自動車はこれに当たらない。よって、輸入申告に併せて納税申告を行わないときは、当該自動車については、特例申告を行うことを選択したものとみなすこととされている(関7条の3、7条の2第4項)。
[参照　第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（4）輸入(引取)申告、特例申告ができない貨物-②特例申告ができない貨物、第2編（関税法）-第4章（輸出入申告の特例）-2.輸入申告の特例-（5）輸入(引取)申告書と特例申告書]"
通関業法（関税の確定）,53-3-3,A,環太平洋パートナーシップに関する包括的及び先進的な協定の規定に基づき同協定の原産品とされる貨物に係る納税申告をした者は、当該納税申告に係る貨物について同協定の規定に基づく関税の譲許の便益の適用を受けていない場合において、当該貨物につき当該譲許の便益の適用を受けることにより、当該納税申告に係る納付すべき税額が過大となるときは、当該貨物の輸入の許可の日から5年以内に限り、税関長に対し、当該納税申告に係る税額について更正の請求をすることができる。,○×,×,"貨物を輸入する際に経済連携協定の規定に基づく関税の譲許の便益の適用を受けていない場合（EPA税率を適用していない場合）は、後からEPA税率の適用を受けることは出来ないのが原則である。しかし、環太平洋パートナーシップに関する包括的及び先進的な協定（TPP協定やCPTPPと省略される。）においては例外的に、CPTPPによる関税の譲許の便益の適用を受けることにより納付すべき税額が過大となるとき（CPTPPによるEPA税率の適用を受けることで納付すべき税額が過大となるとき）は、輸入許可の日から1年以内に限り、更正の請求ができる(更正の請求の特例 暫12条の2)。本問ではこの制度のことを説明しているが、「輸入の許可の日から5年以内に限り」更正の請求をすることができるという部分が誤りであり、正しくは「輸入の許可の日から1年以内に限り」更正の請求をすることができる。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効）-1.申告納税方式-（2）輸入者が行う手続-③更正の請求]"
通関業法（延滞税）,53-3-4,A,延滞税の額の計算の基礎となる関税額が1万円未満である場合においては、延滞税の納付は要しない。,○×,○,"延滞税額の計算の基礎となる関税額が一万円未満の場合は延滞税が課されないので、納付を要しない(関12条3項)。
[参照　第2編（関税法）-第19章（附帯税1（延滞税））-1.延滞税-（2）延滞税額計算-①延滞税額の計算公式、②関税額]"
通関業法（関税の確定）,53-3-5,A,税関長は、過少申告加算税を徴収しようとするときは、納付すべき税額、納期限及び納付場所を記載した納税告知書を送達して納税の告知をしなければならない。,○×,×,"加算税は賦課課税方式である(関6条の2第1項2号ヘ)。賦課課税方式によるときの徴収の手続は原則として納税告知書の送達による納税の告知を要するが、加算税の徴収の手続においては納税告知が不要となる(関9条の3第1項3号)。
[参照　第2編（関税法）-第15章（関税の確定、賦課権の期間制限と徴収権の消滅時効））-2.賦課課税方式-（2）賦課課税方式の適用範囲、（3）賦課決定と納税告知]"
通関業法（事前教示（事前照会））,53-5-1,A,事前照会は、原則として、文書により照会を受け、文書で回答することにより行うこととされているが、これによらず、口頭により照会があった場合には、口頭で回答することとされている。,○×,○,"事前照会は、原則として、文書で税関へ照会し、文書により税関から回答（教示）が行われるが、口頭による照会に対して口頭で回答することや、インターネットによる照会に対して電子メールにより回答することも可能である(関通7-17)。なお、口頭やインターネットによる照会が原則としてできないわけではないので、文書による照会ができる状況で口頭やインターネットによる照会をしても構わない。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-1.事前教示とは]"
通関業法（事前教示（事前照会））,53-5-2,A,文書による事前照会があった場合において、その照会書の記載事項に不明な点があるとき又は審査に必要な資料が不足しているときには、照会者に対して記載事項の補正又は資料の追加提出等を求め、当該記載事項の補正又は資料の追加提出等がなされるまでは、当該照会書を受理しないこととされている。,○×,○,"文書による事前照会があった場合、照会書の提出があった税関の受付担当者は、受理の際、照会書の記載事項や参考資料に不備がないことを確認する。担当者は、照会書の記載事項に不明な点があるとき又は審査に必要な資料が不足しているときには、照会者に対して記載事項の補正又は資料の追加提出等を求め、それらが行われるまでは、照会書を受理しない(関通7-18-1(3)ハ)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（3）受理-③受理時の形式審査事務]"
通関業法（事前教示（事前照会））,53-5-3,A,文書による事前照会に係る貨物の内容及び回答書の内容について、その照会対象となった貨物が新規の輸入品であり、市場に流通する前に他者に知られることによりその照会者又はその関係者が不利益を受けるおそれがある場合であって、当該照会者から一定期間内(180日を超えない期間内)につき公開しないことを求める申出があったときは、当該貨物の内容及び回答書の内容は、当該申出に係る期間後に公開されることとされている。,○×,○,"照会貨物の内容と回答の内容は、回答後原則として公開とし、税関ホームページ等を利用して閲覧できるようにする。ただし、照会対象となった貨物が新規の輸入品であり、市場に流通する前に他者に知られることにより照会者又はその関係者が不利益を受けるおそれがある場合であって、照会者から一定期間内（180日を超えない期間内）は公開しないことを求める申出があったものについては、その申出に係る期間後に公開する(関通7-18(6)イ)。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（6）公開]"
通関業法（事前教示（事前照会））,53-5-4,A,事前照会に対する回答書の内容は、その該当する限度において、当該回答書の発出日から5年を経過する日まで、輸入(納税)申告の審査上、尊重するものとされている。,○×,×,"「5年」ではなく「3年」である(関通7-18-1(9)ロ(イ))。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（8）輸入(納税)申告書に添付された回答書の取扱い]"
通関業法（事前教示（事前照会））,53-5-5,A,事前照会に対する回答書の交付があった日後において、法令が改正され、当該回答書が参考とならなくなった場合であっても、当該回答書の内容は、当該交付があった日から3年を経過する日までは、輸入(納税)申告の審査上、尊重するものとされている。,○×,×,"事前照会に対する回答書の交付があった日後において、法令が改正され、当該回答書が参考とならなくなった場合は、その時点で尊重されなくなる。交付があった日から3年を経過する日までは尊重されるとの規定は無い(関通7-18-1(9)ロ(ハ))。
[参照　第2編（関税法）-第16章（事前教示（事前照会））-2.文書による照会-（8）輸入(納税)申告書に添付された回答書の取扱い]"
通関業法（定義（関税法等））,53-13-1,A,船舶を輸出する場合において、外国における引渡しのため回航されるものについては、その回航のため初めて本邦を出発する時が輸出の具体的な時期となる。,○×,○,"「輸出」の具体的な時期は、原則として外国に仕向けられた船舶又は航空機に外国に向けて貨物を積み込んだ時とするが、船舶又は航空機自体の輸出の場合は、外国の国籍又は仮国籍を取得した後（外国における引渡しのため回航されるものにあっては、その回航のため）初めて本邦を出発する時となる(関2条1項2号、関通2-5(1))。
[参照　第2編（関税法）-第1章（関税法の定義）-1.定義-（10）輸出、積戻し]"
通関業法（輸出通関）,53-13-2,A,輸出申告の撤回は、その申告に係る貨物の輸出の許可前に限り認めることとされている。,○×,○,"輸出申告の撤回は、輸出許可前に限り認められる(関通67-1-10)。
[参照　第2編（関税法）-第3章（輸出入申告）-17.撤回、取止め、取消し]"
通関業法（輸出通関）,53-13-3,A,輸出申告がされた貨物に係る関税法第67条に規定する検査は、当該貨物を輸出しようとする者の希望する場所において行うものとされており、税関長が当該希望する場所以外の場所において当該検査をしようとするときは、その旨を当該輸出しようとする者に通知することとされている。,○×,×,"輸出申告がされた貨物の検査は、税関長が指定したで行う。そして、指定された場所以外の場所で検査を受けようとする者は、当該検査を受けようとする貨物の置かれている場所を所轄する税関長の許可を受けなければならない(関69条1項、2項)。
[参照　第2編（関税法）-第3章（輸出入申告）-7.審査、検査]"
通関業法（輸出通関）,53-13-4,A,ふ中扱いに係る貨物についての関税法第67条に規定する検査及び輸出の許可は、当該貨物がはしけに積載が完了した後に行うものとされている。,○×,○,"ふ中扱いに係る貨物についての輸出の検査及び許可は、貨物がはしけに積載が完了した後に行う(関通67の2-3(2))。
[参照　第2編（関税法）-第3章（輸出入申告）-1.申告先-（2）例外1 本船扱い、ふ中扱い]"
通関業法（輸出申告の特例）,53-13-5,A,外国貿易船に積み込んだ状態で輸出申告をすることが必要な貨物について、特定輸出申告を行う場合には、本船扱いの手続を要することなく特定輸出申告を行うことができる。,○×,○,"輸出申告の特例を利用する場合は本船扱いやふ中扱いの手続をせずに輸出申告ができる(関通67の2-1)。
[参照　第2編（関税法）-第3章（輸出入申告）-4.申告書の記載事項、第2編（関税法）-第4章（輸出入申告の特例）-1.輸出申告の特例-（1）特徴]"
通関業法（開庁時間外事務執行の求め）,53-14-1,C,税関官署の開庁時間以外の時間において、輸入の許可前における貨物の引取りの承認に係る事務の執行を求めようとする者は、あらかじめその旨を税関長に届け出なければならない。,○×,○,"税関官署の開庁時間以外の時間において税関の事務の執行を求めようとする者は、あらかじめその旨を税関長に書面で届け出る(関98条1項、関令87条3項)。輸入許可前引取承認に係る事務もその対象である(関令87条1項6号)。
[参照　第2編（関税法）-第23章（開庁時間外事務執行の求め）-1.開庁時間外の事務の執行の求め]"
通関業法（関税率）,53-14-2,B,課税価格の合計額が20万円以下の輸入貨物については、当該輸入貨物を輸入しようとする者が当該貨物の一部のものに対する関税の率について少額輸入貨物に対する簡易税率(関税定率法別表の付表第2に規定する税率)を適用することを希望する場合には、その一部のものに対する関税の率について当該簡易税率を適用することが認められる。,○×,×,"輸入貨物の全部について少額輸入貨物に対する簡易税率を希望しない旨を税関に申し出たときは、一般税率が適用されるが、その一部の貨物にだけ簡易税率を適用できるとの規定は無い(関率3条の3第1項参照)。
[参照　第3編（関税定率法、関税暫定措置法）-第1章（課税要件2（課税標準、税率、関税額計算））-2.税率-（2）一般の税率と簡易税率-②簡易税率-ⅲ少額輸入貨物に対する簡易税率]"
通関業法（加算税）,53-14-3,C,環太平洋パートナーシップに関する包括的及び先進的な協定の規定に基づく関税の譲許の便益の適用を受けるものとして輸入(納税)申告が行われた貨物について、税関長が、当該貨物が当該譲許の便益の適用を受けるための要件を満たしていないことについて輸入者に通知を行った場合において、当該輸入者が直ちに当該申告に係る納付すべき税額を修正する申告(修正申告)を行ったときは、当該修正申告により納付すべき税額に過少申告加算税が課されることはない。,○×,×,"本問は、EPA税率を適用した上で当初申告したところ、実は適用するための要件を満たしていないことが後から判明したので、適用できない場合は税率が高くなり納付すべき税額も増えるため、過少申告となった分について修正申告したという事例である。修正申告前に税額の計算の基礎とされていなかったことについて「正当な理由」がある事実に基づく範囲では過少申告加算税が控除されるが(関12条の2第1項、4項1号)。本問のような例はこの「正当な理由」に該当するものとして挙げられていない(関通12の2-17参照)。たとえわざとではなくミスだったとしても、EPA税率の適用要件を満たしていないものにつきEPA税率を適用して当初申告したのは、申告した者が悪いので、正当な理由とはならないであろう。受験生レベルでは判断が難しい問題である。
[参照　第2編（関税法）-第20章（附帯税2（加算税））-1.過少申告加算税と無申告加算税-（3）加算税額計算-②納付すべき税額-ⅰ「正当な理由」等による納付すべき税額の控除]"
