カテゴリー,問題番号,問題,選択肢,正解,解説
関税法（輸出通関）,51-6-2,本邦から出国する旅客の携帯品については、口頭により輸出申告を税関長がさせることができるとされているが、外国為替令第8条の2第1項第2号(支払手段等の輸出入の届出)に掲げる貴金属(金の地金のうち、当該金の地金の全重量に占める金の含有量が90%以上のものに限る。)であって、その重量が1kgを超えるものを携帯して輸出する場合には、税関長に対して支払手段等の携帯輸出申告書により輸出申告をして許可を受ける必要がある。,○×,○,輸出申告は、原則として輸出申告書を税関長に提出して行う。例外として、貨物が旅客又は乗組員の携帯品であるときは、口頭で申告させることができる。例外の例外として、貨物が旅客又は乗組員の携帯品であっても、①外国為替令8条の2第1項1号の支払手段（お金や小切手等のこと。）又は証券に該当するものであり、財務省令で定める方法により計算した合計額が100万円（我が国との経済取引の状況その他の事情を勘案し、特定の地域を仕向地又は積出地として当該支払手段又は証券を携帯して輸出し、又は輸入しようとする場合として財務大臣が定める場合にあっては、10万円）に相当する額を超えるものと②貴金属であって、合計重量が1kgを超えるもの(同項2号)に該当するものは、口頭で申告させることができず、税関長に対して、支払手段等の携帯輸出申告書により輸出申告をして、輸出の許可を受ける必要がある(関税法施行令第58条ただし書)。
関税法（輸出通関）,51-6-3,特定委託輸出申告を行うときは、その申告に係る貨物の通関手続を認定通関業者に委託し、かつ、その申告に係る貨物が置かれている場所から当該貨物を外国貿易船に積み込もうとする港までの運送を特定保税運送者に委託しなければならない。,○×,○,特定委託輸出申告を行うときは、その申告に係る貨物の通関手続を認定通関業者に委託し、かつ、その申告に係る貨物が置かれている場所から当該貨物を外国貿易船に積み込もうとする港（開港、税関空港又は不開港）までの運送を特定保税運送者に委託しなければならない(関税法67条の3第1項)。
関税法（輸出通関）,51-6-4,輸出の許可を受けた貨物の全部について、その輸出を取り止める場合であって、当該貨物の全部を国内に引き取るときは、輸入(納税)申告書を税関長に提出する必要があるが、当該貨物の全部が船積み前であれば輸入貿易管理令の規定による輸入承認を必要としない。,○×,○,輸出の許可を受けた貨物の全部について、一旦船舶又は航空機に積み込まれたものであるときは、その国内への引取りにつき、通常の輸入手続を必要とするし、輸入貿易管理令の規定による輸入承認を要する(67-1-15(1))。しかし、輸出の許可を受けた貨物の全部について、当該貨物が船舶又は航空機に積み込まれる前にその輸出が取止めとなり、これを国内に引き取る場合は、輸入貿易管理令の規定による輸入承認は要しない(関税法基本通達67-1-15(2))。
関税法（輸出通関）,51-6-5,貨物を業として輸出する者は、当該貨物の品名、数量及び価格その他の必要な事項を記載した帳簿を備え付け、かつ、当該帳簿を保存しなければならないこととされており、その保存しなければならない期間は輸出許可貨物の輸出の許可の日の翌日から7年間である。,○×,×,貨物を業として輸出する者は、当該貨物の品名、数量及び価格その他の必要な事項を記載した帳簿（関税関係帳簿）を備え付け、かつ、当該関税関係帳簿を輸出の許可の日の翌日から「5年間」（「7年間」ではない。）保存しなければならない(関税法94条2項、同法施行令83条8項)。なお、本問出題当時は「帳簿」と呼ばれていたものが令和4年法改正で「関税関係帳簿」となる。
関税法（輸入通関）,51-7-1,特例輸入者が特例申告に係る貨物の輸入申告を行う場合には、当該貨物を保税地域に入れた後にするものとされている。,○×,×,特例輸入申告は、貨物を保税地域に入れる前でもできる(関税法67条の2第3項3号、施行令59条の6第3項)
関税法（関税の確定・納付）,51-7-2,税関長は、特例輸入者が特例申告書をその提出期限までに提出しなかったときは、当該特例輸入者に係る関税法第7条の2第1項(申告の特例)の承認を取り消すことができる。,○×,○,税関長は、特例輸入者が特例申告書をその提出期限までに提出しなかったときは、当該特例輸入者に係る申告の特例の承認を取り消すことができる(関税法7条の12第1項1号)。
関税法（輸入通関）,51-7-3,税関長は、輸入申告があった場合においてその許可の判断のために必要があるときは、当該輸入申告に係る貨物の契約書、仕入書、運賃明細書、保険料明細書、包装明細書、価格表、又は製造者若しくは売渡人の作成した仕出人との間の取引についての書類を提出させることができる。,○×,○,税関長は、輸入申告があった場合においてその許可の判断のために必要があるときは、当該輸入申告に係る貨物の契約書、仕入書、運賃明細書、保険料明細書、包装明細書、価格表、製造者又は売渡人の作成した仕出人との間の取引についての書類、その他税関長が輸入申告の内容を確認するために必要な書類、便益関税や経済連携協定による便益を適用するために必要な書類（原産国証明書や運送要件証明書などのこと。）を提出させることができる(関税法68条、同法施行令61条1項)。
関税法（輸入通関）,51-7-4,関税関係法令以外の法令の規定により輸入に関して検査又は条件の具備を必要とする貨物については、関税法第67条(輸出又は輸入の許可)の検査その他輸入申告に係る税関の審査の際、当該法令の規定による検査の完了又は条件の具備を税関に証明し、その確認を受けなければならない。,○×,○,関税関係法令以外の法令（いわゆる他法令のこと。）の規定により輸出・輸入に関して検査又は条件の具備を必要とする貨物については、関税法第67条(輸出又は輸入の許可)の検査その他輸出・輸入申告に係る税関の審査の際、当該法令の規定による検査の完了又は条件の具備を税関に証明し、その確認を受けなければならない(関税法70条2項)。
関税法（原産地表示）,51-7-5,税関長は、原産地について直接に偽った表示がされている外国貨物については、その原産地について偽った表示がある旨を輸入申告をした者に、直ちに通知し、期間を指定して、当該外国貨物を廃棄させなければならない。,○×,×,「当該外国貨物を廃棄させなければならない」ではなく「その者の選択により、その表示を消させ、若しくは訂正させ、又は当該貨物を積みもどさせなければならない」である(関税法71条2項)。
関税法（輸入通関）,51-8-1,輸入の許可前における貨物の引取りの承認申請は、その承認申請に係る貨物の輸入申告をする前にしなければならない。,○×,×,輸入許可前引取承認の申請は、輸入申告後に行う(関税法73条1項)。
関税法（輸入通関）,51-8-2,輸入の許可前における貨物の引取りの承認申請は、一の輸入申告に係る貨物の一部についても行うことができる。,○×,○,関税法施行令63条後段では、「当該輸入申告に係る貨物を分割して引き取ろうとするときは、当該申請書にその旨を付記しなければならない。」とされており、一の輸入申告に係る貨物の一部についても行えることを前提としている。
関税法（輸入通関）,51-8-3,輸入の許可前における貨物の引取りの承認を受けた外国貨物は、関税法第4条(課税物件の確定の時期)の適用については、内国貨物とみなされる。,○×,×,輸入許可前引取承認を受けた貨物は、原則として、輸入の許可がされていなくても内国貨物とみなされるが、関税額が未確定な貨物であることから、関税法4条の適用については、例外的に内国貨物とはみなされない(同法73条第3項) 。
関税法（附帯税）,51-8-4,輸入の許可前における貨物の引取りの承認を受けて引き取られた外国貨物については、過少申告加算税が課されることはない。,○×,×,課されることがある。過少申告加算税について規定する関税法12条の2第1項では、輸入許可前引取承認だからといって除外していない。
関税法（輸入通関）,51-8-5,特例輸入者に係る特例申告貨物については、輸入の許可前における貨物の引取りの承認を受けることはできない。,○×,○,特例申告は輸入許可前引取承認ではないので、輸入の許可前における貨物の引取りの承認を受けることはできない(関税法73条1項)。
関税法（保税地域）,51-9-1,保税蔵置場において貨物を管理する者は、輸出の許可を受けた貨物を除き、その管理する外国貨物についての帳簿を設け、必要な事項を記載しなければならない。,○×,×,保税蔵置場において貨物を管理する者は、その管理する外国貨物についての帳簿を設け、必要な事項を記載しなければならないという部分は正しいが、輸出の許可を受けた貨物を除くという条件は無い(関税法34条の2、同法施行令29条の2第1項) 。
関税法（保税地域）,51-9-2,保税蔵置場に外国貨物を置くことができる期間は、税関長が特別の事由があるとして期間を延長した場合を除き、当該貨物を最初に保税蔵置場に置くことが承認された日から2年である。,○×,○,保税蔵置場に外国貨物を置くことができる期間は、当該貨物を最初に保税蔵置場に置くことが承認された日から2年であるが、税関長は、特別の事由があると認めるときは、申請により、必要な期間を指定してその期間を延長することができる(蔵入承認 関税法43条の2)。
関税法（保税地域）,51-9-3,保税蔵置場の許可を受けた法人の従業者が、保税蔵置場の業務について関税法の規定に違反したときは、税関長は、期間を指定して外国貨物又は輸出しようとする貨物を当該保税蔵置場に入れることを停止させることができる。,○×,○,税関長は、保税蔵置場の許可を受けた者（その者が法人である場合においては、その役員を含む。）又はその代理人、支配人その他の従業者が保税蔵置場の業務について関税法の規定に違反したときは、期間を指定して外国貨物又は輸出しようとする貨物を保税蔵置場に入れることを停止させ、又は保税蔵置場の許可を取り消すことができる(関税法48条1項1号)。なお、「者」という表現は、個人と、会社のような法人(個人の集まりのこと)の両方を含むものであり、「保税蔵置場の許可を受けた者」「の従業者」というのは、個人に雇われている従業者のほか、会社に雇われている従業者も含む。そのため、本問は正しい。
関税法（保税地域）,51-9-4,保税蔵置場に外国貨物を入れる者は、当該貨物をその入れた日から3月(やむを得ない理由により必要があると認めるときは、申請により、税関長が指定する期間)を超えて当該保税蔵置場に置こうとする場合には、その超えることとなる日前に税関長の承認を受けなければならない。,○×,○,保税蔵置場に外国貨物を入れる者は、当該貨物をその入れた日から3月（やむを得ない理由により必要があると認めるときは、申請により、税関長が指定する期間）を超えずに当該保税蔵置場に置く場合は税関長の承認を要しないが（一時蔵置）、これを超えて当該保税蔵置場に置こうとする場合には、その超えることとなる日前に税関長の承認（蔵入承認）を受けなければならない(関税法43条の3第1項)。
関税法（保税地域）,51-9-5,保税蔵置場にある外国貨物が災害により亡失したときは、当該保税蔵置場の許可を受けた者から、直ちにその関税を徴収する。,○×,×,保税蔵置場にある外国貨物が亡失したときは、当該保税蔵置場の許可を受けた者から、直ちにその関税が徴収する。ただし、外国貨物が災害その他やむを得ない事情により亡失した場合は、関税は徴収されない(関税法45条1項)。
関税暫定措置法（軽減・免除・払戻し）,51-10-1,関税暫定措置法第4条(航空機部分品等の免税)に規定する関税の免除の適用を受けようとする場合の輸入申告は、当該申告に係る物品を使用する者の名をもってしなければならない。,○×,○,関税暫定措置法第4条(航空機部分品等の免税)に規定する関税の免除の適用を受けようとする場合の輸入申告は、当該申告に係る物品を使用する者の名をもってしなければならない(暫定措置法施行令8条2項)。
関税暫定措置法（軽減・免除・払戻し）,51-10-2,税関長は、必要があると認めるときは、関税暫定措置法第4条(航空機部分品等の免税)の規定により関税の免除を受けた物品の使用者に対し、当該物品の使用の状況に関する報告書の提出を求めることができる。,○×,○,税関長は、必要があると認めるときは、関税暫定措置法第4条の規定により関税の免除を受けた物品の使用者に対し、当該物品の使用の状況に関する報告書の提出を求めることができる(暫定措置法施行令10条)。
関税暫定措置法（軽減・免除・払戻し）,51-10-3,関税暫定措置法第8条第1項(加工又は組立てのため輸出された貨物を原材料とした製品の減税)の規定により関税の軽減を受けることができる物品は、本邦から輸出された貨物を材料として加工又は組立てされた製品であって、本邦においてその加工又は組立てをすることが困難であると認められるものに限られる。,○×,×,「本邦から輸出された貨物を材料」ではなく「本邦から輸出された貨物を原料又は材料」であり、また、「本邦においてその加工又は組立てをすることが困難であると認められるものに限られる」との条件は無い(暫定措置法8条1項)。
関税暫定措置法（軽減・免除・払戻し）,51-10-4,関税暫定措置法第8条第1項(加工又は組立てのため輸出された貨物を原材料とした製品の減税)の規定により関税の軽減を受けようとする貨物の原材料である生地を輸出しようとする者は、その輸出の際に、必ず生地見本を提出しなければならない。,○×,×,暫定措置法8条1項の規定により、関税の軽減を受けようとする貨物の原材料として生地を輸出しようとする者は「加工・組立輸出貨物確認申告書」を提出して税関長の確認を受けなければならないが、生地見本については必ず提出しなければならないわけではない(暫定措置法8条1項、同法施行令22条1項3項、同法基本通達8-4(5))。 
関税暫定措置法（軽減・免除・払戻し）,51-10-5,関税定率法第17条第1項(再輸出免税)に規定する関税の免除の適用を受けて輸入され、再輸出した貨物を原料又は材料の一部として使用した製品については、関税暫定措置法第8条第 1項の規定による関税の軽減を受けることはできない。,○×,×,関税定率法17条1項に規定する関税の免除を受けて輸入され、再輸出した貨物を原料又は材料の一部に使用した製品について、関税暫定措置法8条を適用できないとする規定はないことから、当該貨物であっても同法8条1項の規定により関税の軽減を受けることができる。
関税定率法（課税価格の決定）,51-11-1,輸入取引契約に付されている価格調整条項の適用により、輸入貨物に係る仕入書価格を引き上げるための調整が行われる場合、調整を行った後の当該輸入貨物に係る価格が、現実支払価格である。,○×,○,関税定率法基本通達4-2(3)ニにその通りの規定がある。 つまり、価格調整条項により価格が高くなった分をプラスしたり、低くなった分をマイナスしたりしたものが現実支払価格となる。
関税定率法（課税価格の決定）,51-11-2,輸入貨物が、その輸入取引に係る取引条件に従って売手から買手に引き渡されるまでの間に輸出国(積替え国を含む。)で保管される場合であって、当該保管に要する費用を買手が負担するときは、買手が負担した保管に要する費用は、現実支払価格に含まれる。,○×,○,輸出国における保管費用で、貨物の引渡し前に買手が負担したものであるから、現実支払価格に含まれる(関税法基本通達4-2(5))。
関税定率法（課税価格の決定）,51-11-3,輸入貨物の輸入港における船内荷役に係る費用は、その額が明らかである場合には、現実支払価格に含まれない。,○×,○,輸入貨物の輸入港における船内荷役に係る費用は、輸入港到着後の費用であるから、その額が明らかな場合には、現実支払価格に含まれない(関税定率法施行令1条の4第2号、同法基本通達4-8(7))。
関税定率法（課税価格の決定）,51-11-4,本邦において輸入貨物に課される関税は、その額が明らかであるか否かにかかわらず、現実支払価格に含まれる。,○×,×,本邦において当該輸入貨物に課される関税その他の公課であるから現実支払価格には含まれない(関税定率法施行令1条の4第3号)。なお、関税その他の公課は、その性質上その額を明らかにすることができることから(同法基本通達4-2(2)ハ)、その額が明らかでないということは有り得ない。課税標準さえ判明していれば、関税額は法令通達に沿って明確に決まる以上明らかなのである。
関税定率法（課税価格の決定）,51-11-5,輸入取引において、買手が、輸入貨物の代金について、売手から現金値引きを受けた場合であって、当該輸入貨物に係る納税申告の際に当該値引き額が確定しているときは、当該値引き額は現実支払価格に含まれない。,○×,○,値引き額は控除費用であるから、現実支払価格に含まれない(関税定率法基本通達4-4(2))。
関税定率法（通則）,51-12-1,項又は注に別段の定めがある場合を除くほか、未完成の物品で、提示の際に完成した物品としての重要な特性を有しているものは、たとえ提示の際に組み立てられていないもの又は分解されたものであっても、当該完成した物品が属する項に属する。,○×,○,関税率表の各項に記載されている物品は、本来、完成品としての物品であるが、通則2(a)前段により各項に記載されている物品の範囲は拡大され、未完成だが提示の際に完成した物品としての重要な特性を有するもの（未完成の物品）も含まれる。提示の際というのは、輸入のため税関に貨物や書類を見せる（提示する）ときのことである。
関税定率法（通則）,51-12-2,項又は注に別段の定めがある場合を除くほか、物品が関税率表の二以上の項に属するとみられる場合において、他に定める方法により所属を決定することができないものは、等しく考慮に値する項のうち、数字上の配列において最初となる項に属する。,○×,×,項又は注に別段の定めがある場合は関税率表の解釈に関する通則1で処理されるが、そうではないときに、物品が関税率表の二以上の項に属するとみられる場合において、他に定める方法により所属を決定することができないものは、等しく考慮に値する項のうち、数字上の配列において最後となる項に属する(通則3(c))。
関税定率法（通則）,51-12-3,関税率表の解釈に関する通則1から通則3までの原則によりその所属を決定することができない物品は、当該物品に最も類似する物品が属する項に属する。,○×,○,関税率表の解釈に関する通則4にその通りの規定がある。
